location_id,location_name,ISO3,iso3_mapping_method,match_status,geometry_available,geometry_feature_count,geometry_feature_indices,geometry_feature_names,geometry_feature_or_region_names,polygon_part_count,multipart_value_replication,display_mapping_rule
298,American Samoa,ASM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,11,American Samoa,American Samoa,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
105,Antigua and Barbuda,ATG,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,15,Antigua and Barbuda,Antigua and Barbuda,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
141,Arab Republic of Egypt,EGY,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,65,Egypt,Egypt,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
97,Argentine Republic,ARG,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,9,Argentina,Argentina,4,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
71,Australia,AUS,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,16,Australia,Australia,42,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
107,Barbados,BRB,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,34,Barbados,Barbados,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
108,Belize,BLZ,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,30,Belize,Belize,3,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
305,Bermuda,BMU,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,31,Bermuda,Bermuda,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
133,Bolivarian Republic of Venezuela,VEN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,231,Venezuela,Venezuela,5,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
44,Bosnia and Herzegovina,BIH,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,27,Bosnia and Herzegovina,Bosnia and Herzegovina,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
66,Brunei Darussalam,BRN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,35,Brunei,Brunei,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
201,Burkina Faso,BFA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,22,Burkina Faso,Burkina Faso,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
101,Canada,CAN,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,39,Canada,Canada,141,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
169,Central African Republic,CAF,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,38,Central African Republic,Central African Republic,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
110,Commonwealth of Dominica,DMA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,60,Dominica,Dominica,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
106,Commonwealth of the Bahamas,BHS,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,26,The Bahamas,The Bahamas,15,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
320,Cook Islands,COK,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,47,Cook Islands,Cook Islands,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
47,Czech Republic,CZE,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,57,Czech Republic,Czech Republic,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
7,Democratic People's Republic of Korea,PRK,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,178,North Korea,North Korea,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
215,Democratic Republic of Sao Tome and Principe,STP,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,202,Sao Tome and Principe,Sao Tome and Principe,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
19,Democratic Republic of Timor-Leste,TLS,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,217,East Timor,East Timor,3,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
171,Democratic Republic of the Congo,COD,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,45,Democratic Republic of the Congo,Democratic Republic of the Congo,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
17,Democratic Socialist Republic of Sri Lanka,LKA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,129,Sri Lanka,Sri Lanka,3,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
111,Dominican Republic,DOM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,62,Dominican Republic,Dominican Republic,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
99,Eastern Republic of Uruguay,URY,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,226,Uruguay,Uruguay,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
179,Federal Democratic Republic of Ethiopia,ETH,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,69,Ethiopia,Ethiopia,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
164,Federal Democratic Republic of Nepal,NPL,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,165,Nepal,Nepal,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
81,Federal Republic of Germany,DEU,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,58,Germany,Germany,6,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
214,Federal Republic of Nigeria,NGA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,160,Nigeria,Nigeria,2,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
187,Federal Republic of Somalia,SOM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,199,Somalia,Somalia,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
25,Federated States of Micronesia,FSM,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,75,Federated States of Micronesia,Federated States of Micronesia,5,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
135,Federative Republic of Brazil,BRA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,33,Brazil,Brazil,17,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
80,French Republic,FRA,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,73,France,France,9,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
173,Gabonese Republic,GAB,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,76,Gabon,Gabon,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
35,Georgia,GEO,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,79,Georgia,Georgia,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
87,Grand Duchy of Luxembourg,LUX,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,132,Luxembourg,Luxembourg,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
349,Greenland,GRL,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,88,Greenland,Greenland,17,TRUE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
112,Grenada,GRD,countrycode country.name to iso3c,matched_exact_iso3,TRUE,1,87,Grenada,Grenada,1,FALSE,Exact ISO3 join; one country value is applied to every polygon part in the matched feature(s)
