location_id,location_name
320,Cook Islands
84,Ireland
115,Jamaica
35,Georgia
164,Federal Democratic Republic of Nepal
148,Kingdom of Morocco
183,Republic of Mauritius
132,Republic of Panama
181,Republic of Madagascar
53,Republic of Serbia
17,Democratic Socialist Republic of Sri Lanka
117,Saint Vincent and the Grenadines
351,Guam
20,Socialist Republic of Viet Nam
18,Kingdom of Thailand
67,Japan
66,Brunei Darussalam
85,State of Israel
6,People's Republic of China
101,Canada
54,Slovak Republic
19,Democratic Republic of Timor-Leste
52,Romania
27,Independent State of Samoa
200,Republic of Benin
50,Montenegro
116,Saint Lucia
214,Federal Republic of Nigeria
83,Republic of Iceland
149,Palestine
10,Kingdom of Cambodia
37,Kyrgyz Republic
367,Principality of Monaco
51,Republic of Poland
69,Republic of Singapore
215,Democratic Republic of Sao Tome and Principe
152,Kingdom of Saudi Arabia
136,Republic of Paraguay
201,Burkina Faso
105,Antigua and Barbuda
171,Democratic Republic of the Congo
89,Kingdom of the Netherlands
185,Republic of Rwanda
169,Central African Republic
38,Mongolia
57,Republic of Belarus
102,United States of America
22,Republic of Fiji
39,Republic of Tajikistan
218,Togolese Republic
23,Republic of Kiribati
43,Republic of Albania
189,United Republic of Tanzania
71,Australia
122,Republic of Ecuador
40,Turkmenistan
153,Syrian Arab Republic
14,Republic of Maldives
58,Republic of Estonia
380,Republic of Palau
151,State of Qatar
168,Republic of Angola
87,Grand Duchy of Luxembourg
374,Republic of Niue
44,Bosnia and Herzegovina
25,Federated States of Micronesia
11,Republic of Indonesia
24,Republic of the Marshall Islands
68,Republic of Korea
198,Republic of Zimbabwe
72,New Zealand
109,Republic of Cuba
26,Independent State of Papua New Guinea
8,Taiwan (Province of China)
106,Commonwealth of the Bahamas
59,Republic of Latvia
55,Republic of Slovenia
141,Arab Republic of Egypt
74,Principality of Andorra
202,Republic of Cameroon
193,Republic of Botswana
75,Republic of Austria
205,Republic of Côte d'Ivoire
305,Bermuda
121,Plurinational State of Bolivia
61,Republic of Moldova
94,Swiss Confederation
48,Hungary
60,Republic of Lithuania
45,Republic of Bulgaria
88,Republic of Malta
154,Republic of Tunisia
62,Russian Federation
176,Union of the Comoros
156,United Arab Emirates
157,Republic of Yemen
29,Kingdom of Tonga
30,Republic of Vanuatu
15,Republic of the Union of Myanmar
36,Republic of Kazakhstan
191,Republic of Zambia
91,Portuguese Republic
207,Republic of Ghana
63,Ukraine
203,Republic of Cabo Verde
216,Republic of Senegal
127,Republic of El Salvador
349,Greenland
28,Solomon Islands
92,Kingdom of Spain
208,Republic of Guinea
396,Republic of San Marino
107,Barbados
110,Commonwealth of Dominica
182,Republic of Malawi
145,State of Kuwait
172,Republic of Equatorial Guinea
416,Tuvalu
76,Kingdom of Belgium
150,Sultanate of Oman
99,Eastern Republic of Uruguay
178,State of Eritrea
86,Republic of Italy
12,Lao People's Democratic Republic
49,North Macedonia
160,Islamic Republic of Afghanistan
165,Islamic Republic of Pakistan
98,Republic of Chile
217,Republic of Sierra Leone
108,Belize
146,Lebanese Republic
80,French Republic
47,Czech Republic
114,Republic of Haiti
210,Republic of Liberia
13,Malaysia
184,Republic of Mozambique
142,Islamic Republic of Iran
46,Republic of Croatia
131,Republic of Nicaragua
435,Republic of South Sudan
129,Republic of Honduras
77,Republic of Cyprus
162,Kingdom of Bhutan
173,Gabonese Republic
135,Federative Republic of Brazil
206,Republic of the Gambia
78,Kingdom of Denmark
196,Republic of South Africa
128,Republic of Guatemala
33,Republic of Armenia
7,Democratic People's Republic of Korea
125,Republic of Colombia
16,Republic of the Philippines
298,American Samoa
81,Federal Republic of Germany
155,Republic of Turkey
34,Republic of Azerbaijan
212,Islamic Republic of Mauritania
161,People's Republic of Bangladesh
79,Republic of Finland
139,People's Democratic Republic of Algeria
113,Republic of Guyana
186,Republic of Seychelles
93,Kingdom of Sweden
126,Republic of Costa Rica
111,Dominican Republic
369,Republic of Nauru
170,Republic of the Congo
82,Hellenic Republic
90,Kingdom of Norway
133,Bolivarian Republic of Venezuela
187,Federal Republic of Somalia
118,Republic of Suriname
41,Republic of Uzbekistan
140,Kingdom of Bahrain
144,Hashemite Kingdom of Jordan
177,Republic of Djibouti
211,Republic of Mali
119,Republic of Trinidad and Tobago
147,State of Libya
112,Grenada
190,Republic of Uganda
143,Republic of Iraq
163,Republic of India
376,Northern Mariana Islands
385,Puerto Rico
204,Republic of Chad
175,Republic of Burundi
393,Saint Kitts and Nevis
95,United Kingdom of Great Britain and Northern Ireland
97,Argentine Republic
197,Kingdom of Eswatini
130,United Mexican States
194,Kingdom of Lesotho
195,Republic of Namibia
123,Republic of Peru
422,United States Virgin Islands
179,Federal Democratic Republic of Ethiopia
413,Tokelau
209,Republic of Guinea-Bissau
180,Republic of Kenya
213,Republic of the Niger
522,Republic of Sudan
