location_name,sex_name,n_age_groups,correlation,p_value,fdr_pvalue,bh_family,small_island_excluded,fdr_pvalue_SID_excluded,significant_full_BH,significant_SID_excluded_BH,bh_family_SID_excluded
Arab Republic of Egypt,Female,20,-0.0442181049007411,0.853145702912698,0.916009070495739,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.922790250089245,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Arab Republic of Egypt,Male,20,0.253385065796059,0.281068286719125,0.378115627441018,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.367176891835203,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Argentine Republic,Female,20,-0.0530906585196501,0.824082754716585,0.889486147948059,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.897459986300938,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Argentine Republic,Male,20,0.0762040400458848,0.749487000311083,0.804712358228741,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.821851262410084,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Australia,Female,20,-0.170457672757844,0.472442887661039,0.624429872408403,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.660202836965815,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Australia,Male,20,-0.156170200654538,0.51086146116717,0.592134875443766,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.610729115229925,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Bermuda,Female,20,0.387143885574587,0.0917228997460411,0.183445799492082,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.189401831943124,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Bermuda,Male,20,0.619847301341409,0.00355520438513369,0.00971334206974769,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00835002913651537,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Bolivarian Republic of Venezuela,Female,20,0.544570539688572,0.0130405930049153,0.0542914484286269,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0482198671577101,FALSE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Bolivarian Republic of Venezuela,Male,20,0.708553850575569,0.000471030044991076,0.00219913417798761,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.00183944795662378,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Bosnia and Herzegovina,Female,20,0.5327175738335,0.0155935254888774,0.0572461332549945,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0527525649517342,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Bosnia and Herzegovina,Male,20,0.786122749998718,0.0000397072504006582,0.000405013954086714,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.000350747378539147,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Brunei Darussalam,Female,20,0.400204085091745,0.0803851175854044,0.163985639874225,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.170416449281057,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
