location_name,location_id,sex_name,age_name,n_years,weighted_r,weighted_se,weighted_t,weighted_p,fit_status
American Samoa,298,Female,10-14 years,30,,,,,not_estimable_constant_series
American Samoa,298,Female,5-9 years,30,,,,,not_estimable_constant_series
American Samoa,298,Female,<5 years,30,,,,,not_estimable_constant_series
Antigua and Barbuda,105,Female,10-14 years,30,,,,,not_estimable_constant_series
Antigua and Barbuda,105,Female,5-9 years,30,,,,,not_estimable_constant_series
Antigua and Barbuda,105,Female,<5 years,30,,,,,not_estimable_constant_series
Arab Republic of Egypt,141,Female,10-14 years,30,,,,,not_estimable_constant_series
Arab Republic of Egypt,141,Female,5-9 years,30,,,,,not_estimable_constant_series
Arab Republic of Egypt,141,Female,<5 years,30,,,,,not_estimable_constant_series
Argentine Republic,97,Female,10-14 years,30,,,,,not_estimable_constant_series
Argentine Republic,97,Female,5-9 years,30,,,,,not_estimable_constant_series
Argentine Republic,97,Female,<5 years,30,,,,,not_estimable_constant_series
Australia,71,Female,10-14 years,30,,,,,not_estimable_constant_series
Australia,71,Female,5-9 years,30,,,,,not_estimable_constant_series
Australia,71,Female,<5 years,30,,,,,not_estimable_constant_series
Barbados,107,Female,10-14 years,30,,,,,not_estimable_constant_series
Barbados,107,Female,5-9 years,30,,,,,not_estimable_constant_series
Barbados,107,Female,<5 years,30,,,,,not_estimable_constant_series
Belize,108,Female,10-14 years,30,,,,,not_estimable_constant_series
Belize,108,Female,5-9 years,30,,,,,not_estimable_constant_series
Belize,108,Female,<5 years,30,,,,,not_estimable_constant_series
Bermuda,305,Female,10-14 years,30,,,,,not_estimable_constant_series
Bermuda,305,Female,5-9 years,30,,,,,not_estimable_constant_series
Bermuda,305,Female,<5 years,30,,,,,not_estimable_constant_series
Bolivarian Republic of Venezuela,133,Female,10-14 years,30,,,,,not_estimable_constant_series
Bolivarian Republic of Venezuela,133,Female,5-9 years,30,,,,,not_estimable_constant_series
Bolivarian Republic of Venezuela,133,Female,<5 years,30,,,,,not_estimable_constant_series
Bosnia and Herzegovina,44,Female,10-14 years,30,,,,,not_estimable_constant_series
Bosnia and Herzegovina,44,Female,5-9 years,30,,,,,not_estimable_constant_series
Bosnia and Herzegovina,44,Female,<5 years,30,,,,,not_estimable_constant_series
