location_name,ISO3,longitude,latitude,small_island_excluded,inferential_unit,display_method,value_duplicated_across_polygons
American Samoa,ASM,-170.7046,-14.274,TRUE,one country or territory,recorded representative coordinate,FALSE
Antigua and Barbuda,ATG,-61.85,17.1167,TRUE,one country or territory,recorded representative coordinate,FALSE
Arab Republic of Egypt,EGY,31.2358,30.0444,FALSE,one country or territory,recorded representative coordinate,FALSE
Argentine Republic,ARG,-58.3814,-34.6036,FALSE,one country or territory,recorded representative coordinate,FALSE
Australia,AUS,144.9631,-37.8142,FALSE,one country or territory,recorded representative coordinate,FALSE
Barbados,BRB,-59.6131,13.0969,TRUE,one country or territory,recorded representative coordinate,FALSE
Belize,BLZ,-88.1886,17.4986,TRUE,one country or territory,recorded representative coordinate,FALSE
Bermuda,BMU,-64.7819,32.2942,FALSE,one country or territory,recorded representative coordinate,FALSE
Bolivarian Republic of Venezuela,VEN,-66.9036,10.4806,FALSE,one country or territory,recorded representative coordinate,FALSE
Bosnia and Herzegovina,BIH,18.4131,43.8564,FALSE,one country or territory,recorded representative coordinate,FALSE
Brunei Darussalam,BRN,114.9422,4.8903,FALSE,one country or territory,recorded representative coordinate,FALSE
Burkina Faso,BFA,-1.5275,12.3686,FALSE,one country or territory,recorded representative coordinate,FALSE
Canada,CAN,-79.3733,43.7417,FALSE,one country or territory,recorded representative coordinate,FALSE
Central African Republic,CAF,18.5628,4.3733,FALSE,one country or territory,recorded representative coordinate,FALSE
Commonwealth of Dominica,DMA,-61.3883,15.3014,TRUE,one country or territory,recorded representative coordinate,FALSE
Commonwealth of the Bahamas,BHS,-77.3503,25.0442,TRUE,one country or territory,recorded representative coordinate,FALSE
Cook Islands,COK,-159.771,-21.207,TRUE,one country or territory,recorded representative coordinate,FALSE
Czech Republic,CZE,14.4214,50.0875,FALSE,one country or territory,recorded representative coordinate,FALSE
Democratic People's Republic of Korea,PRK,125.7475,39.0167,FALSE,one country or territory,recorded representative coordinate,FALSE
Democratic Republic of Sao Tome and Principe,STP,6.7306,0.3361,TRUE,one country or territory,recorded representative coordinate,FALSE
Democratic Republic of Timor-Leste,TLS,125.5795,-8.5594,FALSE,one country or territory,recorded representative coordinate,FALSE
Democratic Republic of the Congo,COD,15.3119,-4.3219,FALSE,one country or territory,recorded representative coordinate,FALSE
Democratic Socialist Republic of Sri Lanka,LKA,79.8333,6.9167,FALSE,one country or territory,recorded representative coordinate,FALSE
Dominican Republic,DOM,-70.6889,19.4572,TRUE,one country or territory,recorded representative coordinate,FALSE
Eastern Republic of Uruguay,URY,-56.1842,-34.9056,FALSE,one country or territory,recorded representative coordinate,FALSE
Federal Democratic Republic of Ethiopia,ETH,38.74,9.03,FALSE,one country or territory,recorded representative coordinate,FALSE
Federal Democratic Republic of Nepal,NPL,85.32,27.71,FALSE,one country or territory,recorded representative coordinate,FALSE
Federal Republic of Germany,DEU,13.405,52.52,FALSE,one country or territory,recorded representative coordinate,FALSE
Federal Republic of Nigeria,NGA,3.3841,6.455,FALSE,one country or territory,recorded representative coordinate,FALSE
Federal Republic of Somalia,SOM,45.3419,2.0392,FALSE,one country or territory,recorded representative coordinate,FALSE
Federated States of Micronesia,FSM,151.8583,7.4417,TRUE,one country or territory,recorded representative coordinate,FALSE
Federative Republic of Brazil,BRA,-46.6339,-23.5504,FALSE,one country or territory,recorded representative coordinate,FALSE
French Republic,FRA,2.3522,48.8567,FALSE,one country or territory,recorded representative coordinate,FALSE
Gabonese Republic,GAB,9.4544,0.3901,FALSE,one country or territory,recorded representative coordinate,FALSE
Georgia,GEO,44.7925,41.7225,FALSE,one country or territory,recorded representative coordinate,FALSE
Grand Duchy of Luxembourg,LUX,6.1319,49.6117,FALSE,one country or territory,recorded representative coordinate,FALSE
Greenland,GRL,-51.7361,64.1767,FALSE,one country or territory,recorded representative coordinate,FALSE
Grenada,GRD,-61.75,12.05,TRUE,one country or territory,recorded representative coordinate,FALSE
Guam,GUM,144.7332,13.4692,TRUE,one country or territory,recorded representative coordinate,FALSE
Hashemite Kingdom of Jordan,JOR,35.9328,31.9497,FALSE,one country or territory,recorded representative coordinate,FALSE
Hellenic Republic,GRC,23.7281,37.9842,FALSE,one country or territory,recorded representative coordinate,FALSE
Hungary,HUN,19.0408,47.4983,FALSE,one country or territory,recorded representative coordinate,FALSE
Independent State of Papua New Guinea,PNG,147.14940000000001,-9.4789,TRUE,one country or territory,recorded representative coordinate,FALSE
Independent State of Samoa,WSM,-171.75,-13.8333,TRUE,one country or territory,recorded representative coordinate,FALSE
Ireland,IRL,-6.2603,53.3497,FALSE,one country or territory,recorded representative coordinate,FALSE
Islamic Republic of Afghanistan,AFG,69.1783,34.5253,FALSE,one country or territory,recorded representative coordinate,FALSE
Islamic Republic of Iran,IRN,51.3897,35.6889,FALSE,one country or territory,recorded representative coordinate,FALSE
Islamic Republic of Mauritania,MRT,-15.9785,18.0858,FALSE,one country or territory,recorded representative coordinate,FALSE
Islamic Republic of Pakistan,PAK,67.01,24.86,FALSE,one country or territory,recorded representative coordinate,FALSE
Jamaica,JAM,-76.7931,17.9714,TRUE,one country or territory,recorded representative coordinate,FALSE
Japan,JPN,139.7495,35.687,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Bahrain,BHR,50.5875,26.2233,TRUE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Belgium,BEL,4.3525,50.8467,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Bhutan,BTN,89.6361,27.4722,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Cambodia,KHM,104.921,11.5696,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Denmark,DNK,12.5615,55.6805,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Eswatini,SWZ,31.388,-26.495,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Lesotho,LSO,27.48,-29.31,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Morocco,MAR,-7.5833,33.5333,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Norway,NOR,10.7389,59.9133,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Saudi Arabia,SAU,46.71,24.65,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Spain,ESP,-3.7033,40.4169,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Sweden,SWE,18.0547,59.3275,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Thailand,THA,100.4942,13.7525,FALSE,one country or territory,recorded representative coordinate,FALSE
Kingdom of Tonga,TON,-175.2,-21.1333,TRUE,one country or territory,recorded representative coordinate,FALSE
Kingdom of the Netherlands,NLD,5.0911,51.5572,FALSE,one country or territory,recorded representative coordinate,FALSE
Kyrgyz Republic,KGZ,74.5667,42.8667,FALSE,one country or territory,recorded representative coordinate,FALSE
Lao People's Democratic Republic,LAO,102.63,17.98,FALSE,one country or territory,recorded representative coordinate,FALSE
Lebanese Republic,LBN,35.5058,33.8981,FALSE,one country or territory,recorded representative coordinate,FALSE
Malaysia,MYS,101.698,3.1686,FALSE,one country or territory,recorded representative coordinate,FALSE
Mongolia,MNG,106.9055,47.9214,FALSE,one country or territory,recorded representative coordinate,FALSE
Montenegro,MNE,19.2628,42.4414,FALSE,one country or territory,recorded representative coordinate,FALSE
New Zealand,NZL,174.7653,-36.8492,FALSE,one country or territory,recorded representative coordinate,FALSE
North Macedonia,MKD,21.4317,41.9961,FALSE,one country or territory,recorded representative coordinate,FALSE
Northern Mariana Islands,MNP,145.7546,15.2137,TRUE,one country or territory,recorded representative coordinate,FALSE
