location_name,longitude,latitude,analysis,outcome,exposure,bandwidth_km,local_beta,local_se,local_t,ISO3,small_island_excluded
American Samoa,-170.7046,-14.274,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.18712410268055,1.31611726913516,-0.901989610288016,ASM,TRUE
Antigua and Barbuda,-61.85,17.1167,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.133882685317506,0.409455344541935,0.326977500970913,ATG,TRUE
Arab Republic of Egypt,31.2358,30.0444,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.183600361606235,0.0753913469268935,2.43529753864553,EGY,FALSE
Argentine Republic,-58.3814,-34.6036,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.447512910615333,0.691309146919429,-0.647341225860403,ARG,FALSE
Australia,144.9631,-37.8142,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.934749598719158,0.640561200760515,-1.45926665181932,AUS,FALSE
Barbados,-59.6131,13.0969,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.378064660676311,0.392568531668376,0.96305391333731,BRB,TRUE
Belize,-88.1886,17.4986,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.215525703383648,0.568098871019408,-0.379380622596388,BLZ,TRUE
Bermuda,-64.7819,32.2942,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.658141304217736,0.409282708492569,-1.60803593839021,BMU,FALSE
Bolivarian Republic of Venezuela,-66.9036,10.4806,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.422357898777961,0.462220271760719,0.913758925304353,VEN,FALSE
Bosnia and Herzegovina,18.4131,43.8564,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.210130888690212,0.0745056221801403,2.82033600339792,BIH,FALSE
Brunei Darussalam,114.9422,4.8903,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.655201288919434,0.26489315851046,2.47345493029621,BRN,FALSE
Burkina Faso,-1.5275,12.3686,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.233604302827687,0.0925811344840327,2.52323871520473,BFA,FALSE
Canada,-79.3733,43.7417,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.12757542188013,0.544792909241298,-2.0697321913577,CAN,FALSE
Central African Republic,18.5628,4.3733,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.149737319416496,0.0880973519546775,1.69968013900724,CAF,FALSE
Commonwealth of Dominica,-61.3883,15.3014,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.245052288818605,0.408572688838037,0.599776479224598,DMA,TRUE
Commonwealth of the Bahamas,-77.3503,25.0442,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.575423369942722,0.549288356765555,-1.04757976908715,BHS,TRUE
Cook Islands,-159.771,-21.207,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-1.40019951183092,1.54444109566015,-0.906605966239478,COK,TRUE
Czech Republic,14.4214,50.0875,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.209769949001867,0.0796931890260968,2.63221928455109,CZE,FALSE
Democratic People's Republic of Korea,125.7475,39.0167,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.504581859201327,0.203742966580625,2.4765608730923,PRK,FALSE
Democratic Republic of Sao Tome and Principe,6.7306,0.3361,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.153386120322259,0.0938533676792422,1.63431663791201,STP,TRUE
Democratic Republic of Timor-Leste,125.5795,-8.5594,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.391928489504106,0.411708841390052,0.951955484319545,TLS,FALSE
Democratic Republic of the Congo,15.3119,-4.3219,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.0842343910113814,0.105942444113319,0.795095787305812,COD,FALSE
Democratic Socialist Republic of Sri Lanka,79.8333,6.9167,Full 204: IHD association with DD,DD,IHD,1996.26309064423,0.417778607567541,0.122707054084093,3.40468289036774,LKA,FALSE
Dominican Republic,-70.6889,19.4572,Full 204: IHD association with DD,DD,IHD,1996.26309064423,-0.141982502748937,0.497632723360676,-0.285315848584239,DOM,TRUE
