"location_name","origin","specification","model","year","horizon","IHD_pred","DD_pred"
"American Samoa",2021,"Harmonized","ARIMAX",2030,9,405.654887329011,2320.4304916522
"Antigua and Barbuda",2021,"Harmonized","ARIMAX",2030,9,384.919550536296,3500.44672893255
"Arab Republic of Egypt",2021,"Harmonized","ARIMAX",2030,9,1059.09056099854,5083.3337017124
"Argentine Republic",2021,"Harmonized","ARIMAX",2030,9,244.233030496944,3283.61262276095
"Australia",2021,"Harmonized","ARIMAX",2030,9,378.658540590334,5803.24189207166
"Barbados",2021,"Harmonized","ARIMAX",2030,9,396.308376497761,3646.73180071562
"Belize",2021,"Harmonized","ARIMAX",2030,9,385.62124674835,3718.68616914658
"Bermuda",2021,"Harmonized","ARIMAX",2030,9,375.652981552468,3595.9421479027
"Bolivarian Republic of Venezuela",2021,"Harmonized","ARIMAX",2030,9,334.584261636368,3933.54117833429
"Bosnia and Herzegovina",2021,"Harmonized","ARIMAX",2030,9,331.468871463339,2900.07267679291
"Brunei Darussalam",2021,"Harmonized","ARIMAX",2030,9,116.078973012419,1765.11316435439
"Burkina Faso",2021,"Harmonized","ARIMAX",2030,9,336.160425764,5304.69915203919
"Canada",2021,"Harmonized","ARIMAX",2030,9,204.24,3875.06118860824
"Central African Republic",2021,"Harmonized","ARIMAX",2030,9,386.658599713138,7854.06473070057
"Commonwealth of Dominica",2021,"Harmonized","ARIMAX",2030,9,383.652650864596,3539.79299615854
"Commonwealth of the Bahamas",2021,"Harmonized","ARIMAX",2030,9,402.809665459742,3679.00273993972
"Cook Islands",2021,"Harmonized","ARIMAX",2030,9,381.098461182229,3135.84339906099
"Czech Republic",2021,"Harmonized","ARIMAX",2030,9,467.956010144241,3008.85798280002
"Democratic People's Republic of Korea",2021,"Harmonized","ARIMAX",2030,9,338.84,2265.28270229043
"Democratic Republic of Sao Tome and Principe",2021,"Harmonized","ARIMAX",2030,9,383.169883170989,4118.40248534049
"Democratic Republic of Timor-Leste",2021,"Harmonized","ARIMAX",2030,9,217.985640713428,2570.64258380206
"Democratic Republic of the Congo",2021,"Harmonized","ARIMAX",2030,9,401.108652002849,7199.79056209939
"Democratic Socialist Republic of Sri Lanka",2021,"Harmonized","ARIMAX",2030,9,257.790273225626,2399.15743992546
"Dominican Republic",2021,"Harmonized","ARIMAX",2030,9,340.76,4724.29405815461
"Eastern Republic of Uruguay",2021,"Harmonized","ARIMAX",2030,9,240.08285380271,4111.83828797355
"Federal Democratic Republic of Ethiopia",2021,"Harmonized","ARIMAX",2030,9,292.811458927669,5664.53785160939
"Federal Democratic Republic of Nepal",2021,"Harmonized","ARIMAX",2030,9,497.31,7024.18795393355
"Federal Republic of Germany",2021,"Harmonized","ARIMAX",2030,9,223.88,4448.95822407376
"Federal Republic of Nigeria",2021,"Harmonized","ARIMAX",2030,9,385.225920761342,4119.75641063184
"Federal Republic of Somalia",2021,"Harmonized","ARIMAX",2030,9,349.343853431658,6188.10989710704
"Federated States of Micronesia",2021,"Harmonized","ARIMAX",2030,9,392.202635120415,2516.63144360265
"Federative Republic of Brazil",2021,"Harmonized","ARIMAX",2030,9,168.429086076488,4779.26410807663
