"panel","model","period","year","n_high","value_basis"
"A","VARX","Historical",1992,14,"archived historical count"
"A","VARX","Historical",1993,15,"archived historical count"
"A","VARX","Historical",1994,16,"archived historical count"
"A","VARX","Historical",1995,16,"archived historical count"
"A","VARX","Historical",1996,16,"archived historical count"
"A","VARX","Historical",1997,14,"archived historical count"
"A","VARX","Historical",1998,14,"archived historical count"
"A","VARX","Historical",1999,14,"archived historical count"
"A","VARX","Historical",2000,14,"archived historical count"
"A","VARX","Historical",2001,14,"archived historical count"
"A","VARX","Historical",2002,14,"archived historical count"
"A","VARX","Historical",2003,15,"archived historical count"
"A","VARX","Historical",2004,14,"archived historical count"
"A","VARX","Historical",2005,14,"archived historical count"
"A","VARX","Historical",2006,15,"archived historical count"
"A","VARX","Historical",2007,14,"archived historical count"
"A","VARX","Historical",2008,14,"archived historical count"
"A","VARX","Historical",2009,14,"archived historical count"
"A","VARX","Historical",2010,13,"archived historical count"
"A","VARX","Historical",2011,13,"archived historical count"
"A","VARX","Historical",2012,13,"archived historical count"
"A","VARX","Historical",2013,12,"archived historical count"
"A","VARX","Historical",2014,12,"archived historical count"
"A","VARX","Historical",2015,12,"archived historical count"
"A","VARX","Historical",2016,12,"archived historical count"
"A","VARX","Historical",2017,12,"archived historical count"
"A","VARX","Historical",2018,13,"archived historical count"
"A","VARX","Historical",2019,13,"archived historical count"
"A","VARX","Historical",2020,14,"archived historical count"
"A","VARX","Historical",2021,15,"archived historical count"
"A","VARX","Projection",2022,17,"archived plotted trajectory"
"A","VARX","Projection",2023,16,"archived plotted trajectory"
"A","VARX","Projection",2024,21,"archived plotted trajectory"
"A","VARX","Projection",2025,19,"archived plotted trajectory"
"A","VARX","Projection",2026,20,"archived plotted trajectory"
"A","VARX","Projection",2027,18,"archived plotted trajectory"
"A","VARX","Projection",2028,19,"archived plotted trajectory"
"A","VARX","Projection",2029,20,"archived plotted trajectory"
"A","VARX","Projection",2030,19,"archived plotted trajectory"
"B","ARIMAX","Historical",1992,14,"archived historical count"
"B","ARIMAX","Historical",1993,15,"archived historical count"
"B","ARIMAX","Historical",1994,16,"archived historical count"
"B","ARIMAX","Historical",1995,16,"archived historical count"
"B","ARIMAX","Historical",1996,16,"archived historical count"
"B","ARIMAX","Historical",1997,14,"archived historical count"
"B","ARIMAX","Historical",1998,14,"archived historical count"
"B","ARIMAX","Historical",1999,14,"archived historical count"
"B","ARIMAX","Historical",2000,14,"archived historical count"
"B","ARIMAX","Historical",2001,14,"archived historical count"
"B","ARIMAX","Historical",2002,14,"archived historical count"
"B","ARIMAX","Historical",2003,15,"archived historical count"
"B","ARIMAX","Historical",2004,14,"archived historical count"
"B","ARIMAX","Historical",2005,14,"archived historical count"
"B","ARIMAX","Historical",2006,15,"archived historical count"
"B","ARIMAX","Historical",2007,14,"archived historical count"
"B","ARIMAX","Historical",2008,14,"archived historical count"
"B","ARIMAX","Historical",2009,14,"archived historical count"
"B","ARIMAX","Historical",2010,13,"archived historical count"
"B","ARIMAX","Historical",2011,13,"archived historical count"
"B","ARIMAX","Historical",2012,13,"archived historical count"
"B","ARIMAX","Historical",2013,12,"archived historical count"
"B","ARIMAX","Historical",2014,12,"archived historical count"
"B","ARIMAX","Historical",2015,12,"archived historical count"
"B","ARIMAX","Historical",2016,12,"archived historical count"
"B","ARIMAX","Historical",2017,12,"archived historical count"
"B","ARIMAX","Historical",2018,13,"archived historical count"
"B","ARIMAX","Historical",2019,13,"archived historical count"
"B","ARIMAX","Historical",2020,14,"archived historical count"
"B","ARIMAX","Historical",2021,15,"archived historical count"
"B","ARIMAX","Projection",2022,15,"archived plotted trajectory"
"B","ARIMAX","Projection",2023,14,"archived plotted trajectory"
"B","ARIMAX","Projection",2024,14,"archived plotted trajectory"
"B","ARIMAX","Projection",2025,14,"archived plotted trajectory"
"B","ARIMAX","Projection",2026,15,"archived plotted trajectory"
"B","ARIMAX","Projection",2027,14,"archived plotted trajectory"
"B","ARIMAX","Projection",2028,14,"archived plotted trajectory"
"B","ARIMAX","Projection",2029,14,"archived plotted trajectory"
"B","ARIMAX","Projection",2030,14,"archived plotted trajectory"
