"specification","model","year","n_countries","n_valid","n_high"
"Harmonized","ARIMAX",2022,204,204,14
"Harmonized","ARIMAX",2023,204,204,14
"Harmonized","ARIMAX",2024,204,204,13
"Harmonized","ARIMAX",2025,204,204,13
"Harmonized","ARIMAX",2026,204,204,14
"Harmonized","ARIMAX",2027,204,204,13
"Harmonized","ARIMAX",2028,204,204,12
"Harmonized","ARIMAX",2029,204,204,14
"Harmonized","ARIMAX",2030,204,204,15
"Harmonized","VARX",2022,204,204,18
"Harmonized","VARX",2023,204,204,18
"Harmonized","VARX",2024,204,204,15
"Harmonized","VARX",2025,204,204,13
"Harmonized","VARX",2026,204,203,
"Harmonized","VARX",2027,204,201,
"Harmonized","VARX",2028,204,198,
"Harmonized","VARX",2029,204,195,
"Harmonized","VARX",2030,204,191,
"Original","ARIMAX",2022,204,204,15
"Original","ARIMAX",2023,204,204,14
"Original","ARIMAX",2024,204,204,14
"Original","ARIMAX",2025,204,204,14
"Original","ARIMAX",2026,204,204,15
"Original","ARIMAX",2027,204,204,14
"Original","ARIMAX",2028,204,204,14
"Original","ARIMAX",2029,204,204,14
"Original","ARIMAX",2030,204,204,13
"Original","VARX",2022,204,204,17
"Original","VARX",2023,204,204,16
"Original","VARX",2024,204,204,21
"Original","VARX",2025,204,204,19
"Original","VARX",2026,204,204,20
"Original","VARX",2027,204,204,18
"Original","VARX",2028,204,204,19
"Original","VARX",2029,204,204,20
"Original","VARX",2030,204,204,19
