"origin","specification","model","year","horizon","n_countries","n_valid","n_high"
2012,"Benchmark","Persistence",2013,1,204,204,13
2012,"Benchmark","Persistence",2014,2,204,204,13
2012,"Benchmark","Persistence",2015,3,204,204,13
2012,"Benchmark","Persistence",2016,4,204,204,13
2012,"Benchmark","Persistence",2017,5,204,204,13
2012,"Benchmark","Persistence",2018,6,204,204,13
2012,"Benchmark","Persistence",2019,7,204,204,13
2012,"Benchmark","Persistence",2020,8,204,204,13
2012,"Benchmark","Persistence",2021,9,204,204,13
2012,"Harmonized","ARIMAX",2013,1,204,204,13
2012,"Harmonized","ARIMAX",2014,2,204,204,13
2012,"Harmonized","ARIMAX",2015,3,204,204,13
2012,"Harmonized","ARIMAX",2016,4,204,204,13
2012,"Harmonized","ARIMAX",2017,5,204,204,14
2012,"Harmonized","ARIMAX",2018,6,204,204,14
2012,"Harmonized","ARIMAX",2019,7,204,204,14
2012,"Harmonized","ARIMAX",2020,8,204,204,14
2012,"Harmonized","ARIMAX",2021,9,204,204,15
2012,"Harmonized","VARX",2013,1,204,204,12
2012,"Harmonized","VARX",2014,2,204,204,13
2012,"Harmonized","VARX",2015,3,204,204,13
2012,"Harmonized","VARX",2016,4,204,204,13
2012,"Harmonized","VARX",2017,5,204,204,12
2012,"Harmonized","VARX",2018,6,204,204,10
2012,"Harmonized","VARX",2019,7,204,204,10
2012,"Harmonized","VARX",2020,8,204,204,12
2012,"Harmonized","VARX",2021,9,204,204,11
2012,"Original","ARIMAX",2013,1,204,204,13
2012,"Original","ARIMAX",2014,2,204,204,13
2012,"Original","ARIMAX",2015,3,204,204,14
2012,"Original","ARIMAX",2016,4,204,204,14
2012,"Original","ARIMAX",2017,5,204,204,15
2012,"Original","ARIMAX",2018,6,204,204,15
2012,"Original","ARIMAX",2019,7,204,204,15
2012,"Original","ARIMAX",2020,8,204,204,15
2012,"Original","ARIMAX",2021,9,204,204,15
2012,"Original","VARX",2013,1,204,204,12
2012,"Original","VARX",2014,2,204,204,12
2012,"Original","VARX",2015,3,204,204,12
2012,"Original","VARX",2016,4,204,204,12
2012,"Original","VARX",2017,5,204,204,12
2012,"Original","VARX",2018,6,204,204,12
2012,"Original","VARX",2019,7,204,204,12
2012,"Original","VARX",2020,8,204,204,11
2012,"Original","VARX",2021,9,204,204,11
2015,"Benchmark","Persistence",2016,1,204,204,12
2015,"Benchmark","Persistence",2017,2,204,204,12
2015,"Benchmark","Persistence",2018,3,204,204,12
2015,"Benchmark","Persistence",2019,4,204,204,12
2015,"Benchmark","Persistence",2020,5,204,204,12
2015,"Benchmark","Persistence",2021,6,204,204,12
2015,"Harmonized","ARIMAX",2016,1,204,204,12
2015,"Harmonized","ARIMAX",2017,2,204,204,12
2015,"Harmonized","ARIMAX",2018,3,204,204,12
2015,"Harmonized","ARIMAX",2019,4,204,204,12
2015,"Harmonized","ARIMAX",2020,5,204,204,13
2015,"Harmonized","ARIMAX",2021,6,204,204,13
2015,"Harmonized","VARX",2016,1,204,204,12
2015,"Harmonized","VARX",2017,2,204,204,12
2015,"Harmonized","VARX",2018,3,204,204,12
2015,"Harmonized","VARX",2019,4,204,204,12
2015,"Harmonized","VARX",2020,5,204,204,12
2015,"Harmonized","VARX",2021,6,204,204,14
2015,"Original","ARIMAX",2016,1,204,204,12
2015,"Original","ARIMAX",2017,2,204,204,12
2015,"Original","ARIMAX",2018,3,204,204,12
2015,"Original","ARIMAX",2019,4,204,204,12
2015,"Original","ARIMAX",2020,5,204,204,12
2015,"Original","ARIMAX",2021,6,204,204,13
2015,"Original","VARX",2016,1,204,204,12
2015,"Original","VARX",2017,2,204,204,12
2015,"Original","VARX",2018,3,204,204,12
2015,"Original","VARX",2019,4,204,204,12
2015,"Original","VARX",2020,5,204,204,12
2015,"Original","VARX",2021,6,204,204,14
2018,"Benchmark","Persistence",2019,1,204,204,13
2018,"Benchmark","Persistence",2020,2,204,204,13
2018,"Benchmark","Persistence",2021,3,204,204,13
2018,"Harmonized","ARIMAX",2019,1,204,204,13
2018,"Harmonized","ARIMAX",2020,2,204,204,13
2018,"Harmonized","ARIMAX",2021,3,204,204,13
2018,"Harmonized","VARX",2019,1,204,204,13
2018,"Harmonized","VARX",2020,2,204,204,13
2018,"Harmonized","VARX",2021,3,204,204,12
2018,"Original","ARIMAX",2019,1,204,204,13
2018,"Original","ARIMAX",2020,2,204,204,13
2018,"Original","ARIMAX",2021,3,204,204,13
2018,"Original","VARX",2019,1,204,204,13
2018,"Original","VARX",2020,2,204,204,13
2018,"Original","VARX",2021,3,204,204,13
2021,"Benchmark","Persistence",2022,1,204,204,15
2021,"Benchmark","Persistence",2023,2,204,204,15
2021,"Benchmark","Persistence",2024,3,204,204,15
2021,"Benchmark","Persistence",2025,4,204,204,15
2021,"Benchmark","Persistence",2026,5,204,204,15
2021,"Benchmark","Persistence",2027,6,204,204,15
2021,"Benchmark","Persistence",2028,7,204,204,15
