"origin","specification","model","n","n_failed","n_unstable_VARX","maximum_VARX_root","IHD_lower_clips","IHD_upper_clips","DD_lower_clips","DD_upper_clips","IHD_zero_floors","DD_zero_floors"
2012,"Benchmark","Persistence",204,0,0,,0,0,0,0,0,0
2012,"Harmonized","ARIMAX",204,0,0,,0,0,0,0,0,0
2012,"Harmonized","VARX",204,0,137,1.66511880678497,0,0,0,0,1,0
2012,"Original","ARIMAX",204,0,0,,0,0,0,0,0,0
2012,"Original","VARX",204,0,137,1.66511880678497,673,1,509,5,0,0
2015,"Benchmark","Persistence",204,0,0,,0,0,0,0,0,0
2015,"Harmonized","ARIMAX",204,0,0,,0,0,0,0,0,0
2015,"Harmonized","VARX",204,0,124,1.39072502242908,0,0,0,0,0,0
2015,"Original","ARIMAX",204,0,0,,0,0,0,0,0,0
2015,"Original","VARX",204,0,124,1.39072502242908,291,0,328,0,0,0
2018,"Benchmark","Persistence",204,0,0,,0,0,0,0,0,0
2018,"Harmonized","ARIMAX",204,0,0,,0,0,0,0,0,0
2018,"Harmonized","VARX",204,0,108,1.27217379761262,0,0,0,0,0,0
2018,"Original","ARIMAX",204,0,0,,0,0,0,0,0,0
2018,"Original","VARX",204,0,108,1.27217379761262,114,0,88,0,0,0
2021,"Benchmark","Persistence",204,0,0,,0,0,0,0,0,0
2021,"Harmonized","ARIMAX",204,0,0,,0,0,0,0,0,0
2021,"Harmonized","VARX",204,14,176,3.98153293810624,0,0,0,0,95,19
2021,"Original","ARIMAX",204,0,0,,0,0,0,0,0,0
2021,"Original","VARX",204,0,176,3.98153293810624,732,285,128,954,0,0
