"location_name","origin","specification","model","n_train","n_forecast","future_SDI","status","message","roots","p_IHD","d_IHD","q_IHD","p_DD","d_DD","q_DD","clip_low_IHD","clip_high_IHD","clip_low_DD","clip_high_DD","zero_floor_IHD","zero_floor_DD","residual_lb_IHD","residual_lb_DD","warning"
"American Samoa",2021,"Original","VARX",30,9,0.72373,"ok","",1.89179125041707,2,,,2,,,0,5,0,8,0,0,0.000158836599380652,0.164701623460164,""
"Antigua and Barbuda",2021,"Original","VARX",30,9,0.74989,"ok","",1.51409631751718,2,,,2,,,8,0,0,8,0,0,0.0160413103348709,0.196797520040944,""
"Arab Republic of Egypt",2021,"Original","VARX",30,9,0.60679,"ok","",1.02494445188878,2,,,2,,,8,0,0,0,0,0,9.19265725496388e-05,0.573738966834047,""
"Argentine Republic",2021,"Original","VARX",30,9,0.72312,"ok","",0.99223987194063,2,,,2,,,0,0,0,0,0,0,2.8378034923171e-05,0.894221324310385,""
"Australia",2021,"Original","VARX",30,9,0.84425,"ok","",0.89388562875899,2,,,2,,,0,0,0,0,0,0,0.000369126857997393,0.997100152926628,""
"Barbados",2021,"Original","VARX",30,9,0.74675,"ok","",2.2044424888611,2,,,2,,,7,0,0,8,0,0,0.000103246118380085,0.952937335818002,""
"Belize",2021,"Original","VARX",30,9,0.61023,"ok","",0.866206069742554,2,,,2,,,0,0,0,0,0,0,0.516851675727192,0.999982422158597,""
"Bermuda",2021,"Original","VARX",30,9,0.82137,"ok","",1.81933004456705,2,,,2,,,8,0,0,8,0,0,0.00820312840283433,0.554075092730322,""
"Bolivarian Republic of Venezuela",2021,"Original","VARX",30,9,0.59651,"ok","",1.99007127059904,2,,,2,,,0,4,0,8,0,0,0.0118097851002008,0.996727058300994,""
"Bosnia and Herzegovina",2021,"Original","VARX",30,9,0.72308,"ok","",1.104437950774,2,,,2,,,0,0,0,4,0,0,0.00152710183192495,0.802571732228034,""
"Brunei Darussalam",2021,"Original","VARX",30,9,0.81023,"ok","",1.4141338940077,2,,,2,,,9,0,0,7,0,0,0.00705183854903491,0.749294985587164,""
"Burkina Faso",2021,"Original","VARX",30,9,0.28512,"ok","",0.893023452315551,2,,,2,,,0,0,0,0,0,0,0.0178479349277643,0.727794270791976,""
"Canada",2021,"Original","VARX",30,9,0.87317,"ok","",1.03494739519249,2,,,2,,,0,0,0,0,0,0,0.0139744300706764,0.874440423421665,""
"Central African Republic",2021,"Original","VARX",30,9,0.30917,"ok","",1.09474205878517,2,,,2,,,0,0,3,0,0,0,0.0112040326283466,0.993179278691551,""
"Commonwealth of Dominica",2021,"Original","VARX",30,9,0.74697,"ok","",1.60699877520702,2,,,2,,,7,0,0,8,0,0,0.00221121889598508,0.51390154394946,""
"Commonwealth of the Bahamas",2021,"Original","VARX",30,9,0.80502,"ok","",1.81927865757051,2,,,2,,,8,0,0,9,0,0,0.00023159520309235,0.273816361367068,""
"Cook Islands",2021,"Original","VARX",30,9,0.77911,"ok","",2.76442482935911,2,,,2,,,0,6,0,8,0,0,0.00126754400518447,0.554387822152321,""
"Czech Republic",2021,"Original","VARX",30,9,0.82845,"ok","",1.29306712942725,2,,,2,,,0,0,5,1,0,0,0.00235240123177993,0.976724485336692,""
