location_name,ISO3,longitude,latitude,selected_lag_BIC,primary_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,HC3_direction,IHD_to_DD_p_HC3,IHD_to_DD_q_HC3,DD_to_IHD_p_HC3,DD_to_IHD_q_HC3,IHD_to_DD_BG_p,DD_to_IHD_BG_p,diagnostics,small_island_excluded
American Samoa,ASM,-170.7046,-14.274,3,DD -> IHD,0.00872897024030117,0.356141985804288,0.00019686388110524,0.000257437382983775,Neither,0.644637974246274,0.916769859708322,0.681025196043847,0.965817692352022,0.137003473813557,0.0738060629789123,Influence flag,TRUE
Antigua and Barbuda,ATG,-61.85,17.1167,3,DD -> IHD,0.213660455375053,0.718816670460909,0.0143873249008988,0.0165887345851649,Neither,0.834232592024013,0.916769859708322,0.874076196261479,0.996153877303585,0.727393611629378,0.901443241825774,Influence flag,TRUE
Arab Republic of Egypt,EGY,31.2358,30.0444,3,DD -> IHD,0.660874258786947,0.761685586398515,0.000000000328129181439224,0.000000000625592084239267,Neither,0.679059975689265,0.916769859708322,0.644734742274889,0.965817692352022,0.812596083304292,0.461042664332448,Influence flag,FALSE
Argentine Republic,ARG,-58.3814,-34.6036,3,DD -> IHD,0.302507446562462,0.718816670460909,0.00000000192317033748256,0.00000000332480295632578,Neither,0.776201599154158,0.916769859708322,0.670502887043939,0.965817692352022,0.386908466181176,0.154537843760329,Influence flag,FALSE
Australia,AUS,144.9631,-37.8142,3,DD -> IHD,0.106878953418238,0.718816670460909,0.0000000000000000023384305414675,0.00000000000000000836911983262054,Neither,0.801615058678381,0.916769859708322,0.0205063534308544,0.209164804994715,0.0329479165784603,0.176979912450151,Residual serial correlation flag,FALSE
Barbados,BRB,-59.6131,13.0969,3,DD -> IHD,0.535864187047451,0.718816670460909,0.000000000456908899522205,0.000000000855132252316788,Neither,0.81689018215253,0.916769859708322,0.953134936340034,0.998138144554251,0.0805359769249485,0.258361244190749,Influence flag,TRUE
Belize,BLZ,-88.1886,17.4986,3,DD -> IHD,0.3510335850599,0.718816670460909,0.00366743510478352,0.00437518573903999,Neither,0.816832519542359,0.916769859708322,0.870740552496958,0.996153877303585,0.445449237801452,0.60704151547425,Influence flag,TRUE
Bermuda,BMU,-64.7819,32.2942,2,DD -> IHD,0.58915746110204,0.729734302009361,0.0122528093914768,0.0142832749477786,Neither,0.694350650646357,0.916769859708322,0.858989898624911,0.995669705266118,0.944382874012028,0.0750893761331438,Influence flag,FALSE
Bolivarian Republic of Venezuela,VEN,-66.9036,10.4806,3,DD -> IHD,0.705171171956598,0.777594157184573,0.00000000000000781380741206889,0.0000000000000207015157410656,Neither,0.809922937579137,0.916769859708322,0.0741605437492889,0.498177122702286,0.489137953176605,0.418005264189543,Influence flag,FALSE
Bosnia and Herzegovina,BIH,18.4131,43.8564,2,DD -> IHD,0.296096792036179,0.718816670460909,0.0000463743651257369,0.0000622392795108574,Neither,0.610677232141938,0.916769859708322,0.316649928827731,0.827630372655187,0.188545930034566,0.00857412941223875,Residual serial correlation flag,FALSE
Brunei Darussalam,BRN,114.9422,4.8903,2,DD -> IHD,0.30354488063193,0.718816670460909,0.0000000000000000506753830794945,0.000000000000000164091716638363,Neither,0.557385709844541,0.916769859708322,0.655169601709607,0.965817692352022,0.0772280950952905,0.586015059629215,Influence flag,FALSE
Burkina Faso,BFA,-1.5275,12.3686,3,DD -> IHD,0.252739684683083,0.718816670460909,0.00000301158552197816,0.00000445190903248946,Neither,0.910542252438218,0.92413243531043,0.319038419522561,0.827630372655187,0.0608742845990854,0.779469991802421,Influence flag,FALSE
Canada,CAN,-79.3733,43.7417,2,DD -> IHD,0.480763034844684,0.718816670460909,0.0230174329785636,0.0259423001526352,Neither,0.618920765726806,0.916769859708322,0.0757033862929944,0.498177122702286,0.152651669177094,0.0160973974362388,Residual serial correlation flag,FALSE
Central African Republic,CAF,18.5628,4.3733,2,DD -> IHD,0.388742803715453,0.718816670460909,0.0000000000000000000855172741194249,0.000000000000000000371181360007717,Neither,0.63047426728723,0.916769859708322,0.583538211125255,0.952675610449616,0.885472802658058,0.229182461274979,Influence flag,FALSE
Commonwealth of Dominica,DMA,-61.3883,15.3014,3,Neither,0.415077055793256,0.718816670460909,0.900507394568964,0.904943391586545,Neither,0.836194687459427,0.916769859708322,0.993245310512318,0.998138144554251,0.186099109084975,0.861081890905368,Influence flag,TRUE
Commonwealth of the Bahamas,BHS,-77.3503,25.0442,3,DD -> IHD,0.251285264869039,0.718816670460909,0.00000490588420268486,0.00000704788998132192,Neither,0.83313604058499,0.916769859708322,0.931926071053444,0.998138144554251,0.439272287332673,0.884573905405328,Influence flag,TRUE
Cook Islands,COK,-159.771,-21.207,3,DD -> IHD,0.434820689202426,0.718816670460909,0.000280894796154602,0.000364984321118082,Neither,0.811779548812426,0.916769859708322,0.859009157484494,0.995669705266118,0.14506194321007,0.105949160137714,Influence flag,TRUE
Czech Republic,CZE,14.4214,50.0875,3,DD -> IHD,0.32327688798614,0.718816670460909,0.00266393490257585,0.00319672188309102,Neither,0.81321028589877,0.916769859708322,0.314552210853704,0.827630372655187,0.245261826176984,0.124666429645864,Influence flag,FALSE
Democratic People's Republic of Korea,PRK,125.7475,39.0167,2,DD -> IHD,0.248028209270584,0.718816670460909,0.000000000000263733449183184,0.000000000000591226633333731,Neither,0.377036449972928,0.916769859708322,0.489099070408621,0.945467922761366,0.777377465520653,0.0365663273204601,Residual serial correlation flag,FALSE
Democratic Republic of Sao Tome and Principe,STP,6.7306,0.3361,2,DD -> IHD,0.162461090691404,0.718816670460909,0.000000000000000506270366620478,0.00000000000000143443270542469,Neither,0.508186226667756,0.916769859708322,0.0636384668430449,0.447663697792454,0.105235044803045,0.241444390218011,Influence flag,TRUE
Democratic Republic of Timor-Leste,TLS,125.5795,-8.5594,3,DD -> IHD,0.761010257551835,0.807147069527652,0.0000000000000000000114420317981227,0.0000000000000000000569310850443177,Neither,0.866148000547689,0.916769859708322,0.197163794304832,0.772969673482261,0.389850585698977,0.740364035657139,Influence flag,FALSE
