location_name,IHD_to_DD_status,IHD_to_DD_p,IHD_to_DD_BG_p,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_p,DD_to_IHD_BG_p,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,direction
American Samoa,fit_ok,0.171616670973218,0.115758451499637,,fit_ok,0.000114457259022578,0.385618243710815,,0.648510394626042,0.000157765411085176,DD_to_IHD
Antigua and Barbuda,fit_ok,0.350276777579341,0.988815037744491,,fit_ok,0.0373602202186533,0.210981725319901,,0.648510394626042,0.0411972158086772,DD_to_IHD
Arab Republic of Egypt,fit_ok,0.753626090088159,0.942728793577092,,fit_ok,0.000000000000147245907968231,0.023586868347871,,0.768698611889922,0.000000000000345266266959991,DD_to_IHD
Argentine Republic,fit_ok,0.161489252285032,0.185253248225019,,fit_ok,0.000000000000030452472929303,0.00289098629167632,,0.648510394626042,0.0000000000000757598107021684,DD_to_IHD
Australia,fit_ok,0.0903431259806943,0.169081450369336,,fit_ok,0.000000000000000482261685348158,0.00697915096040109,,0.648510394626042,0.00000000000000142581715668151,DD_to_IHD
Barbados,fit_ok,0.476015109863917,0.48075486867724,,fit_ok,0.00000000739893618105238,0.0829653021441848,,0.674888507351795,0.000000013125069399432,DD_to_IHD
Belize,fit_ok,0.292075670343053,0.327875952759746,,fit_ok,0.0186789388997462,0.400128004287689,,0.648510394626042,0.021899445606599,DD_to_IHD
Bermuda,fit_ok,0.58915746110204,0.944382874012028,,fit_ok,0.0122528093914768,0.0750893761331438,,0.674888507351795,0.0147033712697721,DD_to_IHD
Bolivarian Republic of Venezuela,fit_ok,0.287598023111164,0.593200207038583,,fit_ok,0.000000000000000122131049886774,0.132074724569524,,0.648510394626042,0.000000000000000389292721514092,DD_to_IHD
Bosnia and Herzegovina,fit_ok,0.296096792036179,0.188545930034566,,fit_ok,0.0000463743651257369,0.00857412941223875,,0.648510394626042,0.0000652439343837953,DD_to_IHD
Brunei Darussalam,fit_ok,0.30354488063193,0.0772280950952905,,fit_ok,0.0000000000000000506753830794945,0.586015059629215,,0.648510394626042,0.000000000000000172296302470281,DD_to_IHD
Burkina Faso,fit_ok,0.0119149110662078,0.0171225945149078,,fit_ok,0.0138549869517349,0.745724388168626,,0.431009364511121,0.0165287563634732,DD_to_IHD
