location_name,corrected_direction,IHD_to_DD_p,IHD_to_DD_q,DD_to_IHD_p,DD_to_IHD_q,diagnostics,small_island_excluded,submitted_direction,submitted_IHD_to_DD_p,submitted_IHD_to_DD_q,submitted_DD_to_IHD_p,submitted_DD_to_IHD_q,classification_changed
American Samoa,DD_to_IHD,0.00872897024030117,0.356141985804288,0.00019686388110524,0.000257437382983775,Influence flag,TRUE,Bidirectional,0.00112580445173827,0.00421128584223757,0.00000000000976552172460288,0.0000000000237162670454641,TRUE
Antigua and Barbuda,DD_to_IHD,0.213660455375053,0.718816670460909,0.0143873249008988,0.0165887345851649,Influence flag,TRUE,Neither,0.0379559244273879,0.0604922545561495,0.119562023686073,0.136260630346139,TRUE
Arab Republic of Egypt,DD_to_IHD,0.660874258786947,0.761685586398515,0.000000000328129181439224,0.000000000625592084239267,Influence flag,FALSE,Bidirectional,0.024538078933718,0.0457480404865127,0.00000000000203881356242164,0.00000000000542447472221815,TRUE
Argentine Republic,DD_to_IHD,0.302507446562462,0.718816670460909,0.00000000192317033748256,0.00000000332480295632578,Influence flag,FALSE,Bidirectional,0.00297500453461197,0.00910764485755533,0.000000190807702860063,0.000000360414549846786,TRUE
Australia,DD_to_IHD,0.106878953418238,0.718816670460909,0.0000000000000000023384305414675,0.00000000000000000836911983262054,Residual serial correlation flag,FALSE,DD_to_IHD,0.271454176273319,0.3238400699401,0.0000782070081504216,0.000119956614005158,FALSE
Barbados,DD_to_IHD,0.535864187047451,0.718816670460909,0.000000000456908899522205,0.000000000855132252316788,Influence flag,TRUE,Neither,0.0320484187316856,0.0529423399977645,0.0933106892713125,0.110031101799698,TRUE
Belize,DD_to_IHD,0.3510335850599,0.718816670460909,0.00366743510478352,0.00437518573903999,Influence flag,TRUE,DD_to_IHD,0.828293284791306,0.836494208403102,0.016281575664234,0.0206300710279736,FALSE
Bermuda,DD_to_IHD,0.58915746110204,0.729734302009361,0.0122528093914768,0.0142832749477786,Influence flag,FALSE,Neither,0.22773060232195,0.283274651668767,0.641163713360768,0.650733321022869,TRUE
Bolivarian Republic of Venezuela,DD_to_IHD,0.705171171956598,0.777594157184573,0.00000000000000781380741206889,0.0000000000000207015157410656,Influence flag,FALSE,Bidirectional,0.0000583984236749435,0.000541512655894931,0,0,TRUE
Bosnia and Herzegovina,DD_to_IHD,0.296096792036179,0.718816670460909,0.0000463743651257369,0.0000622392795108574,Residual serial correlation flag,FALSE,IHD_to_DD,0.000645550787330529,0.00274359084615475,0.142274587530462,0.158601179542155,TRUE
Brunei Darussalam,DD_to_IHD,0.30354488063193,0.718816670460909,0.0000000000000000506753830794945,0.000000000000000164091716638363,Influence flag,FALSE,Bidirectional,0.00923587035250728,0.0222702960071448,0.00000000000683475498419739,0.0000000000172134569972379,TRUE
Burkina Faso,DD_to_IHD,0.252739684683083,0.718816670460909,0.00000301158552197816,0.00000445190903248946,Influence flag,FALSE,IHD_to_DD,0.0000213486293676457,0.000280544573738273,0.911233323775488,0.911233323775488,TRUE
Canada,DD_to_IHD,0.480763034844684,0.718816670460909,0.0230174329785636,0.0259423001526352,Residual serial correlation flag,FALSE,Neither,0.168058408065908,0.218368886913664,0.310135005876366,0.329518443743639,TRUE
Central African Republic,DD_to_IHD,0.388742803715453,0.718816670460909,0.0000000000000000000855172741194249,0.000000000000000000371181360007717,Influence flag,FALSE,DD_to_IHD,0.0462659104598544,0.0726018902600792,0,0,FALSE
Commonwealth of Dominica,Neither,0.415077055793256,0.718816670460909,0.900507394568964,0.904943391586545,Influence flag,TRUE,IHD_to_DD,0.0189321128149476,0.0367823906118981,0.141213178705966,0.158282903604489,TRUE
Commonwealth of the Bahamas,DD_to_IHD,0.251285264869039,0.718816670460909,0.00000490588420268486,0.00000704788998132192,Influence flag,TRUE,IHD_to_DD,0.000801516201997643,0.00327018610415038,0.136946759502499,0.154348833914419,TRUE
Cook Islands,DD_to_IHD,0.434820689202426,0.718816670460909,0.000280894796154602,0.000364984321118082,Influence flag,TRUE,Bidirectional,0.0000774625114993155,0.000639154916651662,0.00000549970922514298,0.00000950797188075566,TRUE
Czech Republic,DD_to_IHD,0.32327688798614,0.718816670460909,0.00266393490257585,0.00319672188309102,Influence flag,FALSE,Bidirectional,0.0105347916653102,0.0238788611080365,0.0000139263324554495,0.000023286654269768,TRUE
Democratic People's Republic of Korea,DD_to_IHD,0.248028209270584,0.718816670460909,0.000000000000263733449183184,0.000000000000591226633333731,Residual serial correlation flag,FALSE,DD_to_IHD,0.152544636806745,0.20339284907566,0,0,FALSE
