location_name,n_years_levels,n_annual_changes,selected_lag_BIC,lag_selection_warning,lag_selection_error,adf_IHD_level_p,adf_DD_level_p,adf_IHD_log_change_p,adf_DD_log_change_p,IHD_to_DD_status,IHD_to_DD_n,IHD_to_DD_residual_df,IHD_to_DD_F,IHD_to_DD_df_num,IHD_to_DD_df_den,IHD_to_DD_p,IHD_to_DD_p_HC3,IHD_to_DD_beta_lag1,IHD_to_DD_HAC_SE_lag1,IHD_to_DD_HC3_SE_lag1,IHD_to_DD_BG_p,IHD_to_DD_BP_p,IHD_to_DD_Shapiro_p,IHD_to_DD_max_CooksD,IHD_to_DD_condition_number,IHD_to_DD_error,DD_to_IHD_status,DD_to_IHD_n,DD_to_IHD_residual_df,DD_to_IHD_F,DD_to_IHD_df_num,DD_to_IHD_df_den,DD_to_IHD_p,DD_to_IHD_p_HC3,DD_to_IHD_beta_lag1,DD_to_IHD_HAC_SE_lag1,DD_to_IHD_HC3_SE_lag1,DD_to_IHD_BG_p,DD_to_IHD_BP_p,DD_to_IHD_Shapiro_p,DD_to_IHD_max_CooksD,DD_to_IHD_condition_number,DD_to_IHD_error,IHD_to_DD_q,DD_to_IHD_q,IHD_to_DD_q_HC3,DD_to_IHD_q_HC3,direction,direction_HC3,diagnostics,ISO3,small_island_excluded
American Samoa,30,29,3,,,0.450013211501421,0.99,0.285164121295425,0.99,fit_ok,26,18,5.27009231417447,3,18,0.00872897024030117,0.644637974246274,-2.94248510946841,1.03444725494594,2.6819269125675,0.137003473813557,0.00622791547410674,0.710143099813273,5.04790520672514,4798.24844535329,,fit_ok,26,18,11.447957691319,3,18,0.00019686388110524,0.681025196043847,0.468456623243308,0.120770861375452,0.433318741016223,0.0738060629789123,0.0465995158778311,0.500007704245991,18.1086597366481,4798.24844535328,,0.356141985804288,0.000257437382983775,0.916769859708321,0.965817692352022,DD_to_IHD,Neither,Influence flag,ASM,TRUE
Antigua and Barbuda,30,29,3,,,0.119978210991092,0.99,0.140378291540126,0.99,fit_ok,26,18,1.64808177980459,3,18,0.213660455375053,0.834232592024013,-10.2661263883199,5.59739786430828,11.2006594418865,0.727393611629378,0.0153928734258992,0.0232729117460535,2.94893333129742,2421.02322788439,,fit_ok,26,18,4.62724508620895,3,18,0.0143873249008988,0.874076196261479,0.145990848650694,0.0642937751872069,0.184474933420988,0.901443241825774,0.0161962365657218,0.151972929209596,12.9524566741634,2421.02322788439,,0.718816670460909,0.0165887345851649,0.916769859708321,0.996153877303585,DD_to_IHD,Neither,Influence flag,ATG,TRUE
Arab Republic of Egypt,30,29,3,,,0.724810240731614,0.99,0.975455933804746,0.588147388935102,fit_ok,26,18,0.540158873199232,3,18,0.660874258786947,0.679059975689265,1.55492502749779,2.11564841600236,2.21460983982989,0.812596083304292,0.994013549720804,0.00000000315525279224463,1.31314087412384,1390.96720843871,,fit_ok,26,18,71.7981034084844,3,18,0.000000000328129181439224,0.644734742274889,-0.116077003568683,0.00940258382267262,0.121426361992867,0.461042664332448,0.977475172083529,0.00907484651834311,11.4637110517271,1390.96720843871,,0.761685586398515,0.000000000625592084239267,0.916769859708321,0.965817692352022,DD_to_IHD,Neither,Influence flag,EGY,FALSE
Argentine Republic,30,29,3,,,0.99,0.978701937892503,0.557589470395029,0.99,fit_ok,26,18,1.30795215614525,3,18,0.302507446562462,0.776201599154158,-1.3318952828875,2.81463042599536,3.70045963046337,0.386908466181176,0.0589631356406641,0.00609981737804636,173.200636928985,1160.62951187034,,fit_ok,26,18,57.8620069876781,3,18,0.00000000192317033748256,0.670502887043939,0.0826370084631719,0.00804600656291038,1.00279727790099,0.154537843760329,0.783817509274063,0.0789191128490164,859.504770950084,1160.62951187034,,0.718816670460909,0.00000000332480295632578,0.916769859708321,0.965817692352022,DD_to_IHD,Neither,Influence flag,ARG,FALSE
Australia,30,29,3,,,0.511358104139277,0.636122484732315,0.0240795412618055,0.848477197443176,fit_ok,26,18,2.34694442822968,3,18,0.106878953418238,0.801615058678381,-0.994083713350544,0.663590231147785,1.2346433216176,0.0329479165784603,0.00684329297296608,0.0342263311409524,174.345178131072,2231.28748149741,,fit_ok,26,18,621.671088013896,3,18,0.0000000000000000023384305414675,0.0205063534308544,0.259899479657103,0.0560877793110242,0.129223644089644,0.176979912450151,0.259927242664956,0.016780433985241,0.868597388607672,2231.28748149741,,0.718816670460909,0.00000000000000000836911983262054,0.916769859708321,0.209164804994715,DD_to_IHD,Neither,Residual serial correlation flag,AUS,FALSE
Barbados,30,29,3,,,0.657962745631203,0.99,0.191941402164823,0.97984780885905,fit_ok,26,18,0.75112882462361,3,18,0.535864187047451,0.81689018215253,-6.59472655534106,5.11448739275763,7.059553946091,0.0805359769249485,0.135921864340301,0.0000351005083215248,8.33411399957904,2496.35495363143,,fit_ok,26,18,68.9764850617947,3,18,0.000000000456908899522205,0.953134936340034,0.131533644398478,0.0264219951641722,0.398447984682745,0.258361244190749,0.0776844051325551,0.00397973830389207,133.838453039914,2496.35495363142,,0.718816670460909,0.000000000855132252316788,0.916769859708321,0.998138144554251,DD_to_IHD,Neither,Influence flag,BRB,TRUE
Belize,30,29,3,,,0.0686567338120426,0.986726530931492,0.01,0.99,fit_ok,26,18,1.16354468903582,3,18,0.3510335850599,0.816832519542359,-11.8711732573621,10.1792474714533,14.74185761814,0.445449237801452,0.0618929171238691,0.00077159878113349,57.5376655700317,2592.20172795235,,fit_ok,26,18,6.46900409458971,3,18,0.00366743510478352,0.870740552496958,0.0247090411229393,0.0186018017602099,0.175407153439124,0.60704151547425,0.106502934293118,0.110801118083196,91.3615434296755,2592.20172795236,,0.718816670460909,0.00437518573903999,0.916769859708321,0.996153877303585,DD_to_IHD,Neither,Influence flag,BLZ,TRUE
Bermuda,30,29,2,,,0.01,0.99,0.01,0.99,fit_ok,27,21,0.542617385353164,2,21,0.58915746110204,0.694350650646357,-2.25889958451938,2.78561420761518,2.77195127216104,0.944382874012028,0.317565635688939,0.000000377887196663399,3.62399280599048,1077.95300080173,,fit_ok,27,21,5.46842532466874,2,21,0.0122528093914768,0.858989898624911,0.0485571337359171,0.0192632716449294,0.149987735586942,0.0750893761331438,0.393059794011255,0.0516834544446844,22.4629072571361,1077.95300080173,,0.729734302009361,0.0142832749477786,0.916769859708321,0.995669705266119,DD_to_IHD,Neither,Influence flag,BMU,FALSE
Bolivarian Republic of Venezuela,30,29,3,,,0.99,0.99,0.625688042966205,0.99,fit_ok,26,18,0.472601120145387,3,18,0.705171171956598,0.809922937579137,-0.221821291522994,2.04569676277851,4.61582356202332,0.489137953176605,0.258596864856581,0.0000175865162257296,883.525199449744,4040.93692414718,,fit_ok,26,18,248.609531670405,3,18,0.00000000000000781380741206889,0.0741605437492889,0.432518911623775,0.0181654534104053,0.435223692318717,0.418005264189543,0.627879955879326,0.827015104143868,130.480862400562,4040.93692414718,,0.777594157184573,0.0000000000000207015157410656,0.916769859708321,0.498177122702285,DD_to_IHD,Neither,Influence flag,VEN,FALSE
Bosnia and Herzegovina,30,29,2,,,0.494222942089711,0.99,0.01,0.99,fit_ok,27,21,1.29041105758576,2,21,0.296096792036179,0.610677232141938,-2.15499666017558,3.58425539138181,4.48021396730871,0.188545930034566,0.154474774771155,0.000000717359469293801,39.3716956044242,774.37017080885,,fit_ok,27,21,16.6596850728513,2,21,0.0000463743651257369,0.316649928827731,0.0040319579174143,0.00559202562177127,0.0888608350272652,0.00857412941223875,0.610504930055121,0.0095178009534698,22.8236548687502,774.370170808851,,0.718816670460909,0.0000622392795108574,0.916769859708321,0.827630372655187,DD_to_IHD,Neither,Residual serial correlation flag,BIH,FALSE
