location_name,ISO3,exclusion_rule
American Samoa,ASM,rworldmap/Natural Earth SID attribute equals 'SID'
Antigua and Barbuda,ATG,rworldmap/Natural Earth SID attribute equals 'SID'
Barbados,BRB,rworldmap/Natural Earth SID attribute equals 'SID'
Belize,BLZ,rworldmap/Natural Earth SID attribute equals 'SID'
Commonwealth of Dominica,DMA,rworldmap/Natural Earth SID attribute equals 'SID'
Commonwealth of the Bahamas,BHS,rworldmap/Natural Earth SID attribute equals 'SID'
Cook Islands,COK,rworldmap/Natural Earth SID attribute equals 'SID'
Democratic Republic of Sao Tome and Principe,STP,rworldmap/Natural Earth SID attribute equals 'SID'
Dominican Republic,DOM,rworldmap/Natural Earth SID attribute equals 'SID'
Federated States of Micronesia,FSM,rworldmap/Natural Earth SID attribute equals 'SID'
Grenada,GRD,rworldmap/Natural Earth SID attribute equals 'SID'
Guam,GUM,rworldmap/Natural Earth SID attribute equals 'SID'
Independent State of Papua New Guinea,PNG,rworldmap/Natural Earth SID attribute equals 'SID'
Independent State of Samoa,WSM,rworldmap/Natural Earth SID attribute equals 'SID'
Jamaica,JAM,rworldmap/Natural Earth SID attribute equals 'SID'
Kingdom of Bahrain,BHR,rworldmap/Natural Earth SID attribute equals 'SID'
Kingdom of Tonga,TON,rworldmap/Natural Earth SID attribute equals 'SID'
Northern Mariana Islands,MNP,rworldmap/Natural Earth SID attribute equals 'SID'
Puerto Rico,PRI,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Cabo Verde,CPV,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Cuba,CUB,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Fiji,FJI,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Guinea-Bissau,GNB,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Guyana,GUY,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Haiti,HTI,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Kiribati,KIR,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Maldives,MDV,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Mauritius,MUS,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Nauru,NRU,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Niue,NIU,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Palau,PLW,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Seychelles,SYC,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Singapore,SGP,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Suriname,SUR,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Trinidad and Tobago,TTO,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of Vanuatu,VUT,rworldmap/Natural Earth SID attribute equals 'SID'
Republic of the Marshall Islands,MHL,rworldmap/Natural Earth SID attribute equals 'SID'
Saint Kitts and Nevis,KNA,rworldmap/Natural Earth SID attribute equals 'SID'
Saint Lucia,LCA,rworldmap/Natural Earth SID attribute equals 'SID'
Saint Vincent and the Grenadines,VCT,rworldmap/Natural Earth SID attribute equals 'SID'
Solomon Islands,SLB,rworldmap/Natural Earth SID attribute equals 'SID'
Tokelau,TKL,Tokelau: no country feature in the bundled rworldmap/Natural Earth geometry
Tuvalu,TUV,rworldmap/Natural Earth SID attribute equals 'SID'
Union of the Comoros,COM,rworldmap/Natural Earth SID attribute equals 'SID'
United States Virgin Islands,VIR,rworldmap/Natural Earth SID attribute equals 'SID'
