"old50_rank","id.exposure","trait"
"1","ukb-b-14177","Vascular/heart problems diagnosed by doctor: High blood pressure"
"2","ukb-b-14057","Non-cancer illness code, self-reported: hypertension"
"3","ukb-b-12493","Diagnoses - secondary ICD10: I10 Essential (primary) hypertension"
"4","ukb-b-6306","Overall health rating"
"5","ukb-b-19953","Body mass index (BMI)"
"6","ukb-b-14180","Mood swings"
"7","ukb-b-929","Frequency of tiredness / lethargy in last 2 weeks"
"8","ukb-b-2303","Body mass index (BMI)"
"9","ukb-b-9405","Waist circumference"
"10","ieu-b-39","diastolic blood pressure"
"11","ukb-b-18377","Leg fat percentage (left)"
"12","ukb-b-18994","Miserableness"
"13","ukb-b-4630","Neuroticism score"
"14","ukb-b-14395","Medication for cholesterol, blood pressure or diabetes: Blood pressure medication"
"15","ukb-b-7992","Diastolic blood pressure, automated reading"
"16","ukb-b-3656","Number of treatments/medications taken"
"17","ukb-b-19809","Fed-up feelings"
"18","ukb-b-20531","Leg fat percentage (right)"
"19","ukb-b-4063","Number of self-reported non-cancer illnesses"
"20","ukb-b-18799","Treatment/medication code: bendroflumethiazide"
"21","ieu-b-4877","smoking initiation"
"22","ukb-b-18009","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication"
"23","ukb-b-18096","Leg fat mass (right)"
"24","ukb-b-13764","Long-standing illness, disability or infirmity"
"25","ukb-b-7212","Leg fat mass (left)"
"26","prot-a-46","Alcohol dehydrogenase 1B"
"27","ukb-b-8338","Arm fat mass (left)"
"28","ukb-b-17729","Qualifications: None of the above"
"29","ukb-b-17681","Treatment/medication code: beclometasone"
"30","ukb-b-20261","Ever smoked"
"31","ukb-b-20188","Arm fat percentage (left)"
"32","ukb-b-10093","Tense / 'highly strung'"
"33","ukb-b-8746","Illnesses of siblings: High blood pressure"
"34","ukb-b-288","Treatment/medication code: folic acid product"
"35","ukb-b-12854","Arm fat percentage (right)"
"36","ukb-b-19456","Illnesses of father: High blood pressure"
"37","ukb-b-9125","Non-cancer illness code, self-reported: rheumatoid arthritis"
"38","ukb-b-6704","Arm fat mass (right)"
"39","ukb-b-6519","Worrier / anxious feelings"
"40","ukb-b-20498","Number of incorrect matches in round"
"41","ukb-b-5076","Leisure/social activities: None of the above"
"42","ukb-b-8909","Body fat percentage"
"43","ukb-b-12209","Treatment/medication code: methotrexate"
"44","ukb-b-9207","Treatment/medication code: amlodipine"
"45","ukb-b-10011","Townsend deprivation index at recruitment"
"46","ukb-b-9838","Pain type(s) experienced in last month: Back pain"
"47","ukb-b-10444","Operative procedures - main OPCS: X50.1 Direct current cardioversion"
"48","ukb-d-CARDIAC_ARRHYTM","Cardiac arrhytmias, COPD co-morbidities"
"49","ukb-d-1538_2","Major dietary changes in the last 5 years: Yes, because of other reasons"
"50","ukb-b-8668","Treatment/medication code: doxazosin"
