set_rank,id.exposure,trait,population,source_group,consortium,exposure_category,exposure_sample_size,exposure_ncase,exposure_ncontrol,direction,IHD.id.outcome,IHD.method,IHD.nsnp,IHD.b,IHD.se,IHD.p,IHD.q_BH_m11988,IHD.OR,IHD.CI95_lower,IHD.CI95_upper,DD.id.outcome,DD.method,DD.nsnp,DD.b,DD.se,DD.p,DD.q_BH_m11988,DD.OR,DD.CI95_lower,DD.CI95_upper,old50_overlap,old50_rank,downstream_marker,downstream_exclusion_reason
1,ukb-b-6306,Overall health rating,European,public,MRC-IEU,Categorical Ordered,460844,,,Positive,finn-b-I9_IHD,Inverse variance weighted,100,0.76021255039131996,0.14827452600887001,2.94300070389785e-07,1.2555406561682358e-05,2.138730760248825,1.5993454941737237,2.8600257302114005,finn-b-F5_DEPRESSIO,Inverse variance weighted,294,0.92566428967012304,0.089303191075646202,3.56223302775179e-25,4.2704049536688457e-22,2.5235440679421237,2.118334221314595,3.0062652997664641,TRUE,4,TRUE,General health-status or multimorbidity marker
2,ukb-b-3656,Number of treatments/medications taken,European,public,MRC-IEU,Categorical Ordered,462933,,,Positive,finn-b-I9_IHD,Inverse variance weighted,38,1.77503227086154,0.41050199737285198,1.53188675417341e-05,0.00048326995813239052,5.9004715465469477,2.6391274627920627,13.192073881409664,finn-b-F5_DEPRESSIO,Inverse variance weighted,156,0.49620943821902402,0.109061562476887,5.3694257905191799e-06,0.0007882029827280953,1.6424835206213049,1.3263738308708635,2.0339304445876172,TRUE,16,TRUE,Medication or treatment marker
3,ukb-b-14057,"Non-cancer illness code, self-reported: hypertension",European,public,MRC-IEU,Binary,462933,119731,343202,Positive,finn-b-I9_IHD,Inverse variance weighted,202,1.62152183533004,0.156268867763805,3.1723539024945502e-25,6.6719611549306435e-23,5.0607861423379923,3.7256258625602583,6.8744305851688345,finn-b-F5_DEPRESSIO,Inverse variance weighted,368,0.42138961884100701,0.096176321286373601,1.17904052556814e-05,0.001553223936319875,1.5240779722372402,1.2622350883245588,1.840238547434131,TRUE,2,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
4,ukb-b-12493,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,European,public,MRC-IEU,Binary,463010,54358,408652,Positive,finn-b-I9_IHD,Inverse variance weighted,61,4.1817369687373196,0.56197733695950103,9.9840358907192596e-14,1.0057867416633822e-11,65.47949032101117,21.764090531311869,197.00173763433401,finn-b-F5_DEPRESSIO,Inverse variance weighted,167,0.97061112689078999,0.229269758555325,2.30092879296759e-05,0.0026292765096752211,2.639557070854611,1.6841186997481206,4.137037093252756,TRUE,3,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
5,ukb-b-14177,Vascular/heart problems diagnosed by doctor: High blood pressure,European,public,MRC-IEU,Binary,461880,124227,337653,Positive,finn-b-I9_IHD,Inverse variance weighted,213,1.6842849408451701,0.15288159554335301,3.1669656481967798e-28,7.0306637389968501e-26,5.3885963892207744,3.9933761004092863,7.2712838249688367,finn-b-F5_DEPRESSIO,Inverse variance weighted,378,0.41766247310454802,0.098643854236777503,2.2952544753403099e-05,0.0026292765096752211,1.5184080843339047,1.2514720754803739,1.8422809072152686,TRUE,1,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
6,ukb-b-4063,Number of self-reported non-cancer illnesses,European,public,MRC-IEU,Categorical Ordered,462933,,,Positive,finn-b-I9_IHD,Inverse variance weighted,34,1.1564732056050899,0.30381079270529299,0.00014091462821655301,0.0037707244711161552,3.17870285265569,1.7524311490906455,5.7657910444724578,finn-b-F5_DEPRESSIO,Inverse variance weighted,166,0.60318081502958298,0.103918214737324,6.4604580567680902e-09,1.518587670285017e-06,1.8279238507577817,1.4910806330177144,2.2408617818386358,TRUE,19,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
7,ieu-b-102,Major depression,European,public,PGC,Disease,,170756,329443,Positive,finn-b-I9_IHD,Inverse variance weighted,43,0.27845937222382,0.073568673437212503,0.00015369225334661599,0.0040582879584124066,1.3210929312377413,1.1436955984582611,1.5260061639819467,finn-b-F5_DEPRESSIO,Inverse variance weighted,164,0.49414988890023998,0.046342471350379701,1.5162194107463299e-26,2.0196042551141115e-23,1.639104225911862,1.4967837584247052,1.7949571194102951,FALSE,,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
8,ukb-b-17360,Illnesses of siblings: None of the above (group 1),European,public,MRC-IEU,Binary,364971,245626,119345,Negative,finn-b-I9_IHD,Inverse variance weighted,11,-5.7453272282386099,1.45792443401551,8.1224572092228794e-05,0.0023019389367414629,0.0031976880066088408,0.00018358016508701806,0.055698874563944387,finn-b-F5_DEPRESSIO,Inverse variance weighted,73,-0.96124572184703205,0.24315001586198301,7.7079682155573604e-05,0.0073922498374481308,0.38241620490963207,0.2374448832570687,0.61589936903023201,FALSE,,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
9,ukb-b-13352,Vascular/heart problems diagnosed by doctor: None of the above,European,public,MRC-IEU,Binary,461880,325118,136762,Negative,finn-b-I9_IHD,Inverse variance weighted,204,-1.95600236881649,0.20491749737909901,1.3569263113974999e-21,2.3921812677990041e-19,0.1414226479713927,0.094643255258641076,0.21132372618189715,finn-b-F5_DEPRESSIO,Inverse variance weighted,367,-0.37812329999111899,0.100040814273405,0.00015702351536565101,0.01426059016820776,0.68514601695975086,0.56315335667765198,0.8335652429121706,FALSE,,TRUE,"Diagnosis, disease-history, or outcome-proxy marker"
10,ukb-b-20292,Taking other prescription medications,European,public,MRC-IEU,Binary,461332,216598,244734,Positive,finn-b-I9_IHD,Inverse variance weighted,24,1.7492602176259999,0.50239545954044096,0.00049798258531008003,0.011821416302370772,5.7503470966720212,2.148060016560128,15.393653565209291,finn-b-F5_DEPRESSIO,Inverse variance weighted,85,0.89560742114181102,0.239630753445601,0.00018589770269998099,0.016148852608459219,2.4488228045384179,1.5310153525054042,3.9168340919731155,FALSE,,TRUE,Medication or treatment marker
11,ukb-b-18009,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",European,public,MRC-IEU,Binary,249710,43244,206466,Positive,finn-b-I9_IHD,Inverse variance weighted,89,1.6354045168095299,0.21799023864943401,6.2759589277905303e-14,6.3759487818943119e-12,5.1315333687438089,3.3472651826961273,7.8669102318690474,finn-b-F5_DEPRESSIO,Inverse variance weighted,195,0.45265613256307902,0.121789684707972,0.00020183917550533099,0.017068371256369511,1.5724833677092609,1.2385586822486456,1.9964366462095928,TRUE,22,TRUE,Medication or treatment marker
