set_rank,id.exposure,trait,population,source_group,consortium,exposure_category,exposure_sample_size,exposure_ncase,exposure_ncontrol,direction,IHD.id.outcome,IHD.method,IHD.nsnp,IHD.b,IHD.se,IHD.p,IHD.q_BH_m11988,IHD.OR,IHD.CI95_lower,IHD.CI95_upper,DD.id.outcome,DD.method,DD.nsnp,DD.b,DD.se,DD.p,DD.q_BH_m11988,DD.OR,DD.CI95_lower,DD.CI95_upper,old50_overlap,old50_rank,downstream_marker,downstream_exclusion_reason
1,ukb-b-6591,Age first had sexual intercourse,European,public,MRC-IEU,Continuous,406457,,,Negative,finn-b-I9_IHD,Inverse variance weighted,183,-0.37107937764631399,0.061239985419075403,1.36605136733847e-09,8.3128039551541001e-08,0.68998916966871549,0.61194690971298427,0.77798424455385695,finn-b-F5_DEPRESSIO,Inverse variance weighted,386,-0.46362915701102603,0.055516772549258103,6.7598802394014094e-17,3.68352019590655e-14,0.62899677026354361,0.56414609281788086,0.70130227265384915,FALSE,,FALSE,
2,ieu-a-1239,Years of schooling,European,public,SSGAC,Risk factor,766345,,,Negative,finn-b-I9_IHD,Inverse variance weighted,293,-0.45370970946251199,0.060292617728021601,5.2668409760008899e-14,5.4903382278520582e-12,0.63526711851526607,0.56446142066915928,0.71495464010325216,finn-b-F5_DEPRESSIO,Inverse variance weighted,509,-0.32616318569994501,0.055829676635838703,5.1543343743048702e-09,1.2358032095833357e-06,0.72168740875713988,0.64688331279965705,0.80514167803227843,FALSE,,FALSE,
3,ukb-b-14180,Mood swings,European,public,MRC-IEU,Binary,451619,204412,247207,Positive,finn-b-I9_IHD,Inverse variance weighted,54,1.1915709969705699,0.26105174934429898,5.0068357675171999e-06,0.00017003384470537164,3.2922492604368703,1.9736992390950181,5.4916701481918695,finn-b-F5_DEPRESSIO,Inverse variance weighted,181,1.24453544876633,0.16419923565833,3.4709536266968598e-14,1.4860640027443554e-11,3.4713218178766101,2.5160870753298723,4.7892122977048963,TRUE,6,FALSE,
4,ukb-b-12405,Age at first live birth,European,public,MRC-IEU,Continuous,170498,,,Negative,finn-b-I9_IHD,Inverse variance weighted,32,-0.41055231894739702,0.0968894130238485,2.2619457740298198e-05,0.00069887128708941962,0.66328380473540893,0.54856167175663983,0.80199807656167132,finn-b-F5_DEPRESSIO,Inverse variance weighted,151,-0.36783688166956002,0.060068307652511498,9.14595997997471e-10,2.3835167008681917e-07,0.69223008789616203,0.61534587882735869,0.77872057175695741,FALSE,,FALSE,
5,ukb-b-929,Frequency of tiredness / lethargy in last 2 weeks,European,public,MRC-IEU,Categorical Ordered,449019,,,Positive,finn-b-I9_IHD,Inverse variance weighted,38,0.83784783562644805,0.20038961995455101,2.9010990412584199e-05,0.00087382852529160643,2.3113871349388311,1.5606215642310806,3.4233222262265723,finn-b-F5_DEPRESSIO,Inverse variance weighted,161,0.94179325645231304,0.102176627858794,3.0465782219459201e-20,2.2826487327929808e-17,2.5645762401410992,2.0991385910723972,3.1332144144595064,TRUE,7,FALSE,
6,ukb-b-11615,Qualifications: A levels/AS levels or equivalent,European,public,MRC-IEU,Binary,458079,123661,334418,Negative,finn-b-I9_IHD,Inverse variance weighted,81,-1.0140748059760301,0.24940076812460801,4.78176573524694e-05,0.0013947398451129031,0.36273787754802628,0.22248395073617341,0.59140790772848162,finn-b-F5_DEPRESSIO,Inverse variance weighted,243,-0.729090157683982,0.15994682500783799,5.1562364520586803e-06,0.00078244256439594258,0.48234765080763681,0.35254185200006849,0.65994790382958768,FALSE,,FALSE,
7,ukb-b-6134,Age completed full time education,European,public,MRC-IEU,Categorical Ordered,307897,,,Negative,finn-b-I9_IHD,Inverse variance weighted,37,-0.64269797685163899,0.15314434439667099,2.7085488325245999e-05,0.0008241137919874342,0.5258717186658316,0.38951188842339179,0.70996822616094535,finn-b-F5_DEPRESSIO,Inverse variance weighted,157,-0.41631322060083098,0.0996208386871031,2.92822945558795e-05,0.0032503346957026245,0.65947367739000717,0.54249844256066904,0.80167148336405158,FALSE,,FALSE,
8,ukb-b-17729,Qualifications: None of the above,European,public,MRC-IEU,Binary,458079,79538,378541,Positive,finn-b-I9_IHD,Inverse variance weighted,86,0.95143722322677504,0.250493227222649,0.000145718202388253,0.0038819329116230599,2.5894285731104012,1.5848194637902917,4.2308543581389362,finn-b-F5_DEPRESSIO,Inverse variance weighted,266,0.78021032533337398,0.18261446011815499,1.9334083150964401e-05,0.0023177698881376124,2.1819311326336881,1.5254447143299767,3.1209413378492923,TRUE,28,FALSE,
9,ukb-b-7408,Average total household income before tax,European,public,MRC-IEU,Categorical Ordered,397751,,,Negative,finn-b-I9_IHD,Inverse variance weighted,43,-0.41927883805312599,0.11066617745460799,0.00015144926441981,0.0040078891431891443,0.65752082787656696,0.5293081270690545,0.81679010198738733,finn-b-F5_DEPRESSIO,Inverse variance weighted,178,-0.30581336519381702,0.068303697816755105,7.5607402097192902e-06,0.0010418178578633891,0.7365240676560082,0.64423699693390124,0.8420312785796269,FALSE,,FALSE,
10,ukb-b-18994,Miserableness,European,public,MRC-IEU,Binary,454982,195435,259547,Positive,finn-b-I9_IHD,Inverse variance weighted,43,1.1587683387379599,0.31056031860713901,0.000190556021759453,0.0049338781616680835,3.1860067774260372,1.73337454789439,5.8559987500307384,finn-b-F5_DEPRESSIO,Inverse variance weighted,145,1.7534365317917999,0.19552223609515201,3.0204352623700002e-19,2.1299398779583273e-16,5.77441257022081,3.9361888138790917,8.4710978328968771,TRUE,12,FALSE,
