id,trait,population,ncase,ncontrol,sample_size,year,author,consortium,pmid,doi,build,ihd_candidate_index,ihd_outcome_id,ihd_exposure_label_saved,ihd_method,ihd_nsnp_or_snp_raw,ihd_beta,ihd_se,ihd_p_value,ihd_output_index,ihd_output_file,ihd_saved_estimate,ihd_output_status,ihd_p_for_bh,ihd_q_bh_m11988,ihd_instrument_count,ihd_single_instrument_snp,dd_candidate_index,dd_outcome_id,dd_exposure_label_saved,dd_method,dd_nsnp_or_snp_raw,dd_beta,dd_se,dd_p_value,dd_output_index,dd_output_file,dd_saved_estimate,dd_output_status,dd_p_for_bh,dd_q_bh_m11988,dd_instrument_count,dd_single_instrument_snp,direction,ihd_or,ihd_ci_low,ihd_ci_high,dd_or,dd_ci_low,dd_ci_high,max_q_bh
finn-b-RX_ANTIHYP,Antihypertensive medication - note that there are other indications,European,107287,111505,,2021,NA,NA,,"",HG19/GRCh37,2492,finn-b-I9_IHD,Antihypertensive medication - note that there are other indications || id:finn-b-RX_ANTIHYP,Inverse variance weighted,52,0.408814438925213,0.0360036987744467,0.00000000000000000000000000000702083818486223,2492,IHD/2492.txt,TRUE,saved summary estimate,0.00000000000000000000000000000702083818486223,0.00000000000000000000000000171766955428834,52,,2492,finn-b-F5_DEPRESSIO,Antihypertensive medication - note that there are other indications || id:finn-b-RX_ANTIHYP,Inverse variance weighted,185,0.133202031838803,0.0186133875517419,0.00000000000082914617870248,2492,DD/2492.txt,TRUE,saved summary estimate,0.00000000000082914617870248,0.000000000320638851299527,185,,positive,1.50503241913935,1.40248714041385,1.61507547369884,1.14248079251153,1.10155166704402,1.18493067579881,0.000000000320638851299527
ukb-b-6591,Age first had sexual intercourse,European,,,406457,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,10700,finn-b-I9_IHD,Age first had sexual intercourse || id:ukb-b-6591,Inverse variance weighted,183,-0.371079377646314,0.0612399854190754,0.00000000136605136733847,10700,IHD/10700.txt,TRUE,saved summary estimate,0.00000000136605136733847,0.000000083128039551541,183,,10700,finn-b-F5_DEPRESSIO,Age first had sexual intercourse || id:ukb-b-6591,Inverse variance weighted,386,-0.463629157011026,0.0555167725492581,0.0000000000000000675988023940141,10700,DD/10700.txt,TRUE,saved summary estimate,0.0000000000000000675988023940141,0.0000000000000368352019590655,386,,negative,0.689989169668715,0.611946909712984,0.777984244553857,0.628996770263544,0.564146092817881,0.701302272653849,0.000000083128039551541
ieu-a-1239,Years of schooling,European,,,766345,2018,Lee,SSGAC,30038396,"",HG19/GRCh37,2918,finn-b-I9_IHD,Years of schooling || id:ieu-a-1239,Inverse variance weighted,293,-0.453709709462512,0.0602926177280216,0.0000000000000526684097600089,2918,IHD/2918.txt,TRUE,saved summary estimate,0.0000000000000526684097600089,0.00000000000549033822785206,293,,2918,finn-b-F5_DEPRESSIO,Years of schooling || id:ieu-a-1239,Inverse variance weighted,509,-0.326163185699945,0.0558296766358387,0.00000000515433437430487,2918,DD/2918.txt,TRUE,saved summary estimate,0.00000000515433437430487,0.00000123580320958334,509,,negative,0.635267118515266,0.564461420669159,0.714954640103252,0.72168740875714,0.646883312799657,0.805141678032278,0.00000123580320958334
ukb-b-6306,Overall health rating,European,,,460844,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,10657,finn-b-I9_IHD,Overall health rating || id:ukb-b-6306,Inverse variance weighted,100,0.76021255039132,0.14827452600887,0.000000294300070389785,10657,IHD/10657.txt,TRUE,saved summary estimate,0.000000294300070389785,0.0000125554065616824,100,,10657,finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,Inverse variance weighted,294,0.925664289670123,0.0893031910756462,0.000000000000000000000000356223302775179,10657,DD/10657.txt,TRUE,saved summary estimate,0.000000000000000000000000356223302775179,0.000000000000000000000427040495366885,294,,positive,2.13873076024883,1.59934549417372,2.8600257302114,2.52354406794212,2.1183342213146,3.00626529976646,0.0000125554065616824
finn-b-I9_HYPTENSESS_EXNONE,"""""Hypertension, essential"""" (no controls excluded)",European,42857,175935,,2021,NA,NA,,"",HG19/GRCh37,1359,finn-b-I9_IHD,"\Hypertension, essential\ (no controls excluded) || id:finn-b-I9_HYPTENSESS_EXNONE",Inverse variance weighted,26,0.380506908950438,0.0678752856295808,0.0000000207090178072302,1359,IHD/1359.txt,TRUE,saved summary estimate,0.0000000207090178072302,0.00000105642427860883,26,,1358,finn-b-F5_DEPRESSIO,"\Hypertension, essential\ (no controls excluded) || id:finn-b-I9_HYPTENSESS_EXNONE",Inverse variance weighted,116,0.104083982024001,0.0199887557696602,0.000000191787242310846,1358,DD/1358.txt,TRUE,saved summary estimate,0.000000191787242310846,0.000038319091013707,116,,positive,1.46302602248434,1.28078266630302,1.67120089831068,1.10969364532072,1.06705873825508,1.15403205307975,0.000038319091013707
finn-b-PAIN,"Pain (limb, back, neck, head abdominally)",European,87242,131127,,2021,NA,NA,,"",HG19/GRCh37,2307,finn-b-I9_IHD,"Pain (limb, back, neck, head abdominally) || id:finn-b-PAIN",Inverse variance weighted,8,0.48471782518896,0.0988972424521914,0.000000952399779126326,2307,IHD/2307.txt,TRUE,saved summary estimate,0.000000952399779126326,0.0000393702363867807,8,,2307,finn-b-F5_DEPRESSIO,"Pain (limb, back, neck, head abdominally) || id:finn-b-PAIN",Inverse variance weighted,72,0.380328120467019,0.041131289724113,0.0000000000000000000231560821811651,2307,DD/2307.txt,TRUE,saved summary estimate,0.0000000000000000000231560821811651,0.0000000000000000185063408791871,72,,positive,1.62371677222247,1.33760303185356,1.97103033830832,1.46276447366224,1.34946847487664,1.58557235329559,0.0000393702363867807
finn-b-KRA_PSY_ANYMENTAL,Any mental disorder,European,52208,166584,,2021,NA,NA,,"",HG19/GRCh37,1711,finn-b-I9_IHD,Any mental disorder || id:finn-b-KRA_PSY_ANYMENTAL,Inverse variance weighted,2,0.473219102020027,0.0977959770500356,0.00000130599017615554,1711,IHD/1711.txt,TRUE,saved summary estimate,0.00000130599017615554,0.0000520139874809057,2,,1711,finn-b-F5_DEPRESSIO,Any mental disorder || id:finn-b-KRA_PSY_ANYMENTAL,Inverse variance weighted,45,0.763401838779985,0.0521123885778704,0.00000000000000000000000000000000000000000000000136425341681782,1711,DD/1711.txt,TRUE,saved summary estimate,0.00000000000000000000000000000000000000000000000136425341681782,0.000000000000000000000000000000000000000000002725778326802,45,,positive,1.60515303672363,1.32516765962856,1.94429455969766,2.14556267811619,1.93723472582312,2.37629397427261,0.0000520139874809057
finn-b-VWXY20_SUICI_OTHER_INTENTI_SELF_H,Suicide or other Intentional self-harm,European,52208,166584,,2021,NA,NA,,"",HG19/GRCh37,2712,finn-b-I9_IHD,Suicide or other Intentional self-harm || id:finn-b-VWXY20_SUICI_OTHER_INTENTI_SELF_H,Inverse variance weighted,2,0.473219102020027,0.0977959770500356,0.00000130599017615554,2712,IHD/2712.txt,TRUE,saved summary estimate,0.00000130599017615554,0.0000520139874809057,2,,2712,finn-b-F5_DEPRESSIO,Suicide or other Intentional self-harm || id:finn-b-VWXY20_SUICI_OTHER_INTENTI_SELF_H,Inverse variance weighted,45,0.763401838779985,0.0521123885778704,0.00000000000000000000000000000000000000000000000136425341681782,2712,DD/2712.txt,TRUE,saved summary estimate,0.00000000000000000000000000000000000000000000000136425341681782,0.000000000000000000000000000000000000000000002725778326802,45,,positive,1.60515303672363,1.32516765962856,1.94429455969766,2.14556267811619,1.93723472582312,2.37629397427261,0.0000520139874809057
finn-b-FG_CVD,Cardiovascular diseases (excluding rheumatic etc),European,101866,116926,,2021,NA,NA,,"",HG19/GRCh37,925,finn-b-I9_IHD,Cardiovascular diseases (excluding rheumatic etc) || id:finn-b-FG_CVD,Inverse variance weighted,14,0.632324026004208,0.0855749727390001,0.000000000000147800051940352,925,IHD/925.txt,TRUE,saved summary estimate,0.000000000000147800051940352,0.0000000000141746161812875,14,,924,finn-b-F5_DEPRESSIO,Cardiovascular diseases (excluding rheumatic etc) || id:finn-b-FG_CVD,Inverse variance weighted,76,0.160271303138792,0.0316895903517323,0.000000424704118703501,924,DD/924.txt,TRUE,saved summary estimate,0.000000424704118703501,0.0000795523902346495,76,,positive,1.88197926958497,1.59137286284225,2.22565437293038,1.17382929136679,1.10313894900439,1.2490495476696,0.0000795523902346495
finn-b-I9_HYPTENSESS,"Hypertension, essential",European,42857,162837,,2021,NA,NA,,"",HG19/GRCh37,1358,finn-b-I9_IHD,"Hypertension, essential || id:finn-b-I9_HYPTENSESS",Inverse variance weighted,40,0.337144915388983,0.0454240256177143,0.000000000000115215352358389,1358,IHD/1358.txt,TRUE,saved summary estimate,0.000000000000115215352358389,0.0000000000114148896204328,40,,1357,finn-b-F5_DEPRESSIO,"Hypertension, essential || id:finn-b-I9_HYPTENSESS",Inverse variance weighted,140,0.0838333726275593,0.0168043687114246,0.000000607604086246845,1357,DD/1357.txt,TRUE,saved summary estimate,0.000000607604086246845,0.000112060889014264,140,,positive,1.40094206709362,1.28160580290096,1.53139028468039,1.08744768016206,1.05221430963703,1.12386083924078,0.000112060889014264
ukb-b-14180,Mood swings,European,204412,247207,451619,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,9239,finn-b-I9_IHD,Mood swings || id:ukb-b-14180,Inverse variance weighted,54,1.19157099697057,0.261051749344299,0.0000050068357675172,9239,IHD/9239.txt,TRUE,saved summary estimate,0.0000050068357675172,0.000170033844705372,54,,9239,finn-b-F5_DEPRESSIO,Mood swings || id:ukb-b-14180,Inverse variance weighted,181,1.24453544876633,0.16419923565833,0.0000000000000347095362669686,9239,DD/9239.txt,TRUE,saved summary estimate,0.0000000000000347095362669686,0.0000000000148606400274436,181,,positive,3.29224926043687,1.97369923909502,5.49167014819187,3.47132181787661,2.51608707532987,4.7892122977049,0.000170033844705372
finn-b-I9_CVD,Cardiovascular diseases,European,111108,107684,,2021,NA,NA,,"",HG19/GRCh37,1333,finn-b-I9_IHD,Cardiovascular diseases || id:finn-b-I9_CVD,Inverse variance weighted,11,0.719749798758858,0.117549188311537,0.000000000918487337839793,1333,IHD/1333.txt,TRUE,saved summary estimate,0.000000000918487337839793,0.0000000579517168738076,11,,1332,finn-b-F5_DEPRESSIO,Cardiovascular diseases || id:finn-b-I9_CVD,Inverse variance weighted,68,0.176499223507932,0.0376551127268845,0.00000276889990638664,1332,DD/1332.txt,TRUE,saved summary estimate,0.00000276889990638664,0.000436757527338987,68,,positive,2.05391925320382,1.63126108858905,2.58608773800285,1.19303350037819,1.10815359522086,1.28441484931604,0.000436757527338987
ukb-b-12405,Age at first live birth,European,,,170498,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,8974,finn-b-I9_IHD,Age at first live birth || id:ukb-b-12405,Inverse variance weighted,32,-0.410552318947397,0.0968894130238485,0.0000226194577402982,8974,IHD/8974.txt,TRUE,saved summary estimate,0.0000226194577402982,0.00069887128708942,32,,8974,finn-b-F5_DEPRESSIO,Age at first live birth || id:ukb-b-12405,Inverse variance weighted,151,-0.36783688166956,0.0600683076525115,0.000000000914595997997471,8974,DD/8974.txt,TRUE,saved summary estimate,0.000000000914595997997471,0.000000238351670086819,151,,negative,0.663283804735409,0.54856167175664,0.801998076561671,0.692230087896162,0.615345878827359,0.778720571756957,0.00069887128708942
ukb-b-3656,Number of treatments/medications taken,European,,,462933,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,10279,finn-b-I9_IHD,Number of treatments/medications taken || id:ukb-b-3656,Inverse variance weighted,38,1.77503227086154,0.410501997372852,0.0000153188675417341,10279,IHD/10279.txt,TRUE,saved summary estimate,0.0000153188675417341,0.000483269958132391,38,,10279,finn-b-F5_DEPRESSIO,Number of treatments/medications taken || id:ukb-b-3656,Inverse variance weighted,156,0.496209438219024,0.109061562476887,0.00000536942579051918,10279,DD/10279.txt,TRUE,saved summary estimate,0.00000536942579051918,0.000788202982728095,156,,positive,5.90047154654695,2.63912746279206,13.1920738814097,1.6424835206213,1.32637383087086,2.03393044458762,0.000788202982728095
ukb-b-929,Frequency of tiredness / lethargy in last 2 weeks,European,,,449019,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,11060,finn-b-I9_IHD,Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Inverse variance weighted,38,0.837847835626448,0.200389619954551,0.0000290109904125842,11060,IHD/11060.txt,TRUE,saved summary estimate,0.0000290109904125842,0.000873828525291607,38,,11060,finn-b-F5_DEPRESSIO,Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Inverse variance weighted,161,0.941793256452313,0.102176627858794,0.0000000000000000000304657822194592,11060,DD/11060.txt,TRUE,saved summary estimate,0.0000000000000000000304657822194592,0.0000000000000000228264873279298,161,,positive,2.31138713493883,1.56062156423108,3.42332222622657,2.5645762401411,2.0991385910724,3.13321441445951,0.000873828525291607
finn-b-I9_HYPTENS_EXNONE,Hypertension (no controls excluded),European,55917,162875,,2021,NA,NA,,"",HG19/GRCh37,1369,finn-b-I9_IHD,Hypertension (no controls excluded) || id:finn-b-I9_HYPTENS_EXNONE,Inverse variance weighted,62,0.305703159120583,0.0500765031880046,0.00000000102979398294216,1369,IHD/1369.txt,TRUE,saved summary estimate,0.00000000102979398294216,0.0000000640420795871355,62,,1368,finn-b-F5_DEPRESSIO,Hypertension (no controls excluded) || id:finn-b-I9_HYPTENS_EXNONE,Inverse variance weighted,199,0.0726143954958006,0.0163974871056009,0.00000949410611488238,1368,DD/1368.txt,TRUE,saved summary estimate,0.00000949410611488238,0.00127882409106977,199,,positive,1.35757926170884,1.23066320222131,1.49758394375919,1.07531581033972,1.04130561076351,1.11043682086639,0.00127882409106977
ukb-b-11615,Qualifications: A levels/AS levels or equivalent,European,123661,334418,458079,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,8860,finn-b-I9_IHD,Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,Inverse variance weighted,81,-1.01407480597603,0.249400768124608,0.0000478176573524694,8860,IHD/8860.txt,TRUE,saved summary estimate,0.0000478176573524694,0.0013947398451129,81,,8860,finn-b-F5_DEPRESSIO,Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,Inverse variance weighted,243,-0.729090157683982,0.159946825007838,0.00000515623645205868,8860,DD/8860.txt,TRUE,saved summary estimate,0.00000515623645205868,0.000782442564395943,243,,negative,0.362737877548026,0.222483950736173,0.591407907728482,0.482347650807637,0.352541852000069,0.659947903829588,0.0013947398451129
ukb-b-14057,"Non-cancer illness code, self-reported: hypertension",European,119731,343202,462933,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,9218,finn-b-I9_IHD,"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Inverse variance weighted,202,1.62152183533004,0.156268867763805,0.000000000000000000000000317235390249455,9218,IHD/9218.txt,TRUE,saved summary estimate,0.000000000000000000000000317235390249455,0.0000000000000000000000667196115493064,202,,9218,finn-b-F5_DEPRESSIO,"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Inverse variance weighted,368,0.421389618841007,0.0961763212863736,0.0000117904052556814,9218,DD/9218.txt,TRUE,saved summary estimate,0.0000117904052556814,0.00155322393631988,368,,positive,5.06078614233799,3.72562586256026,6.87443058516884,1.52407797223724,1.26223508832456,1.84023854743413,0.00155322393631988
finn-b-FG_HYPERTENSION,Hypertensive diseases (excluding secondary),European,55955,162837,,2021,NA,NA,,"",HG19/GRCh37,928,finn-b-I9_IHD,Hypertensive diseases (excluding secondary) || id:finn-b-FG_HYPERTENSION,Inverse variance weighted,63,0.3169938838182,0.0501177299546819,0.000000000253257391884292,928,IHD/928.txt,TRUE,saved summary estimate,0.000000000253257391884292,0.0000000170564585051061,63,,927,finn-b-F5_DEPRESSIO,Hypertensive diseases (excluding secondary) || id:finn-b-FG_HYPERTENSION,Inverse variance weighted,195,0.0697271799870738,0.0162377611974651,0.0000175373731473128,927,DD/927.txt,TRUE,saved summary estimate,0.0000175373731473128,0.00216740236381429,195,,positive,1.3729941744178,1.24453645228919,1.51471095886163,1.07221561946851,1.03862857810775,1.10688879438187,0.00216740236381429
finn-b-I9_HYPERTENSION,Hypertensive diseases,European,55955,162837,,2021,NA,NA,,"",HG19/GRCh37,1351,finn-b-I9_IHD,Hypertensive diseases || id:finn-b-I9_HYPERTENSION,Inverse variance weighted,63,0.3169938838182,0.0501177299546819,0.000000000253257391884292,1351,IHD/1351.txt,TRUE,saved summary estimate,0.000000000253257391884292,0.0000000170564585051061,63,,1350,finn-b-F5_DEPRESSIO,Hypertensive diseases || id:finn-b-I9_HYPERTENSION,Inverse variance weighted,195,0.0697271799870738,0.0162377611974651,0.0000175373731473128,1350,DD/1350.txt,TRUE,saved summary estimate,0.0000175373731473128,0.00216740236381429,195,,positive,1.3729941744178,1.24453645228919,1.51471095886163,1.07221561946851,1.03862857810775,1.10688879438187,0.00216740236381429
finn-b-I9_HYPTENS,Hypertension,European,55917,162837,,2021,NA,NA,,"",HG19/GRCh37,1355,finn-b-I9_IHD,Hypertension || id:finn-b-I9_HYPTENS,Inverse variance weighted,62,0.31388030412005,0.0506276563272929,0.000000000565423328486918,1355,IHD/1355.txt,TRUE,saved summary estimate,0.000000000565423328486918,0.0000000366394316859523,62,,1354,finn-b-F5_DEPRESSIO,Hypertension || id:finn-b-I9_HYPTENS,Inverse variance weighted,196,0.07008632811179,0.0163462254668677,0.0000180601434161851,1354,DD/1354.txt,TRUE,saved summary estimate,0.0000180601434161851,0.0022068363836332,196,,positive,1.36872589589153,1.23942814234993,1.51151205469009,1.07260077285696,1.03878080875269,1.1075218258169,0.0022068363836332
ukb-b-12493,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,European,54358,408652,463010,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,8986,finn-b-I9_IHD,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,Inverse variance weighted,61,4.18173696873732,0.561977336959501,0.0000000000000998403589071926,8986,IHD/8986.txt,TRUE,saved summary estimate,0.0000000000000998403589071926,0.0000000000100578674166338,61,,8986,finn-b-F5_DEPRESSIO,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,Inverse variance weighted,167,0.97061112689079,0.229269758555325,0.0000230092879296759,8986,DD/8986.txt,TRUE,saved summary estimate,0.0000230092879296759,0.00262927650967522,167,,positive,65.4794903210112,21.7640905313119,197.001737634334,2.63955707085461,1.68411869974812,4.13703709325276,0.00262927650967522
ukb-b-14177,Vascular/heart problems diagnosed by doctor: High blood pressure,European,124227,337653,461880,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,9236,finn-b-I9_IHD,Vascular/heart problems diagnosed by doctor: High blood pressure || id:ukb-b-14177,Inverse variance weighted,213,1.68428494084517,0.152881595543353,0.000000000000000000000000000316696564819678,9236,IHD/9236.txt,TRUE,saved summary estimate,0.000000000000000000000000000316696564819678,0.0000000000000000000000000703066373899685,213,,9236,finn-b-F5_DEPRESSIO,Vascular/heart problems diagnosed by doctor: High blood pressure || id:ukb-b-14177,Inverse variance weighted,378,0.417662473104548,0.0986438542367775,0.0000229525447534031,9236,DD/9236.txt,TRUE,saved summary estimate,0.0000229525447534031,0.00262927650967522,378,,positive,5.38859638922077,3.99337610040929,7.27128382496884,1.5184080843339,1.25147207548037,1.84228090721527,0.00262927650967522
ukb-b-6134,Age completed full time education,European,,,307897,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,10632,finn-b-I9_IHD,Age completed full time education || id:ukb-b-6134,Inverse variance weighted,37,-0.642697976851639,0.153144344396671,0.000027085488325246,10632,IHD/10632.txt,TRUE,saved summary estimate,0.000027085488325246,0.000824113791987434,37,,10632,finn-b-F5_DEPRESSIO,Age completed full time education || id:ukb-b-6134,Inverse variance weighted,157,-0.416313220600831,0.0996208386871031,0.0000292822945558795,10632,DD/10632.txt,TRUE,saved summary estimate,0.0000292822945558795,0.00325033469570262,157,,negative,0.525871718665832,0.389511888423392,0.709968226160945,0.659473677390007,0.542498442560669,0.801671483364052,0.00325033469570262
ukb-b-4063,Number of self-reported non-cancer illnesses,European,,,462933,2018,Ben Elsworth,MRC-IEU,,"",HG19/GRCh37,10339,finn-b-I9_IHD,Number of self-reported non-cancer illnesses || id:ukb-b-4063,Inverse variance weighted,34,1.15647320560509,0.303810792705293,0.000140914628216553,10339,IHD/10339.txt,TRUE,saved summary estimate,0.000140914628216553,0.00377072447111616,34,,10339,finn-b-F5_DEPRESSIO,Number of self-reported non-cancer illnesses || id:ukb-b-4063,Inverse variance weighted,166,0.603180815029583,0.103918214737324,0.00000000646045805676809,10339,DD/10339.txt,TRUE,saved summary estimate,0.00000000646045805676809,0.00000151858767028502,166,,positive,3.17870285265569,1.75243114909065,5.76579104447246,1.82792385075778,1.49108063301771,2.24086178183864,0.00377072447111616
