id.exposure,outcome,component,status,detail
ukb-b-6591,IHD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,IHD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,IHD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,IHD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,IHD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,IHD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,DD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,DD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,DD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,DD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,DD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6591,DD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,IHD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,IHD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,IHD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,IHD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,IHD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,IHD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,DD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,DD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,DD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,DD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,DD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ieu-a-1239,DD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,IHD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,IHD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,IHD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,IHD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,IHD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,IHD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,DD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,DD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,DD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,DD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,DD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-6306,DD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,IHD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,IHD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,IHD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,IHD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,IHD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,IHD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,DD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,DD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,DD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,DD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,DD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-14180,DD,strength,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-12405,IHD,estimates,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-12405,IHD,heterogeneity,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-12405,IHD,pleiotropy,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-12405,IHD,single,RETURNED_CHECK_NUMERIC_FIELDS,""
ukb-b-12405,IHD,loo,RETURNED_CHECK_NUMERIC_FIELDS,""
