id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval,outcome_code,q_sensitivity_58
ukb-b-6591,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age first had sexual intercourse || id:ukb-b-6591,0.00242165877160027,0.0027611166078363,0.381005055779637,IHD,0.788797106521033
ukb-b-6591,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Age first had sexual intercourse || id:ukb-b-6591,0.00199528864795135,0.00317792255011441,0.530470199940603,DD,0.828815021491329
ieu-a-1239,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Years of schooling || id:ieu-a-1239,0.00436651616152642,0.00216514357831053,0.0442511194383412,IHD,0.788797106521033
ieu-a-1239,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Years of schooling || id:ieu-a-1239,0.00271554759277543,0.00239839124905974,0.258071015253007,DD,0.788797106521033
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,0.00455002035544567,0.00357554364056123,0.204193859757651,IHD,0.788797106521033
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,-0.0024760798620343,0.00364072326087869,0.496975823805736,DD,0.828815021491329
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,0.00100219016203404,0.00450153658527181,0.824075057436149,IHD,0.93036635747511
ukb-b-14180,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Mood swings || id:ukb-b-14180,0.00091529980286453,0.00448507254794419,0.838525225324893,DD,0.93036635747511
ukb-b-12405,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age at first live birth || id:ukb-b-12405,-0.00400027887085452,0.00468330738334406,0.394398553260516,IHD,0.788797106521033
ukb-b-12405,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Age at first live birth || id:ukb-b-12405,0.00478996894194952,0.0052693850539011,0.364818229401759,DD,0.788797106521033
ukb-b-3656,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Number of treatments/medications taken || id:ukb-b-3656,-0.0109522039119888,0.00586529913957723,0.0637620319487627,IHD,0.788797106521033
ukb-b-3656,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Number of treatments/medications taken || id:ukb-b-3656,-0.00201276977284508,0.00367415287995413,0.58460951311674,DD,0.828815021491329
ukb-b-929,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,-0.00466083237184105,0.00480229810095703,0.333259765013132,IHD,0.788797106521033
ukb-b-929,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,0.00255467271993427,0.00444627322512384,0.566402732401213,DD,0.828815021491329
ukb-b-11615,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,0.00645963000276814,0.00420850951567097,0.126126256482514,IHD,0.788797106521033
ukb-b-11615,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,0.00369122296263281,0.00413730417724715,0.373189720823227,DD,0.788797106521033
ukb-b-14057,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",-0.00286397308271541,0.00231313204474204,0.216463423980578,IHD,0.788797106521033
ukb-b-14057,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",-0.00182475537471991,0.00181519420182509,0.315435942404705,DD,0.788797106521033
ukb-b-12493,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,-0.00850960612892554,0.00551905827472426,0.125023686590578,IHD,0.788797106521033
ukb-b-12493,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,-0.000566802978140027,0.00347021039333193,0.870455431292437,DD,0.933892031759816
ukb-b-14177,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Vascular/heart problems diagnosed by doctor: High blood pressure || id:ukb-b-14177,-0.00140943991391498,0.00243702555124547,0.563378824107418,IHD,0.828815021491329
ukb-b-14177,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Vascular/heart problems diagnosed by doctor: High blood pressure || id:ukb-b-14177,-0.000927578591661071,0.00190581059522805,0.626747630265019,DD,0.828815021491329
ukb-b-6134,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age completed full time education || id:ukb-b-6134,-0.00481589660163288,0.00395535935639251,0.225240687679977,IHD,0.788797106521033
