id.exposure,outcome,harmonised_rows,retained,excluded
ukb-b-6591,IHD,398,385,13
ukb-b-6591,DD,398,385,13
ieu-a-1239,IHD,527,508,19
ieu-a-1239,DD,527,508,19
ukb-b-6306,IHD,301,294,7
ukb-b-6306,DD,301,294,7
ukb-b-14180,IHD,186,181,5
ukb-b-14180,DD,186,181,5
ukb-b-12405,IHD,154,150,4
ukb-b-12405,DD,154,150,4
ukb-b-3656,IHD,165,156,9
ukb-b-3656,DD,165,156,9
ukb-b-929,IHD,164,160,4
ukb-b-929,DD,164,160,4
ukb-b-11615,IHD,250,242,8
ukb-b-11615,DD,250,242,8
ukb-b-14057,IHD,381,366,15
ukb-b-14057,DD,381,366,15
ukb-b-12493,IHD,176,167,9
ukb-b-12493,DD,176,167,9
ukb-b-14177,IHD,393,377,16
ukb-b-14177,DD,393,377,16
ukb-b-6134,IHD,161,157,4
ukb-b-6134,DD,161,157,4
ukb-b-4063,IHD,172,166,6
ukb-b-4063,DD,172,166,6
ukb-b-17729,IHD,279,266,13
ukb-b-17729,DD,279,266,13
ukb-b-7408,IHD,182,177,5
ukb-b-7408,DD,182,177,5
ieu-b-102,IHD,169,164,5
ieu-b-102,DD,169,164,5
ukb-b-18994,IHD,151,145,6
ukb-b-18994,DD,151,145,6
ieu-b-4877,IHD,227,216,11
ieu-b-4877,DD,227,216,11
ukb-b-17360,IHD,78,73,5
ukb-b-17360,DD,78,73,5
ukb-b-4630,IHD,276,264,12
ukb-b-4630,DD,276,264,12
ukb-b-13352,IHD,380,365,15
ukb-b-13352,DD,380,365,15
ukb-b-5076,IHD,80,78,2
ukb-b-5076,DD,80,78,2
ukb-b-20292,IHD,91,85,6
ukb-b-20292,DD,91,85,6
ukb-b-16489,IHD,495,474,21
ukb-b-16489,DD,495,474,21
ukb-b-18009,IHD,202,195,7
ukb-b-18009,DD,202,195,7
ukb-b-19809,IHD,188,180,8
ukb-b-19809,DD,188,180,8
ukb-b-20531,IHD,582,562,20
ukb-b-20531,DD,582,562,20
ukb-b-7212,IHD,641,609,32
ukb-b-7212,DD,641,609,32
ukb-b-18096,IHD,635,601,34
ukb-b-18096,DD,635,601,34
