id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval,outcome_code,q_sensitivity_58
ukb-b-6591,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age first had sexual intercourse || id:ukb-b-6591,Inverse variance weighted,445.863483604479,384,0.0159236696351477,IHD,0.0205238408630793
ukb-b-6591,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age first had sexual intercourse || id:ukb-b-6591,MR Egger,444.969791021861,383,0.015685471966439,IHD,0.0202168305345213
ukb-b-6591,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Age first had sexual intercourse || id:ukb-b-6591,Inverse variance weighted,601.852001816919,384,7.23160031285651e-12,DD,4.66036464606308e-11
ukb-b-6591,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Age first had sexual intercourse || id:ukb-b-6591,MR Egger,601.23317516722,383,6.44036611475187e-12,DD,4.1504581628401e-11
ieu-a-1239,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Years of schooling || id:ieu-a-1239,Inverse variance weighted,600.852150340328,507,0.00252758378371376,IHD,0.00444241998349691
ieu-a-1239,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Years of schooling || id:ieu-a-1239,MR Egger,596.061031377608,506,0.00347446332025497,IHD,0.00594455425788788
ieu-a-1239,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Years of schooling || id:ieu-a-1239,Inverse variance weighted,749.87929877758,507,1.14322057116101e-11,DD,6.63067931273386e-11
ieu-a-1239,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Years of schooling || id:ieu-a-1239,MR Egger,747.984266021928,506,1.28094007028789e-11,DD,7.42945240766978e-11
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,Inverse variance weighted,361.382945602953,293,0.00393095336083116,IHD,0.00651415128366307
ukb-b-6306,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Overall health rating || id:ukb-b-6306,MR Egger,359.389862149614,292,0.00431827314294461,IHD,0.0071559954940225
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,Inverse variance weighted,380.734664763907,293,0.00041603252001832,DD,0.00100541192337761
ukb-b-6306,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Overall health rating || id:ukb-b-6306,MR Egger,380.132512776579,292,0.000388946402564026,DD,0.000941772595314614
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,Inverse variance weighted,227.190044808729,180,0.0098398382345802,IHD,0.0139197711611135
ukb-b-14180,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Mood swings || id:ukb-b-14180,MR Egger,227.127152906863,179,0.00864822272951407,IHD,0.0123382502351403
ukb-b-14180,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Mood swings || id:ukb-b-14180,Inverse variance weighted,230.949697046758,180,0.00618598603760322,DD,0.00944176816265755
ukb-b-14180,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Mood swings || id:ukb-b-14180,MR Egger,230.895975176377,179,0.00539242531609712,DD,0.00823054390351665
ukb-b-12405,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age at first live birth || id:ukb-b-12405,Inverse variance weighted,158.431168099255,149,0.2831038541147,IHD,0.293214706047368
ukb-b-12405,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Age at first live birth || id:ukb-b-12405,MR Egger,157.653993725676,148,0.278290976851426,IHD,0.288229940310405
ukb-b-12405,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Age at first live birth || id:ukb-b-12405,Inverse variance weighted,205.206239537463,149,0.00155956420861158,DD,0.00291789432578941
ukb-b-12405,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Age at first live birth || id:ukb-b-12405,MR Egger,204.066891631923,148,0.00155194550126515,DD,0.00300042796911263
ukb-b-3656,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Number of treatments/medications taken || id:ukb-b-3656,Inverse variance weighted,478.312399180658,155,1.13016349934581e-34,IHD,3.27747414810285e-33
ukb-b-3656,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Number of treatments/medications taken || id:ukb-b-3656,MR Egger,467.722537562968,154,2.34493742468023e-33,IHD,6.80031853157267e-32
ukb-b-3656,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Number of treatments/medications taken || id:ukb-b-3656,Inverse variance weighted,188.779056356368,155,0.0334908353956758,DD,0.0396422133254938
ukb-b-3656,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Number of treatments/medications taken || id:ukb-b-3656,MR Egger,188.411891297209,154,0.0308397375782758,DD,0.0372646829070833
ukb-b-929,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Inverse variance weighted,209.351226079504,159,0.00456338884197114,IHD,0.00715342034687368
ukb-b-929,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,MR Egger,208.11052916136,158,0.00462261284599914,IHD,0.00724625797480946
ukb-b-929,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Inverse variance weighted,182.796473785779,159,0.0950831807691954,DD,0.110296489692267
ukb-b-929,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,MR Egger,182.415335561014,158,0.0892253018583989,DD,0.103501350155743
ukb-b-11615,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,Inverse variance weighted,315.471099025836,241,0.000891056266487337,IHD,0.00184575940915234
ukb-b-11615,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,MR Egger,312.404446122615,240,0.00114162068429476,IHD,0.00228324136858952
ukb-b-11615,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,Inverse variance weighted,309.037471506955,241,0.00200512003255038,DD,0.00363428005899757
ukb-b-11615,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Qualifications: A levels/AS levels or equivalent || id:ukb-b-11615,MR Egger,308.015902867277,240,0.00197831979196004,DD,0.00358570462292757
ukb-b-14057,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Inverse variance weighted,602.237603489513,365,6.63709245205822e-14,IHD,5.49930517456252e-13
ukb-b-14057,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",MR Egger,599.711923557235,364,8.5375724143507e-14,IHD,7.07398857189058e-13
ukb-b-14057,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Inverse variance weighted,378.662105304748,365,0.300110012579891,DD,0.305375100519889
ukb-b-14057,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",MR Egger,377.613747518518,364,0.300473881549948,DD,0.305745353156087
ukb-b-12493,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,Inverse variance weighted,465.204501851086,166,3.58662783652057e-30,IHD,6.93414715060643e-29
ukb-b-12493,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,MR Egger,458.597016043551,165,1.81682161307135e-29,IHD,3.51252178527128e-28
ukb-b-12493,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,Inverse variance weighted,185.422913002206,166,0.143828350938298,DD,0.162946153791736
ukb-b-12493,finn-b-F5_DEPRESSIO,Depression || id:finn-b-F5_DEPRESSIO,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension || id:ukb-b-12493,MR Egger,185.392937816876,165,0.132261623470246,DD,0.150415179632829
ukb-b-14177,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Vascular/heart problems diagnosed by doctor: High blood pressure || id:ukb-b-14177,Inverse variance weighted,699.671288688391,376,8.78033184172283e-22,IHD,1.27314811704981e-20
ukb-b-14177,finn-b-I9_IHD,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",Vascular/heart problems diagnosed by doctor: High blood pressure || id:ukb-b-14177,MR Egger,699.047771321075,375,7.41478122080336e-22,IHD,1.07514327701649e-20
