set_rank,id.exposure,trait,population,source_group,consortium,exposure_category,exposure_sample_size,exposure_ncase,exposure_ncontrol,direction,IHD.id.outcome,IHD.method,IHD.nsnp,IHD.b,IHD.se,IHD.p,IHD.q_BH_m11988,IHD.OR,IHD.CI95_lower,IHD.CI95_upper,DD.id.outcome,DD.method,DD.nsnp,DD.b,DD.se,DD.p,DD.q_BH_m11988,DD.OR,DD.CI95_lower,DD.CI95_upper,old50_overlap,old50_rank,downstream_marker,downstream_exclusion_reason,trait_group,short_label,plot_x,plot_y,effect_direction,joint_support,label_for_plot
1,ukb-b-6591,Age first had sexual intercourse,European,public,MRC-IEU,Continuous,406457,,,Negative,finn-b-I9_IHD,Inverse variance weighted,183,-0.371079377646314,0.0612399854190754,1.36605136733847e-09,8.3128039551541e-08,0.689989169668715,0.611946909712984,0.777984244553857,finn-b-F5_DEPRESSIO,Inverse variance weighted,386,-0.463629157011026,0.0555167725492581,6.75988023940141e-17,3.68352019590655e-14,0.628996770263544,0.564146092817881,0.701302272653849,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,Age at first sex,7.08025246155257,13.4337369446643,Concordant negative,7.08025246155257,Age at first sex
2,ieu-a-1239,Years of schooling,European,public,SSGAC,Risk factor,766345,,,Negative,finn-b-I9_IHD,Inverse variance weighted,293,-0.453709709462512,0.0602926177280216,5.26684097600089e-14,5.49033822785206e-12,0.635267118515266,0.564461420669159,0.714954640103252,finn-b-F5_DEPRESSIO,Inverse variance weighted,509,-0.326163185699945,0.0558296766358387,5.15433437430487e-09,1.23580320958334e-06,0.72168740875714,0.646883312799657,0.805141678032278,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,Years of schooling,11.260400900365,5.90805068118608,Concordant negative,5.90805068118608,Years of schooling
3,ukb-b-6306,Overall health rating,European,public,MRC-IEU,Categorical Ordered,460844,,,Positive,finn-b-I9_IHD,Inverse variance weighted,100,0.76021255039132,0.14827452600887,2.94300070389785e-07,1.25554065616824e-05,2.13873076024883,1.59934549417372,2.8600257302114,finn-b-F5_DEPRESSIO,Inverse variance weighted,294,0.925664289670123,0.0893031910756462,3.56223302775179e-25,4.27040495366885e-22,2.52354406794212,2.1183342213146,3.00626529976646,TRUE,4,TRUE,General health-status or multimorbidity marker,Clinical or healthcare marker,Overall health rating,4.90116921965863,21.3695309397748,Concordant positive,4.90116921965863,Overall health rating
4,ukb-b-14180,Mood swings,European,public,MRC-IEU,Binary,451619,204412,247207,Positive,finn-b-I9_IHD,Inverse variance weighted,54,1.19157099697057,0.261051749344299,5.0068357675172e-06,0.000170033844705372,3.29224926043687,1.97369923909502,5.49167014819187,finn-b-F5_DEPRESSIO,Inverse variance weighted,181,1.24453544876633,0.16419923565833,3.47095362669686e-14,1.48606400274436e-11,3.47132181787661,2.51608707532987,4.7892122977049,TRUE,6,FALSE,"",Psychological or symptom phenotype,Mood swings,3.76946462505799,10.8279624857032,Concordant positive,3.76946462505799,Mood swings
5,ukb-b-12405,Age at first live birth,European,public,MRC-IEU,Continuous,170498,,,Negative,finn-b-I9_IHD,Inverse variance weighted,32,-0.410552318947397,0.0968894130238485,2.26194577402982e-05,0.00069887128708942,0.663283804735409,0.54856167175664,0.801998076561671,finn-b-F5_DEPRESSIO,Inverse variance weighted,151,-0.36783688166956,0.0600683076525115,9.14595997997471e-10,2.38351670086819e-07,0.692230087896162,0.615345878827359,0.778720571756957,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,Age at first live birth,3.15560280201406,6.6227818007038,Concordant negative,3.15560280201406,""
6,ukb-b-3656,Number of treatments/medications taken,European,public,MRC-IEU,Categorical Ordered,462933,,,Positive,finn-b-I9_IHD,Inverse variance weighted,38,1.77503227086154,0.410501997372852,1.53188675417341e-05,0.000483269958132391,5.90047154654695,2.63912746279206,13.1920738814097,finn-b-F5_DEPRESSIO,Inverse variance weighted,156,0.496209438219024,0.109061562476887,5.36942579051918e-06,0.000788202982728095,1.6424835206213,1.32637383087086,2.03393044458762,TRUE,16,TRUE,Medication or treatment marker,Clinical or healthcare marker,Number of medications,3.31581020139091,3.10336192600442,Concordant positive,3.10336192600442,Number of medications
7,ukb-b-929,Frequency of tiredness / lethargy in last 2 weeks,European,public,MRC-IEU,Categorical Ordered,449019,,,Positive,finn-b-I9_IHD,Inverse variance weighted,38,0.837847835626448,0.200389619954551,2.90109904125842e-05,0.000873828525291606,2.31138713493883,1.56062156423108,3.42332222622657,finn-b-F5_DEPRESSIO,Inverse variance weighted,161,0.941793256452313,0.102176627858794,3.04657822194592e-20,2.28264873279298e-17,2.5645762401411,2.0991385910724,3.13321441445951,TRUE,7,FALSE,"",Psychological or symptom phenotype,Tiredness/lethargy,3.05857378226946,16.6415609151182,Concordant positive,3.05857378226946,Tiredness/lethargy
8,ukb-b-11615,Qualifications: A levels/AS levels or equivalent,European,public,MRC-IEU,Binary,458079,123661,334418,Negative,finn-b-I9_IHD,Inverse variance weighted,81,-1.01407480597603,0.249400768124608,4.78176573524694e-05,0.0013947398451129,0.362737877548026,0.222483950736173,0.591407907728482,finn-b-F5_DEPRESSIO,Inverse variance weighted,243,-0.729090157683982,0.159946825007838,5.15623645205868e-06,0.000782442564395943,0.482347650807637,0.352541852000069,0.659947903829588,FALSE,,FALSE,"",Sociodemographic or life-course phenotype,A/AS-level qualification,2.85550679193766,3.10654753222419,Concordant negative,2.85550679193766,""
9,ukb-b-14057,"Non-cancer illness code, self-reported: hypertension",European,public,MRC-IEU,Binary,462933,119731,343202,Positive,finn-b-I9_IHD,Inverse variance weighted,202,1.62152183533004,0.156268867763805,3.17235390249455e-25,6.67196115493064e-23,5.06078614233799,3.72562586256026,6.87443058516884,finn-b-F5_DEPRESSIO,Inverse variance weighted,368,0.421389618841007,0.0961763212863736,1.17904052556814e-05,0.00155322393631988,1.52407797223724,1.26223508832456,1.84023854743413,TRUE,2,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Clinical or healthcare marker,Self-reported hypertension,22.1757464908848,2.80876592527797,Concordant positive,2.80876592527797,""
10,ukb-b-12493,Diagnoses - secondary ICD10: I10 Essential (primary) hypertension,European,public,MRC-IEU,Binary,463010,54358,408652,Positive,finn-b-I9_IHD,Inverse variance weighted,61,4.18173696873732,0.561977336959501,9.98403589071926e-14,1.00578674166338e-11,65.4794903210112,21.7640905313119,197.001737634334,finn-b-F5_DEPRESSIO,Inverse variance weighted,167,0.97061112689079,0.229269758555325,2.30092879296759e-05,0.00262927650967522,2.63955707085461,1.68411869974812,4.13703709325276,TRUE,3,TRUE,"Diagnosis, disease-history, or outcome-proxy marker",Clinical or healthcare marker,ICD-10 I10 hypertension,10.9974940935713,2.58016373861352,Concordant positive,2.58016373861352,""
