id.exposure,outcome,status
ukb-b-6591,IHD,COMPLETED
ukb-b-6591,DD,COMPLETED
ieu-a-1239,IHD,COMPLETED
ieu-a-1239,DD,COMPLETED
ukb-b-6306,IHD,COMPLETED
ukb-b-6306,DD,COMPLETED
ukb-b-14180,IHD,COMPLETED
ukb-b-14180,DD,COMPLETED
ukb-b-12405,IHD,COMPLETED
ukb-b-12405,DD,COMPLETED
ukb-b-3656,IHD,COMPLETED
ukb-b-3656,DD,COMPLETED
ukb-b-929,IHD,COMPLETED
ukb-b-929,DD,COMPLETED
ukb-b-11615,IHD,COMPLETED
ukb-b-11615,DD,COMPLETED
ukb-b-14057,IHD,COMPLETED
ukb-b-14057,DD,COMPLETED
ukb-b-12493,IHD,COMPLETED
ukb-b-12493,DD,COMPLETED
ukb-b-14177,IHD,COMPLETED
ukb-b-14177,DD,COMPLETED
ukb-b-6134,IHD,COMPLETED
ukb-b-6134,DD,COMPLETED
ukb-b-4063,IHD,COMPLETED
ukb-b-4063,DD,COMPLETED
ukb-b-17729,IHD,COMPLETED
ukb-b-17729,DD,COMPLETED
ukb-b-7408,IHD,COMPLETED
ukb-b-7408,DD,COMPLETED
ieu-b-102,IHD,COMPLETED
ieu-b-102,DD,COMPLETED
ukb-b-18994,IHD,COMPLETED
ukb-b-18994,DD,COMPLETED
ieu-b-4877,IHD,COMPLETED
ieu-b-4877,DD,COMPLETED
ukb-b-17360,IHD,COMPLETED
ukb-b-17360,DD,COMPLETED
ukb-b-4630,IHD,COMPLETED
ukb-b-4630,DD,COMPLETED
ukb-b-13352,IHD,COMPLETED
ukb-b-13352,DD,COMPLETED
ukb-b-5076,IHD,COMPLETED
ukb-b-5076,DD,COMPLETED
ukb-b-20292,IHD,COMPLETED
ukb-b-20292,DD,COMPLETED
ukb-b-16489,IHD,COMPLETED
ukb-b-16489,DD,COMPLETED
ukb-b-18009,IHD,COMPLETED
ukb-b-18009,DD,COMPLETED
ukb-b-19809,IHD,COMPLETED
ukb-b-19809,DD,COMPLETED
ukb-b-20531,IHD,COMPLETED
ukb-b-20531,DD,COMPLETED
ukb-b-7212,IHD,COMPLETED
ukb-b-7212,DD,COMPLETED
ukb-b-18096,IHD,COMPLETED
ukb-b-18096,DD,COMPLETED
