id.exposure,outcome_code,PRESSO_status,PRESSO_global_P,PRESSO_global_P_upper_bound,PRESSO_draws,PRESSO_outlier_n,PRESSO_outlier_test_status,PRESSO_distortion_P,PRESSO_distortion_coefficient,PRESSO_distortion_status,PRESSO_corrected_b,PRESSO_corrected_se,PRESSO_corrected_P,PRESSO_corrected_nsnp,PRESSO_corrected_lower,PRESSO_corrected_upper,PRESSO_corrected_OR,PRESSO_corrected_OR_lower,PRESSO_corrected_OR_upper,PRESSO_global_q_sensitivity_58_upper_bound
ieu-a-1239,DD,COMPLETED,<1.96850393700787e-05,1.96850393700787e-05,50800,0,Performed,,,No significant outliers,,,,,,,,,,0.000144458281444583
ieu-a-1239,IHD,COMPLETED,0.00324803149606299,0.00324803149606299,50800,1,Performed,0.856732283464567,-2.37363024796978,Estimated,-0.368966939054102,0.0497947654528978,5.34481735514287e-13,507,-0.46679688782878,-0.271136990279424,0.691448270006273,0.62700743032034,0.762512032513562,0.00570866141732283
ieu-b-102,DD,COMPLETED,0.000121951219512195,0.000121951219512195,16400,0,Performed,,,No significant outliers,,,,,,,,,,0.000353658536585365
ieu-b-102,IHD,COMPLETED,0.0157926829268293,0.0157926829268293,16400,0,Performed,,,No significant outliers,,,,,,,,,,0.0213017583664209
ieu-b-4877,DD,COMPLETED,0.000185185185185185,0.000185185185185185,21600,0,Performed,,,No significant outliers,,,,,,,,,,0.000511463844797178
ieu-b-4877,IHD,COMPLETED,0.361759259259259,0.361759259259259,21600,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.361759259259259
ukb-b-11615,DD,COMPLETED,0.00202479338842975,0.00202479338842975,24200,2,Performed,0.605826446280992,-11.0761239983116,Estimated,-0.658649646532405,0.152260538089714,2.23383970644372e-05,240,-0.958593680481452,-0.358705612583358,0.517549737923083,0.383431734521978,0.698579974237627,0.00366993801652892
ukb-b-11615,IHD,COMPLETED,0.000950413223140496,0.000950413223140496,24200,0,Performed,,,No significant outliers,,,,,,,,,,0.00204162840526477
ukb-b-12405,DD,COMPLETED,0.00173333333333333,0.00173333333333333,15000,1,Performed,0.722266666666667,-5.75665058739979,Estimated,-0.350296116366585,0.0589401975269421,1.92186977718283e-08,149,-0.466769166477613,-0.233823066255558,0.704479450934214,0.627024812054422,0.791501846892618,0.00324301075268817
ukb-b-12405,IHD,COMPLETED,0.315466666666667,0.315466666666667,15000,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.321001169590644
ukb-b-12493,DD,COMPLETED,0.152215568862275,0.152215568862275,16700,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.169778903730999
ukb-b-12493,IHD,COMPLETED,<5.98802395209581e-05,5.98802395209581e-05,16700,6,Performed,0.00718562874251497,21.3337919353937,Estimated,2.86915067873693,0.274192500746698,7.52394282044489e-20,161,2.32764748127176,3.4106538762021,17.6220450646641,10.2537909016437,30.285040453797,0.000218702865761689
ukb-b-13352,DD,COMPLETED,0.00942465753424658,0.00942465753424658,36500,0,Performed,,,No significant outliers,,,,,,,,,,0.0136657534246575
ukb-b-13352,IHD,COMPLETED,<2.73972602739726e-05,2.73972602739726e-05,36500,7,Performed,0.0347397260273973,-14.4171675072835,Estimated,-1.58021048586995,0.114642148554143,5.94269371850864e-35,358,-1.80566931255206,-1.35475165918784,0.205931747919622,0.164364408591232,0.258011361247296,0.000144458281444583
ukb-b-14057,DD,COMPLETED,0.306010928961749,0.306010928961749,36600,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.316939890710383
ukb-b-14057,IHD,COMPLETED,<2.73224043715847e-05,2.73224043715847e-05,36600,3,Performed,0.624071038251366,3.80987751506505,Estimated,1.4978132667678,0.118495119393156,1.37429018767433e-30,363,1.26478801538816,1.73083851814744,4.47189951938074,3.54234173457379,5.645385682656,0.000144458281444583
ukb-b-14177,DD,COMPLETED,0.016631299734748,0.016631299734748,37700,0,Performed,,,No significant outliers,,,,,,,,,,0.0219230769230769
ukb-b-14177,IHD,COMPLETED,<2.6525198938992e-05,2.6525198938992e-05,37700,4,Performed,0.421618037135279,6.05543034150134,Estimated,1.53609100373902,0.120690269049981,4.70469057847813e-31,373,1.29877030481935,1.77341170265869,4.64639199672571,3.6647873243178,5.89091717382414,0.000144458281444583
ukb-b-14180,DD,COMPLETED,0.00917127071823204,0.00917127071823204,18100,0,Performed,,,No significant outliers,,,,,,,,,,0.0136393256835246
ukb-b-14180,IHD,COMPLETED,0.0124309392265193,0.0124309392265193,18100,0,Performed,,,No significant outliers,,,,,,,,,,0.0175852311009297
ukb-b-16489,DD,COMPLETED,<2.10970464135021e-05,2.10970464135021e-05,47400,2,Performed,0.930295358649789,-2.42564628435565,Estimated,-0.364851582847553,0.0994421521785585,0.00027133089481324,472,-0.560256744540715,-0.169446421154392,0.694299689214279,0.571062427864865,0.844131980885839,0.000144458281444583
ukb-b-16489,IHD,COMPLETED,0.0010337552742616,0.0010337552742616,47400,0,Performed,,,No significant outliers,,,,,,,,,,0.00214135021097046
ukb-b-17360,DD,COMPLETED,0.169,0.169,10000,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.184943396226415
ukb-b-17360,IHD,COMPLETED,<1e-04,1e-04,10000,3,Performed,0.0342,-24.1124564584811,Estimated,-2.11198745116172,0.296386942509705,7.86656128966423e-10,70,-2.70326322321911,-1.52071167910433,0.120997251180289,0.0669865635844015,0.218556289646645,0.000305263157894737
ukb-b-17729,DD,COMPLETED,3.7593984962406e-05,3.7593984962406e-05,26600,1,Performed,0.853045112781955,4.36062187836718,Estimated,0.747609885118079,0.179735869892231,4.3173328040471e-05,265,0.393711665342881,1.10150810489328,2.11194618539244,1.48247303868944,3.00870003945351,0.000181704260651629
ukb-b-17729,IHD,COMPLETED,0.000413533834586466,0.000413533834586466,26600,1,Performed,0.832631578947368,5.36200686021473,Estimated,0.660864449729925,0.174400122974009,0.000187140228657944,265,0.317472264930726,1.00425663452912,1.93646558823068,1.37365114602732,2.72987722191803,0.00104282445243544
ukb-b-18009,DD,COMPLETED,0.243025641025641,0.243025641025641,19500,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.256281585081585
ukb-b-18009,IHD,COMPLETED,<5.12820512820513e-05,5.12820512820513e-05,19500,3,Performed,0.209230769230769,11.4500240659995,Estimated,1.43654971173978,0.147687079126834,2.03260102406734e-18,192,1.14524256178236,1.7278568616972,4.20615829351433,3.1432036854678,5.62857815161486,0.000218702865761689
ukb-b-18096,DD,COMPLETED,<1.66389351081531e-05,1.66389351081531e-05,60100,0,Performed,,,No significant outliers,,,,,,,,,,0.000144458281444583
ukb-b-18096,IHD,COMPLETED,<1.66389351081531e-05,1.66389351081531e-05,60100,3,Performed,0.600915141430948,-8.77925393209276,Estimated,0.307587276852342,0.0458938252186497,4.76070042941924e-11,598,0.217454302147446,0.397720251557238,1.36013951201721,1.24290862995462,1.48842758636083,0.000144458281444583
ukb-b-18994,DD,COMPLETED,0.00648275862068965,0.00648275862068965,14500,0,Performed,,,No significant outliers,,,,,,,,,,0.0101621621621622
ukb-b-18994,IHD,COMPLETED,0.00613793103448276,0.00613793103448276,14500,2,Performed,0.726,-6.60901373833,Estimated,1.03899025282492,0.181582856609349,6.01382191706032e-08,143,0.680035265624297,1.39794524002553,2.82636166229806,1.97394734348839,4.04687605900933,0.00988888888888889
ukb-b-19809,DD,COMPLETED,0.0153333333333333,0.0153333333333333,18000,0,Performed,,,No significant outliers,,,,,,,,,,0.0211746031746031
ukb-b-19809,IHD,COMPLETED,0.00144444444444444,0.00144444444444444,18000,0,Performed,,,No significant outliers,,,,,,,,,,0.00279259259259258
ukb-b-20292,DD,COMPLETED,0.0269,0.0269,10000,0,Performed,,,No significant outliers,,,,,,,,,,0.033375241779497
ukb-b-20292,IHD,COMPLETED,2e-04,2e-04,10000,1,Performed,0.3355,23.2147255019951,Estimated,0.807091563349688,0.254703741767051,0.00214380463096939,84,0.300496065114902,1.31368706158447,2.24137958702188,1.35052859155498,3.7198638255663,0.000527272727272727
ukb-b-20531,DD,COMPLETED,<1.77935943060498e-05,1.77935943060498e-05,56200,0,Performed,,,No significant outliers,,,,,,,,,,0.000144458281444583
ukb-b-20531,IHD,COMPLETED,<1.77935943060498e-05,1.77935943060498e-05,56200,4,Performed,0.545391459074733,-9.83869400072875,Estimated,0.450170221995602,0.0648774065379503,1.10248610765543e-11,558,0.322735936753213,0.577604507237992,1.56857916944274,1.38090065764556,1.78176510901568,0.000144458281444583
ukb-b-3656,DD,COMPLETED,0.0396153846153846,0.0396153846153846,15600,0,Performed,,,No significant outliers,,,,,,,,,,0.0468916797488226
ukb-b-3656,IHD,COMPLETED,<6.41025641025641e-05,6.41025641025641e-05,15600,6,Performed,0.00987179487179487,35.6652436639299,Estimated,0.84572087297378,0.140610917150911,1.33489115927666e-08,150,0.567871847756618,1.12356989819094,2.32965659588166,1.76450791137128,3.07581497354529,0.000218702865761689
ukb-b-4063,DD,COMPLETED,0.0290361445783133,0.0290361445783133,16600,0,Performed,,,No significant outliers,,,,,,,,,,0.0350853413654619
ukb-b-4063,IHD,COMPLETED,<6.02409638554217e-05,6.02409638554217e-05,16600,5,Performed,0.0631325301204819,22.1729899061785,Estimated,0.81648728284504,0.117973535886707,1.02511128639603e-10,161,0.583501162783573,1.04947340290651,2.2625382054702,1.79230260157581,2.85614668344039,0.000218702865761689
ukb-b-4630,DD,COMPLETED,0.000643939393939394,0.000643939393939394,26400,0,Performed,,,No significant outliers,,,,,,,,,,0.00155618686868687
ukb-b-4630,IHD,COMPLETED,0.0270454545454545,0.0270454545454545,26400,0,Performed,,,No significant outliers,,,,,,,,,,0.033375241779497
ukb-b-5076,DD,COMPLETED,7e-04,7e-04,10000,0,Performed,,,No significant outliers,,,,,,,,,,0.001624
ukb-b-5076,IHD,COMPLETED,0.1979,0.1979,10000,0,Not triggered by global test,,,Not triggered,,,,,,,,,,0.212559259259259
ukb-b-6134,DD,COMPLETED,<6.36942675159236e-05,6.36942675159236e-05,15700,0,Performed,,,No significant outliers,,,,,,,,,,0.000218702865761689
ukb-b-6134,IHD,COMPLETED,0.00745222929936306,0.00745222929936306,15700,0,Performed,,,No significant outliers,,,,,,,,,,0.0113744552463963
