"","location_name","val","upper","lower","location"
"1","Kingdom of Cambodia",3488.86,4500.07,2674.28,"Cambodia"
"2","Democratic Socialist Republic of Sri Lanka",3310.53,4284.69,2548.61,"Sri Lanka"
"3","Independent State of Papua New Guinea",3208.56,4203.38,2412.83,"Papua New Guinea"
"4","Republic of Armenia",5042.46,6524.69,3796.83,"Armenia"
"5","Democratic Republic of Timor-Leste",3066.73,4032.93,2350.16,"Timor-Leste"
"6","Lao People's Democratic Republic",2492.32,3239.72,1863.68,"Laos"
"7","Georgia",5545.24,7137.3,4064.33,"Georgia"
"8","Republic of Maldives",3905.18,5028.23,2971.56,"Maldives"
"9","Solomon Islands",3266.88,4283.19,2457.7,"Solomon Islands"
"10","Democratic People's Republic of Korea",2964.78,3810.67,2245.1,"North Korea"
"11","Bosnia and Herzegovina",5123.26,6687.06,3860.66,"Bosnia and Herzegovina"
"12","Kyrgyz Republic",5759.58,7246.08,4379.55,"Kyrgyzstan"
"13","Republic of Vanuatu",3206.72,4169.15,2435.83,"Vanuatu"
"14","Republic of Kiribati",2936.07,3741.84,2225.81,"Kiribati"
"15","Republic of the Philippines",3509.58,4127.32,2996.12,"Philippines"
"16","Republic of Croatia",5025.26,6436.8,3801.81,"Croatia"
"17","Republic of Tajikistan",4807.59,6235.95,3652.87,"Tajikistan"
"18","Kingdom of Thailand",3160.75,4105.63,2378.69,"Thailand"
"19","Federated States of Micronesia",2984.53,3868.64,2284.25,"Micronesia"
"20","Republic of Uzbekistan",4942.11,6392.64,3754.85,"Uzbekistan"
"21","Socialist Republic of Viet Nam",2882.27,3740.31,2168.04,"Vietnam"
"22","Republic of Albania",4357.59,5722.23,3255.01,"Albania"
"23","Republic of Indonesia",2758.96,3245.49,2322.26,"Indonesia"
"24","Republic of Azerbaijan",4697.94,6078.24,3480.31,"Azerbaijan"
"25","People's Republic of China",2934.55,3398.24,2587.88,"China"
"26","Malaysia",3925.71,5153.74,2918.57,"Malaysia"
"27","Independent State of Samoa",2892.35,3715.56,2168.85,"Samoa"
"28","Republic of Fiji",3391.13,4517.08,2579.04,"Fiji"
"29","Republic of Bulgaria",5330.4,6958.8,4012.74,"Bulgaria"
"30","Kingdom of Tonga",2831.33,3718.49,2136.27,"Tonga"
"31","North Macedonia",4914.63,6389.17,3763.28,"North Macedonia"
"32","Republic of Kazakhstan",5433.57,6960.71,4099.18,"Kazakhstan"
"33","Republic of the Union of Myanmar",2081.02,2741.65,1555.17,"Myanmar"
"34","Republic of the Marshall Islands",2993.15,3953.64,2286.41,"Marshall Islands"
"35","Taiwan (Province of China)",2694.15,3418.32,2061.41,"Taiwan"
"36","Mongolia",5889.83,7569.62,4506.78,"Mongolia"
"37","Republic of Poland",2815.45,3342.78,2367.97,"Poland"
"38","Turkmenistan",4980.8,6388.52,3729.81,"Turkmenistan"
"39","Republic of Estonia",6702.24,8552.07,5137.48,"Estonia"
"40","Japan",3594.96,4175.8,3134.39,"Japan"
"41","Republic of Lithuania",7663.25,10118.56,5971.16,"Lithuania"
"42","Federal Republic of Germany",6130.62,8089.89,4604.4,"Germany"
"43","Principality of Andorra",6813.86,9077.06,4952.78,"Andorra"
"44","Republic of Serbia",4894.7,6504.73,3642.72,"Serbia"
"45","Republic of Iceland",4724.89,6223.94,3500.06,"Iceland"
"46","Kingdom of Belgium",6398.81,8279.5,4979.95,"Belgium"
"47","Republic of Singapore",3024.9,3851.86,2304.64,"Singapore"
"48","State of Israel",7464.44,9824.71,5637.41,"Israel"
"49","Russian Federation",4864.5,5685.72,4145.97,"Russia"
"50","French Republic",7340.57,9597.95,5592.03,"France"
"51","Kingdom of Denmark",6377.81,8343.73,4811.29,"Denmark"
"52","Grand Duchy of Luxembourg",5564.43,7139.41,4277.77,"Luxembourg"
"53","Republic of Austria",5288.34,7059.71,3977.33,"Austria"
"54","Ireland",8047.02,10540.11,6142.29,"Ireland"
"55","Hellenic Republic",10073.95,13552.04,7418.29,"Greece"
"56","Republic of Malta",5389.9,7134.84,4111.78,"Malta"
"57","Kingdom of the Netherlands",6598.12,8841.88,5016.08,"Netherlands"
"58","Republic of Cyprus",5488.73,7485.44,4046.63,"Cyprus"
"59","Republic of Guyana",9445.69,12338.48,7159.68,"Guyana"
"60","Republic of Finland",7690.75,9941.9,5841.27,"Finland"
"61","Republic of Italy",7192.21,8507.65,6096.58,"Italy"
"62","Commonwealth of Dominica",5288.23,7139.89,3886.33,"Dominica"
"63","Saint Vincent and the Grenadines",5432.25,7143.68,4063.08,"Saint Vincent"
"64","Jamaica",5397.82,7255.82,3903.53,"Jamaica"
"65","Grenada",5272.41,6792.93,3877.88,"Grenada"
"66","Plurinational State of Bolivia",6942.97,9206.24,5331.71,"Bolivia"
"67","Republic of Ecuador",5867.14,7660.71,4452.9,"Ecuador"
"68","Republic of Trinidad and Tobago",7000.4,9339.47,5185.68,"Trinidad"
"69","Saint Lucia",5710.39,7591.04,4222.81,"Saint Lucia"
"70","Republic of Suriname",9240.81,12195.57,7086.71,"Suriname"
"71","Republic of Peru",3703.36,4953.09,2796.74,"Peru"
"72","Dominican Republic",6569.45,8957.01,4827.34,"Dominican Republic"
"73","Republic of Haiti",6117.8,7976.07,4594.43,"Haiti"
"74","United Mexican States",7101.41,8434.62,6127.89,"Mexico"
"75","Hungary",4743.81,6083.7,3618.65,"Hungary"
"76","Republic of Slovenia",5762.23,7566.69,4321.33,"Slovenia"
"77","Romania",4591.7,5838.34,3478.62,"Romania"
"78","Australia",7005.67,9064.3,5283.8,"Australia"
"79","Republic of Belarus",7519.12,9725.61,5588.81,"Belarus"
"80","Montenegro",5352.18,7082.15,3996.79,"Montenegro"
"81","Czech Republic",5090.68,6579.68,3835.8,"Czech Republic"
"82","Slovak Republic",5067.44,6603.27,3792.79,"Slovakia"
"83","Ukraine",6894.04,8805.64,5234.85,"Ukraine"
"84","Republic of Moldova",5388.77,7005.5,4071.24,"Moldova"
"85","Brunei Darussalam",2461.22,3258.47,1826.85,"Brunei"
"86","Republic of Latvia",6734.51,8767.26,4919.33,"Latvia"
"87","Republic of Korea",3266.3,4112.03,2506.78,"South Korea"
"88","Swiss Confederation",6901.46,9193.86,5246.62,"Switzerland"
"89","Kingdom of Spain",9281.67,12031.51,7018.07,"Spain"
"90","Canada",6001.41,7921.17,4428.67,"Canada"
"91","Argentine Republic",4713.43,5949.75,3625.04,"Argentina"
"92","New Zealand",5276.12,6829.08,4144.9,"New Zealand"
"93","Portuguese Republic",9745.68,13124.08,7347.77,"Portugal"
"94","Republic of Honduras",5953.5,7774.21,4414.08,"Honduras"
"95","Kingdom of Norway",6174.12,7454.33,5114.96,"Norway"
"96","Eastern Republic of Uruguay",6234.67,8203.16,4640.16,"Uruguay"
"97","Commonwealth of the Bahamas",5356.61,6989.62,3954.16,"Bahamas"
"98","Republic of Guatemala",6866.15,9021.33,5204.13,"Guatemala"
"99","Republic of Costa Rica",5523.08,7294.9,4184.21,"Costa Rica"
"100","United States of America",8866.23,10247.05,7819.08,"USA"
"101","Republic of Chile",7860.99,10637.19,5968.26,"Chile"
"102","Republic of Colombia",2676.03,3568.46,1946.6,"Colombia"
"103","Republic of Cuba",6640.11,8875.18,5150.29,"Cuba"
"104","Kingdom of Sweden",8432.83,10478.12,6748.55,"Sweden"
"105","Republic of Nicaragua",5611.94,7368.06,4182.55,"Nicaragua"
"106","Belize",5296.05,7089.74,3987.19,"Belize"
"107","Bolivarian Republic of Venezuela",4926.5,6411.03,3645.53,"Venezuela"
"108","Federative Republic of Brazil",7221.67,8418.57,6202.86,"Brazil"
"109","Republic of El Salvador",5916.31,7750.42,4464.69,"El Salvador"
"110","Republic of Panama",5100.45,6740.48,3789.84,"Panama"
"111","Barbados",5476.71,7413.3,3988.03,"Barbados"
"112","Antigua and Barbuda",5206.1,7024.56,3817.8,"Antigua"
"113","United Kingdom of Great Britain and Northern Ireland",7358.23,8666.83,6309.02,"UK"
"114","Republic of Tunisia",10069.38,13197.08,7405.6,"Tunisia"
"115","Kingdom of Saudi Arabia",6788.64,9002.15,5035.44,"Saudi Arabia"
"116","Kingdom of Morocco",8934.03,11505.82,6641.66,"Morocco"
"117","Republic of Djibouti",6751.97,8814.47,5228.17,"Djibouti"
"118","Republic of Iraq",6264.12,8179.27,4754.48,"Iraq"
"119","Federal Democratic Republic of Nepal",8710.12,11293.61,6411.28,"Nepal"
"120","Islamic Republic of Pakistan",6332.66,7706.84,5110.67,"Pakistan"
"121","Republic of Equatorial Guinea",9156.99,11906.37,7158.11,"Equatorial Guinea"
"122","Republic of Paraguay",6615.34,8980.5,4993.66,"Paraguay"
"123","Syrian Arab Republic",6791.99,9083.9,5053,"Syria"
"124","Kingdom of Bhutan",5601.28,7447.06,4173.82,"Bhutan"
"125","Palestine",9837.27,12912.98,7371.47,"Palestine"
"126","State of Qatar",6798.32,9020.86,5081.32,"Qatar"
"127","Arab Republic of Egypt",6958.57,8924.59,5216.74,"Egypt"
"128","Hashemite Kingdom of Jordan",7269.24,9590.76,5540.69,"Jordan"
"129","Islamic Republic of Afghanistan",8372.43,11034.49,6302.09,"Afghanistan"
"130","Sultanate of Oman",7035.75,9462.94,5152.89,"Oman"
"131","People's Republic of Bangladesh",8138.31,10606.24,6263.56,"Bangladesh"
"132","Republic of India",5727.24,6672.84,4998.5,"India"
"133","Gabonese Republic",8734.04,11409.23,6652.17,"Gabon"
"134","Republic of Turkey",7362.29,9791.12,5453.33,"Turkey"
"135","United Arab Emirates",6276.67,8360.44,4647.16,"United Arab Emirates"
"136","Central African Republic",8966.48,11539.95,6818.89,"Central African Republic"
"137","Lebanese Republic",9452.2,12774.98,6952.91,"Lebanon"
"138","State of Kuwait",6069.15,8153.15,4477.14,"Kuwait"
"139","State of Libya",7113.22,9488.67,5414.98,"Libya"
"140","Republic of Yemen",7505.06,10134.81,5632.9,"Yemen"
"141","Kingdom of Bahrain",8090.93,10850.57,5927.71,"Bahrain"
"142","Federal Democratic Republic of Ethiopia",6459.72,7687.06,5373.5,"Ethiopia"
