"","location_name","val","upper","lower","location"
"1","Kingdom of Cambodia",2957.62,3793.61,2236.06,"Cambodia"
"2","Democratic Socialist Republic of Sri Lanka",3062.9,3993.15,2343.11,"Sri Lanka"
"3","Independent State of Papua New Guinea",2721.35,3588.24,2012.26,"Papua New Guinea"
"4","Republic of Armenia",3035.82,3907.09,2342.59,"Armenia"
"5","Democratic Republic of Timor-Leste",2605.04,3439.09,2012.54,"Timor-Leste"
"6","Lao People's Democratic Republic",2899.21,3772.53,2166.98,"Laos"
"7","Georgia",3855.73,5017.89,2864.46,"Georgia"
"8","Republic of Maldives",2734.4,3519.97,2084.94,"Maldives"
"9","Solomon Islands",2720.19,3613.46,2031.77,"Solomon Islands"
"10","Democratic People's Republic of Korea",1457.21,1882.72,1116.78,"North Korea"
"11","Bosnia and Herzegovina",2005.64,2628.34,1523.47,"Bosnia and Herzegovina"
"12","Kyrgyz Republic",3476.67,4405.61,2644.16,"Kyrgyzstan"
"13","Republic of Vanuatu",2726.97,3541.3,2074.12,"Vanuatu"
"14","Republic of Kiribati",2793.58,3640.31,2124.97,"Kiribati"
"15","Republic of the Philippines",3037.28,3589.78,2593.42,"Philippines"
"16","Republic of Croatia",2454.39,3141.84,1879.01,"Croatia"
"17","Republic of Tajikistan",2363.33,3054.72,1806.11,"Tajikistan"
"18","Kingdom of Thailand",2552.4,3324.49,1919.72,"Thailand"
"19","Federated States of Micronesia",2611.76,3398.15,1935.94,"Micronesia"
"20","Republic of Uzbekistan",2948.96,3834.94,2228.09,"Uzbekistan"
"21","Socialist Republic of Viet Nam",1596.57,2059.9,1206.09,"Vietnam"
"22","Republic of Albania",1520.66,1950.98,1143.72,"Albania"
"23","Republic of Indonesia",1986.27,2355.69,1674.16,"Indonesia"
"24","Republic of Azerbaijan",2359.72,3061.89,1830.79,"Azerbaijan"
"25","People's Republic of China",1765.37,2048.61,1549.4,"China"
"26","Malaysia",3427.8,4473.9,2606.48,"Malaysia"
"27","Independent State of Samoa",2418.29,3159.1,1807.64,"Samoa"
"28","Republic of Fiji",2678.1,3577.2,2037.76,"Fiji"
"29","Republic of Bulgaria",2209.15,2810.88,1687.77,"Bulgaria"
"30","Kingdom of Tonga",2021.67,2667.39,1527.38,"Tonga"
"31","North Macedonia",1938.13,2487.36,1496.79,"North Macedonia"
"32","Republic of Kazakhstan",3351.58,4346.92,2537.05,"Kazakhstan"
"33","Republic of the Union of Myanmar",2059.88,2743.3,1560.72,"Myanmar"
"34","Republic of the Marshall Islands",2592.99,3475.68,1987.73,"Marshall Islands"
"35","Taiwan (Province of China)",1354.78,1729.14,1041.8,"Taiwan"
"36","Mongolia",3931.65,5118.42,3037.16,"Mongolia"
"37","Republic of Poland",2234.63,2653.33,1871.19,"Poland"
"38","Turkmenistan",2755.77,3492.59,2075.2,"Turkmenistan"
"39","Republic of Estonia",4083.18,5371.94,3125.01,"Estonia"
"40","Japan",2394.11,2784.75,2091.13,"Japan"
"41","Republic of Lithuania",5264.82,7005.7,4121.86,"Lithuania"
"42","Federal Republic of Germany",3598.81,4662.75,2703.78,"Germany"
"43","Principality of Andorra",3704.87,4858.82,2716.76,"Andorra"
"44","Republic of Serbia",2072.31,2722.96,1541.27,"Serbia"
"45","Republic of Iceland",2347.83,3028.41,1770.45,"Iceland"
"46","Kingdom of Belgium",3659.48,4748.51,2806.01,"Belgium"
"47","Republic of Singapore",2075.95,2648.27,1591.94,"Singapore"
"48","State of Israel",4140.68,5380.64,3175.01,"Israel"
"49","Russian Federation",3845.43,4501.29,3262.65,"Russia"
"50","French Republic",3813.1,4877.3,2908.1,"France"
"51","Kingdom of Denmark",3097.33,3983.26,2381.25,"Denmark"
"52","Grand Duchy of Luxembourg",2995.45,3883.8,2305.29,"Luxembourg"
"53","Republic of Austria",2455.46,3294.16,1849.17,"Austria"
"54","Ireland",4700.94,6218.39,3574.51,"Ireland"
"55","Hellenic Republic",5518.67,7230.45,4196.71,"Greece"
"56","Republic of Malta",2565.71,3287.51,1984.37,"Malta"
"57","Kingdom of the Netherlands",3660.15,4788.02,2796.68,"Netherlands"
"58","Republic of Cyprus",2497.95,3272.57,1870.46,"Cyprus"
"59","Republic of Guyana",5825.47,7640.69,4392.5,"Guyana"
"60","Republic of Finland",4526.45,5850.15,3454.61,"Finland"
"61","Republic of Italy",3479.81,4125.29,2959.44,"Italy"
"62","Commonwealth of Dominica",2863.64,3732.45,2188.72,"Dominica"
"63","Saint Vincent and the Grenadines",3725.73,4803.12,2774.09,"Saint Vincent"
"64","Jamaica",2635.82,3479.17,2032.99,"Jamaica"
"65","Grenada",3247.79,4271.54,2364.61,"Grenada"
"66","Plurinational State of Bolivia",3522.58,4647.09,2626.3,"Bolivia"
"67","Republic of Ecuador",3562.25,4656.07,2770.78,"Ecuador"
"68","Republic of Trinidad and Tobago",4680.62,6198.44,3559.45,"Trinidad"
"69","Saint Lucia",3605.5,4758.8,2701.01,"Saint Lucia"
"70","Republic of Suriname",5621.44,7364.02,4274.63,"Suriname"
"71","Republic of Peru",1969.38,2519.01,1499.25,"Peru"
"72","Dominican Republic",3546.86,4633.77,2618.75,"Dominican Republic"
"73","Republic of Haiti",3264.95,4246.16,2487.8,"Haiti"
"74","United Mexican States",3479.18,3990.3,3021.19,"Mexico"
"75","Hungary",2285.1,2892.35,1717.43,"Hungary"
"76","Republic of Slovenia",2233.58,2876.29,1730.13,"Slovenia"
"77","Romania",2190.76,2845.77,1671.34,"Romania"
"78","Australia",4685.95,6140.57,3606.31,"Australia"
"79","Republic of Belarus",4855.36,6256.78,3688.12,"Belarus"
"80","Montenegro",2142.03,2818.5,1613.35,"Montenegro"
"81","Czech Republic",2276.86,2878.09,1766.77,"Czech Republic"
"82","Slovak Republic",1980.8,2541.73,1523.94,"Slovakia"
"83","Ukraine",4666.01,5990.99,3588.74,"Ukraine"
"84","Republic of Moldova",3477.78,4502.17,2611.88,"Moldova"
"85","Brunei Darussalam",1332.99,1694.03,1012.36,"Brunei"
"86","Republic of Latvia",4727.11,6098.41,3458.15,"Latvia"
"87","Republic of Korea",2010.94,2534.52,1537.87,"South Korea"
"88","Swiss Confederation",3759.84,4953.33,2856.42,"Switzerland"
"89","Kingdom of Spain",3986.23,5075.77,2991.44,"Spain"
"90","Canada",3265.74,4369.01,2445.23,"Canada"
"91","Argentine Republic",2699.25,3358.79,2054.73,"Argentina"
"92","New Zealand",3315.96,4305.91,2588.7,"New Zealand"
"93","Portuguese Republic",4257.33,5576.29,3189.34,"Portugal"
"94","Republic of Honduras",3242.3,4246.01,2442.74,"Honduras"
"95","Kingdom of Norway",3801.17,4558.08,3153.37,"Norway"
"96","Eastern Republic of Uruguay",3059.25,4031.08,2288.02,"Uruguay"
"97","Commonwealth of the Bahamas",2560.69,3332.48,1919.89,"Bahamas"
"98","Republic of Guatemala",3614.84,4749.2,2757.97,"Guatemala"
"99","Republic of Costa Rica",3582.78,4640.16,2729.47,"Costa Rica"
"100","United States of America",4708.04,5473.29,4113.08,"USA"
"101","Republic of Chile",3618.09,4728.31,2746.31,"Chile"
"102","Republic of Colombia",2629.01,3410.01,2007.96,"Colombia"
"103","Republic of Cuba",4042.06,5353.51,3117.23,"Cuba"
"104","Kingdom of Sweden",3530.84,4398.12,2820.5,"Sweden"
"105","Republic of Nicaragua",3376.22,4360.87,2530.51,"Nicaragua"
"106","Belize",3286.61,4293.89,2509.92,"Belize"
"107","Bolivarian Republic of Venezuela",3324.03,4273,2481.6,"Venezuela"
"108","Federative Republic of Brazil",3342.39,3914.97,2898.44,"Brazil"
"109","Republic of El Salvador",3460.14,4592.3,2664.81,"El Salvador"
"110","Republic of Panama",3110.44,4108.29,2366.92,"Panama"
"111","Barbados",2993.26,3916.77,2242.69,"Barbados"
