"","location_name","val","upper","lower","location"
"1","Republic of Mauritius",183.94,233.37,144.67,"Mauritius"
"2","Republic of Chile",75.45,88.48,63.12,"Chile"
"3","Kingdom of Bhutan",455.04,577.63,348.03,"Bhutan"
"4","State of Libya",743.98,904.13,598.77,"Libya"
"5","Islamic Republic of Afghanistan",779.6,910.58,674.12,"Afghanistan"
"6","Lebanese Republic",730.12,892.39,582.92,"Lebanon"
"7","Republic of Honduras",308.5,373.47,250.5,"Honduras"
"8","Republic of Nicaragua",255.18,314.06,204.85,"Nicaragua"
"9","Islamic Republic of Pakistan",524.47,642.81,418.89,"Pakistan"
"10","Kingdom of Sweden",136,173.49,106.93,"Sweden"
"11","State of Kuwait",855.67,1084.49,660.76,"Kuwait"
"12","Saint Vincent and the Grenadines",331.35,416.83,257.59,"Saint Vincent"
"13","Grand Duchy of Luxembourg",63.13,80.95,49.3,"Luxembourg"
"14","Republic of Iraq",778.03,908.84,667.58,"Iraq"
"15","Republic of Paraguay",122.62,153.59,96.06,"Paraguay"
"16","Republic of Liberia",365.12,453.41,284.97,"Liberia"
"17","Republic of Guatemala",243.07,291.05,198.02,"Guatemala"
"18","Union of the Comoros",300.08,379.08,233.71,"Comoros"
"19","Democratic Republic of the Congo",305.72,370.33,258.04,"Democratic Republic of the Congo"
"20","Republic of Rwanda",268.43,336.06,211.83,"Rwanda"
"21","Federal Republic of Somalia",305.13,379.02,242.02,"Somalia"
"22","Republic of Madagascar",301.1,366.94,243,"Madagascar"
"23","Republic of Guyana",356.45,443.75,283.52,"Guyana"
"24","Republic of Italy",87.94,103.67,72.91,"Italy"
"25","Plurinational State of Bolivia",207,251.45,165.91,"Bolivia"
"26","Bolivarian Republic of Venezuela",254.7,302.32,212.47,"Venezuela"
"27","Commonwealth of Dominica",341.32,426.77,265.3,"Dominica"
"28","Republic of Costa Rica",269.81,337.84,213.13,"Costa Rica"
"29","Dominican Republic",336.09,398.91,279.87,"Dominican Republic"
"30","Central African Republic",349.93,442.94,275.7,"Central African Republic"
"31","Syrian Arab Republic",924.59,1083.4,809.94,"Syria"
"32","Republic of Mali",313.73,388.93,250.82,"Mali"
"33","Kingdom of Lesotho",304.32,381.59,235.9,"Lesotho"
"34","Commonwealth of the Bahamas",360.22,451.29,283.58,"Bahamas"
"35","Kingdom of Bahrain",800.22,1002.55,629.75,"Bahrain"
"36","Republic of Tunisia",660.64,801.6,539.84,"Tunisia"
"37","Republic of Cameroon",314.17,382.97,252.52,"Cameroon"
"38","Republic of Suriname",361.15,453.18,283.67,"Suriname"
"39","Republic of Uganda",265.54,321.4,214.83,"Uganda"
"40","Republic of Seychelles",181.44,233.53,141.37,"Seychelles"
"41","Republic of South Africa",342.42,429.82,268.91,"South Africa"
"42","Democratic Republic of Sao Tome and Principe",357.97,463.65,278.69,"Sao Tome and Principe"
"43","United Republic of Tanzania",280.93,346.48,222.9,"Tanzania"
"44","Republic of Ghana",349.3,413.96,289.67,"Ghana"
"45","Jamaica",328.06,408.67,257.17,"Jamaica"
"46","Republic of India",466.36,569.12,370.28,"India"
"47","Puerto Rico",315.4,391.95,250.27,"Puerto Rico"
"48","Republic of Equatorial Guinea",349.47,447.31,272.56,"Equatorial Guinea"
"49","Islamic Republic of Iran",741.68,913.37,587,"Iran"
"50","Ireland",92.54,114.13,74.5,"Ireland"
"51","Islamic Republic of Mauritania",369.87,461.93,288.69,"Mauritania"
"52","Hashemite Kingdom of Jordan",731.42,919.72,580.79,"Jordan"
"53","Kingdom of Saudi Arabia",723.53,855.52,593.62,"Saudi Arabia"
"54","Federative Republic of Brazil",114.3,138.5,92.34,"Brazil"
"55","Palestine",753.03,933.7,603.98,"Palestine"
"56","Republic of Colombia",216.23,256.13,177.19,"Colombia"
"57","State of Eritrea",280.92,354.35,218.03,"Eritrea"
"58","United Kingdom of Great Britain and Northern Ireland",80,97.74,64.87,"UK"
"59","State of Israel",83.29,103.24,66.28,"Israel"
"60","State of Qatar",791.76,1007.67,618.63,"Qatar"
"61","Republic of Guinea-Bissau",372.41,467.41,297.98,"Guinea-Bissau"
"62","Republic of Côte d'Ivoire",355.89,437.47,287.68,"Ivory Coast"
"63","Republic of Zimbabwe",364.26,436.31,295.64,"Zimbabwe"
"64","Republic of Guinea",340.2,413.54,276.23,"Guinea"
"65","Republic of San Marino",81.11,103.6,62.7,"San Marino"
"66","People's Republic of Bangladesh",366.82,436.19,312.36,"Bangladesh"
"67","Guam",330.42,422.93,257.05,"Guam"
"68","Principality of Monaco",81.73,104.99,63.64,"Monaco"
"69","Togolese Republic",353.13,434.63,279.3,"Togo"
"70","United Arab Emirates",840.38,1050.75,649.27,"United Arab Emirates"
"71","Portuguese Republic",38.9,45.61,33.05,"Portugal"
"72","Republic of Peru",182.68,225.56,145.51,"Peru"
"73","Republic of the Niger",329.06,403.12,265.56,"Niger"
"74","Republic of Zambia",273.19,348.4,215.92,"Zambia"
"75","Republic of Cuba",294.11,353.77,244.16,"Cuba"
"76","Republic of Yemen",749.33,884.85,644.95,"Yemen"
"77","Republic of the Gambia",381.19,477.76,300.09,"Gambia"
"78","Gabonese Republic",331.37,418.03,258.25,"Gabon"
"79","Cook Islands",330.27,425.8,258.38,"Cook Islands"
"80","Republic of Djibouti",316.68,400.33,243.2,"Djibouti"
"81","Republic of Kenya",316.6,404.21,246.76,"Kenya"
"82","Republic of Sudan",777.82,916.11,675.43,"Sudan"
"83","Republic of the Congo",359.57,446.44,281.3,"Republic of Congo"
"84","Kingdom of Norway",95.37,121.69,74.91,"Norway"
"85","Federal Democratic Republic of Ethiopia",261.66,326.58,205.36,"Ethiopia"
"86","Federal Democratic Republic of Nepal",393.26,478.56,322.29,"Nepal"
"87","Republic of Benin",333.79,418.05,265.53,"Benin"
"88","Tuvalu",336.23,429.65,264.95,"Tuvalu"
"89","United States Virgin Islands",342.66,434.92,270,"Virgin Islands"
"90","Republic of Botswana",336.88,422.45,262.66,"Botswana"
"91","Republic of Namibia",307.32,390.08,240.28,"Namibia"
"92","Federal Republic of Nigeria",372.97,464.85,293.84,"Nigeria"
"93","Northern Mariana Islands",337.52,428.32,262.65,"Northern Mariana Islands"
"94","Tokelau",325.15,423.58,253.58,"Tokelau"
"95","American Samoa",347.93,449.8,271.92,"American Samoa"
"96","Republic of Nauru",365.81,464.98,287.43,"Nauru"
"97","Republic of Palau",333.62,428.7,261.55,"Palau"
"98","Republic of Chad",345.18,429.31,274.08,"Chad"
"99","Republic of Malawi",302.17,368.65,239.85,"Malawi"
"100","Republic of Senegal",363.79,439.66,296.19,"Senegal"
"101","Burkina Faso",305.68,377.47,246.08,"Burkina Faso"
"102","Republic of Sierra Leone",363.65,445.29,292.22,"Sierra Leone"
"103","Republic of Niue",338.91,437.26,266.47,"Niue"
"104","Argentine Republic",152.45,180.38,129.16,"Argentina"
"105","Greenland",149.95,191.93,116.7,"Greenland"
"106","Kingdom of Spain",77.81,91.18,65.71,"Spain"
"107","Kingdom of Eswatini",328.62,415.96,255.09,"Swaziland"
"108","Bermuda",334.17,424.91,258.2,"Bermuda"
"109","Republic of Cabo Verde",359.58,456.55,282.44,"Cape Verde"
"110","Republic of Mozambique",295.54,370.32,230.69,"Mozambique"
"111","Republic of Panama",245.65,311.39,189.53,"Panama"
"112","United Mexican States",282.04,349.31,223.36,"Mexico"
"113","Saint Kitts and Nevis",345.61,437.35,269.34,"Saint Kitts"
"114","Republic of South Sudan",292,368.69,226.09,"South Sudan"
