"","location_name","val","upper","lower","location"
"1","Republic of Mauritius",269.26,336.9,211.96,"Mauritius"
"2","Republic of Chile",144.87,181.93,133.43,"Chile"
"3","Kingdom of Bhutan",713.82,903.35,550.58,"Bhutan"
"4","State of Libya",1097.68,1343.59,882.19,"Libya"
"5","Islamic Republic of Afghanistan",1189.36,1404.1,1012.79,"Afghanistan"
"6","Lebanese Republic",1170.5,1423.18,954.78,"Lebanon"
"7","Republic of Honduras",431.64,512.48,361.75,"Honduras"
"8","Republic of Nicaragua",373.12,456.48,302.94,"Nicaragua"
"9","Islamic Republic of Pakistan",810.3,992.04,659.09,"Pakistan"
"10","Kingdom of Sweden",322.42,406.94,251.41,"Sweden"
"11","State of Kuwait",1210.83,1517.23,963.69,"Kuwait"
"12","Saint Vincent and the Grenadines",409.78,513.01,327.49,"Saint Vincent"
"13","Grand Duchy of Luxembourg",174.1,216.95,136.8,"Luxembourg"
"14","Republic of Iraq",1318.63,1544.83,1140,"Iraq"
"15","Republic of Paraguay",237.84,293.48,190.4,"Paraguay"
"16","Republic of Liberia",428.03,533.01,332.35,"Liberia"
"17","Republic of Guatemala",340.6,414.41,281.96,"Guatemala"
"18","Union of the Comoros",376.97,479.48,293.16,"Comoros"
"19","Democratic Republic of the Congo",370.79,438.84,313.37,"Democratic Republic of the Congo"
"20","Republic of Rwanda",329.72,412.8,259.3,"Rwanda"
"21","Federal Republic of Somalia",384.29,470.5,303.28,"Somalia"
"22","Republic of Madagascar",396.31,469.9,325.59,"Madagascar"
"23","Republic of Guyana",441.07,546.56,352.56,"Guyana"
"24","Republic of Italy",254.52,299.84,212.52,"Italy"
"25","Plurinational State of Bolivia",300.47,361.37,245.98,"Bolivia"
"26","Bolivarian Republic of Venezuela",403.55,466.36,349.4,"Venezuela"
"27","Commonwealth of Dominica",421.07,533.29,328.41,"Dominica"
"28","Republic of Costa Rica",390.44,478.7,307.27,"Costa Rica"
"29","Dominican Republic",431.1,504.15,364.62,"Dominican Republic"
"30","Central African Republic",432.72,545.2,341.3,"Central African Republic"
"31","Syrian Arab Republic",1344.04,1570.37,1162.61,"Syria"
"32","Republic of Mali",388.11,483.17,313.99,"Mali"
"33","Kingdom of Lesotho",391.83,496.64,303.68,"Lesotho"
"34","Commonwealth of the Bahamas",446.84,561.24,358.58,"Bahamas"
"35","Kingdom of Bahrain",1179.08,1502.25,914.19,"Bahrain"
"36","Republic of Tunisia",1051.28,1253.77,886.14,"Tunisia"
"37","Republic of Cameroon",368.93,445.23,304.9,"Cameroon"
"38","Republic of Suriname",448.5,563.78,355.02,"Suriname"
"39","Republic of Uganda",326.54,404.54,260.47,"Uganda"
"40","Republic of Seychelles",264.9,341,208.32,"Seychelles"
"41","Republic of South Africa",433.17,531.94,342.39,"South Africa"
"42","Democratic Republic of Sao Tome and Principe",424.03,537.58,330.48,"Sao Tome and Principe"
"43","United Republic of Tanzania",368.86,442.57,306.64,"Tanzania"
"44","Republic of Ghana",437.74,520.39,365.92,"Ghana"
"45","Jamaica",409.88,513.76,325.19,"Jamaica"
"46","Republic of India",710.97,865.45,576.22,"India"
"47","Puerto Rico",392.06,481.89,316.66,"Puerto Rico"
"48","Republic of Equatorial Guinea",424.56,537.23,331.4,"Equatorial Guinea"
"49","Islamic Republic of Iran",1034.18,1272.79,816.24,"Iran"
"50","Ireland",253.85,314.3,201.15,"Ireland"
"51","Islamic Republic of Mauritania",428.02,537.84,337.83,"Mauritania"
"52","Hashemite Kingdom of Jordan",1074.16,1345.61,861.81,"Jordan"
