"location_name","mark1","mark2","(1,1)","(2,2)","(3,3)","(4,4)","(2,1)","(3,1)","(4,1)","(3,2)","(4,2)","(4,3)","(1,2)","(1,3)","(1,4)","(2,3)","(2,4)","(3,4)"
"Kingdom of Cambodia",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of Armenia",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Republic of Estonia",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Republic of Lithuania",4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Democratic Socialist Republic of Sri Lanka",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgia",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Federal Republic of Germany",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"State of Israel",4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Independent State of Papua New Guinea",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bosnia and Herzegovina",2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Principality of Andorra",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"French Republic",4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Democratic Republic of Timor-Leste",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyrgyz Republic",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Kingdom of Belgium",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ireland",4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lao People's Democratic Republic",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of Croatia",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kingdom of Denmark",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hellenic Republic",4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Republic of Maldives",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
