"year","TrendType","N"
1992,"Consistent",51
1992,"DD dominant",71
1992,"IHD dominant",82
1993,"Consistent",51
1993,"DD dominant",71
1993,"IHD dominant",82
1994,"Consistent",51
1994,"DD dominant",71
1994,"IHD dominant",82
1995,"Consistent",51
1995,"DD dominant",71
1995,"IHD dominant",82
1996,"Consistent",50
1996,"DD dominant",72
1996,"IHD dominant",82
1997,"Consistent",50
1997,"DD dominant",73
1997,"IHD dominant",81
1998,"Consistent",47
1998,"DD dominant",75
1998,"IHD dominant",82
1999,"Consistent",50
1999,"DD dominant",73
1999,"IHD dominant",81
2000,"Consistent",51
2000,"DD dominant",73
2000,"IHD dominant",80
2001,"Consistent",50
2001,"DD dominant",73
2001,"IHD dominant",81
2002,"Consistent",50
2002,"DD dominant",73
2002,"IHD dominant",81
2003,"Consistent",50
2003,"DD dominant",74
2003,"IHD dominant",80
2004,"Consistent",51
2004,"DD dominant",73
2004,"IHD dominant",80
2005,"Consistent",52
2005,"DD dominant",72
2005,"IHD dominant",80
2006,"Consistent",50
2006,"DD dominant",73
2006,"IHD dominant",81
2007,"Consistent",52
2007,"DD dominant",72
2007,"IHD dominant",80
2008,"Consistent",53
2008,"DD dominant",71
2008,"IHD dominant",80
2009,"Consistent",54
2009,"DD dominant",70
2009,"IHD dominant",80
2010,"Consistent",52
2010,"DD dominant",72
2010,"IHD dominant",80
2011,"Consistent",52
2011,"DD dominant",72
2011,"IHD dominant",80
2012,"Consistent",52
2012,"DD dominant",72
2012,"IHD dominant",80
2013,"Consistent",53
2013,"DD dominant",72
2013,"IHD dominant",79
2014,"Consistent",53
2014,"DD dominant",72
2014,"IHD dominant",79
2015,"Consistent",53
2015,"DD dominant",72
2015,"IHD dominant",79
2016,"Consistent",53
2016,"DD dominant",72
2016,"IHD dominant",79
2017,"Consistent",53
2017,"DD dominant",73
2017,"IHD dominant",78
2018,"Consistent",53
2018,"DD dominant",73
2018,"IHD dominant",78
2019,"Consistent",52
2019,"DD dominant",74
2019,"IHD dominant",78
2020,"Consistent",51
2020,"DD dominant",74
2020,"IHD dominant",79
2021,"Consistent",54
2021,"DD dominant",70
2021,"IHD dominant",80
