"year","TrendType","N"
1992,"Consistent",66
1992,"DD dominant",65
1992,"IHD dominant",73
1993,"Consistent",68
1993,"DD dominant",63
1993,"IHD dominant",73
1994,"Consistent",67
1994,"DD dominant",63
1994,"IHD dominant",74
1995,"Consistent",68
1995,"DD dominant",63
1995,"IHD dominant",73
1996,"Consistent",73
1996,"DD dominant",62
1996,"IHD dominant",69
1997,"Consistent",74
1997,"DD dominant",62
1997,"IHD dominant",68
1998,"Consistent",71
1998,"DD dominant",65
1998,"IHD dominant",68
1999,"Consistent",67
1999,"DD dominant",67
1999,"IHD dominant",70
2000,"Consistent",67
2000,"DD dominant",67
2000,"IHD dominant",70
2001,"Consistent",67
2001,"DD dominant",66
2001,"IHD dominant",71
2002,"Consistent",67
2002,"DD dominant",66
2002,"IHD dominant",71
2003,"Consistent",64
2003,"DD dominant",68
2003,"IHD dominant",72
2004,"Consistent",66
2004,"DD dominant",68
2004,"IHD dominant",70
2005,"Consistent",66
2005,"DD dominant",69
2005,"IHD dominant",69
2006,"Consistent",62
2006,"DD dominant",70
2006,"IHD dominant",72
2007,"Consistent",58
2007,"DD dominant",71
2007,"IHD dominant",75
2008,"Consistent",54
2008,"DD dominant",72
2008,"IHD dominant",78
2009,"Consistent",52
2009,"DD dominant",73
2009,"IHD dominant",79
2010,"Consistent",56
2010,"DD dominant",71
2010,"IHD dominant",77
2011,"Consistent",56
2011,"DD dominant",72
2011,"IHD dominant",76
2012,"Consistent",55
2012,"DD dominant",73
2012,"IHD dominant",76
2013,"Consistent",54
2013,"DD dominant",72
2013,"IHD dominant",78
2014,"Consistent",57
2014,"DD dominant",72
2014,"IHD dominant",75
2015,"Consistent",56
2015,"DD dominant",73
2015,"IHD dominant",75
2016,"Consistent",56
2016,"DD dominant",73
2016,"IHD dominant",75
2017,"Consistent",56
2017,"DD dominant",73
2017,"IHD dominant",75
2018,"Consistent",54
2018,"DD dominant",74
2018,"IHD dominant",76
2019,"Consistent",53
2019,"DD dominant",75
2019,"IHD dominant",76
2020,"Consistent",57
2020,"DD dominant",71
2020,"IHD dominant",76
2021,"Consistent",59
2021,"DD dominant",70
2021,"IHD dominant",75
