"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"finn-b-G6_MUSDYST","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Muscular dystrophy || id:finn-b-G6_MUSDYST","Inverse variance weighted","28",-0.0043247693159726,0.00203536393869277,0.0336021556951031
"ukb-b-20172","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Sources of admission to hospital (recoded): Usual Place of residence || id:ukb-b-20172","Inverse variance weighted","92",0.629828537001509,0.261814988333712,0.0161448520120438
"ukb-b-20188","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Arm fat percentage (left) || id:ukb-b-20188","Inverse variance weighted","590",0.130647171083812,0.0484659889585965,0.00702521881602941
"ukb-b-20214","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Attendance/disability/mobility allowance: Disability living allowance || id:ukb-b-20214","Inverse variance weighted","57",4.41799978483651,0.768503190052423,8.98592480347276e-09
"ukb-b-20261","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Ever smoked || id:ukb-b-20261","Inverse variance weighted","206",0.724371189816382,0.154454348804932,2.73375452082955e-06
"ukb-b-20292","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Taking other prescription medications || id:ukb-b-20292","Inverse variance weighted","85",0.895607421141811,0.239630753445601,0.000185897702699981
"ukb-b-20379","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above || id:ukb-b-20379","Inverse variance weighted","128",-0.376053491337476,0.139568107981495,0.00705136921314951
"ukb-b-20486","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","6mm asymmetry index (right) || id:ukb-b-20486","Inverse variance weighted","57",0.0866741232321267,0.0438307274574388,0.0479880784457741
"ukb-b-20498","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Number of incorrect matches in round || id:ukb-b-20498","Inverse variance weighted","147",0.230720346402909,0.0974308648662873,0.0178825224535892
"ukb-b-2053","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Health satisfaction || id:ukb-b-2053","Inverse variance weighted","47",0.284681697174625,0.125903156380306,0.0237520473985973
"ukb-b-20531","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Leg fat percentage (right) || id:ukb-b-20531","Inverse variance weighted","563",0.229510390054415,0.0626565106023931,0.00024928488258774
"ukb-b-20544","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Nervous feelings || id:ukb-b-20544","Inverse variance weighted","158",0.835100155152048,0.237644175013853,0.000441283299348092
"finn-b-G6_NERPLEX","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Nerve, nerve root and plexus disorders || id:finn-b-G6_NERPLEX","Inverse variance weighted","33",0.169500989014741,0.0372615698875826,5.39144516046912e-06
"ukb-b-2083","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Diagnoses - main ICD10: M25.56 Pain in joint (Lower leg) || id:ukb-b-2083","Inverse variance weighted","2",-30.918364413032,13.8381493433021,0.0254643508639271
"ukb-b-2134","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Past tobacco smoking || id:ukb-b-2134","Inverse variance weighted","237",-0.198280458199345,0.0552855449898855,0.000335172761764775
"ukb-b-2219","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","PCT where patients GP was registered: CROYDON PCT || id:ukb-b-2219","Inverse variance weighted","8",-9.63879248147598,4.53672744388826,0.0336188744702732
"ukb-b-223","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Current tobacco smoking || id:ukb-b-223","Inverse variance weighted","138",0.664629226348208,0.181158149817534,0.000243711579365881
"finn-b-G6_NEURO","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Neurological diseases || id:finn-b-G6_NEURO","Inverse variance weighted","33",0.266678873546396,0.0653569418343187,4.49688993107174e-05
"ukb-b-2303","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Body mass index (BMI) || id:ukb-b-2303","Inverse variance weighted","638",0.113927878623504,0.0361653344771929,0.00163161168152999
"ukb-b-2393","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Never eat eggs, dairy, wheat, sugar: I eat all of the above || id:ukb-b-2393","Inverse variance weighted","102",-0.976081331519559,0.283464250715822,0.000574445015135158
"ukb-b-2415","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Treatment/medication code: adcal 600mg chewable tablet || id:ukb-b-2415","Inverse variance weighted","8",17.439593072838,7.00070785219406,0.0127341628705248
"ukb-b-2525","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operative procedures - secondary OPCS: Z47.2 Skin of temple || id:ukb-b-2525","Inverse variance weighted","2",-36.1657543406729,11.4192680736473,0.0015397708071129
"ukb-b-2535","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Falls in the last year || id:ukb-b-2535","Inverse variance weighted","57",0.902875652956984,0.295383954046047,0.00223850004782579
"ukb-b-2772","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Getting up in morning || id:ukb-b-2772","Inverse variance weighted","223",-0.351093629082616,0.095537666883347,0.000237920576052798
"ukb-b-2862","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Beef intake || id:ukb-b-2862","Inverse variance weighted","96",-0.411066244029362,0.152954171872135,0.00719864146532199
"ukb-b-288","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Treatment/medication code: folic acid product || id:ukb-b-288","Inverse variance weighted","7",7.1961327701556,3.01325030229187,0.0169328315595469
"ukb-b-3132","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operation code: eye surgery || id:ukb-b-3132","Inverse variance weighted","5",-10.4210572820531,4.81607412260164,0.0304791267011684
