"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"ukb-b-20175","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Systolic blood pressure, automated reading || id:ukb-b-20175","Inverse variance weighted","228",0.646389376342198,0.0771754232794465,5.49498704753913e-17
"ukb-b-20188","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Arm fat percentage (left) || id:ukb-b-20188","Inverse variance weighted","359",0.286468168885743,0.0676152532022006,2.2678966981768e-05
"ukb-b-20261","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Ever smoked || id:ukb-b-20261","Inverse variance weighted","76",0.472691559285579,0.23210404635077,0.0416951301715509
"ukb-b-20292","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Taking other prescription medications || id:ukb-b-20292","Inverse variance weighted","24",1.749260217626,0.502395459540441,0.00049798258531008
"ukb-b-20300","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Treatment speciality of consultant (recoded): Cardiology || id:ukb-b-20300","Inverse variance weighted","8",20.0001956272228,3.69741278269221,6.32925247651721e-08
"ukb-b-20379","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above || id:ukb-b-20379","Inverse variance weighted","42",-2.9012038729454,0.475652318248891,1.06453167479519e-09
"finn-b-G6_MYOTDIS","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Mytonic disorders || id:finn-b-G6_MYOTDIS","Inverse variance weighted","8",-0.00373341231526954,0.00152525211061747,0.0143757516631957
"ukb-b-20498","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Number of incorrect matches in round || id:ukb-b-20498","Inverse variance weighted","31",0.315698664220287,0.159735124973021,0.048110792898877
"ukb-b-20531","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Leg fat percentage (right) || id:ukb-b-20531","Inverse variance weighted","352",0.395371072926318,0.0800877416503377,7.94457947805783e-07
"ukb-b-2134","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Past tobacco smoking || id:ukb-b-2134","Inverse variance weighted","93",-0.183466643447128,0.0751128515381058,0.0145840448690355
"ukb-b-2205","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Diagnoses - secondary ICD10: Z82.4 Family history of ischaemic heart disease and other diseases of the circulatory system || id:ukb-b-2205","Inverse variance weighted","3",51.4176211293962,5.69674442779087,1.78402793275484e-19
"ukb-b-2303","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Body mass index (BMI) || id:ukb-b-2303","Inverse variance weighted","403",0.235908645973006,0.0410082541181355,8.78234041106194e-09
"ukb-b-2393","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Never eat eggs, dairy, wheat, sugar: I eat all of the above || id:ukb-b-2393","Inverse variance weighted","24",-1.17124152592658,0.505162896599222,0.0204198687882035
"ukb-b-2399","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Destinations on discharge from hospital (recoded): Transfer to other NHS provider: General ward, young physically disabled, A&E || id:ukb-b-2399","Inverse variance weighted","2",72.6320021987402,19.3340651702282,0.000172178658572053
"finn-b-G6_NEURODEG","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Other degenerative diseases of the nervous system (G6_NEURODEG) || id:finn-b-G6_NEURODEG","Inverse variance weighted","4",0.0578720230796971,0.0125757587270437,4.18711928749506e-06
"ukb-b-2528","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operation code: spinal laminectomy || id:ukb-b-2528","Inverse variance weighted","6",12.6924170701075,4.94365271998252,0.0102459372604939
"ukb-b-288","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Treatment/medication code: folic acid product || id:ukb-b-288","Inverse variance weighted","2",13.3560632750089,3.58764811522536,0.000197032797961734
"ukb-b-2909","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Variation in diet || id:ukb-b-2909","Inverse variance weighted","15",1.08446471979688,0.474205416216258,0.0222011246581739
"ukb-b-298","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Frequency of stair climbing in last 4 weeks || id:ukb-b-298","Inverse variance weighted","15",-0.392146397387039,0.18463714677146,0.0336805170777296
"ukb-b-3083","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operation code: mastectomy || id:ukb-b-3083","Inverse variance weighted","10",6.41617452398182,2.50682838654999,0.0104829199747104
"ukb-b-323","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Illnesses of father: Alzheimer's disease/dementia || id:ukb-b-323","Inverse variance weighted","4",3.09472639506266,1.07546351337714,0.00400745255771805
"ukb-b-3291","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Standard tea intake || id:ukb-b-3291","Inverse variance weighted","2",0.00255166121809924,0.00106541929100799,0.0166211304280777
"ukb-b-3357","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Birth weight of first child || id:ukb-b-3357","Inverse variance weighted","63",-0.238507269698035,0.087111597478383,0.00618233205046992
"ukb-b-3656","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Number of treatments/medications taken || id:ukb-b-3656","Inverse variance weighted","38",1.77503227086154,0.410501997372852,1.53188675417341e-05
"ukb-b-3768","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Age when periods started (menarche) || id:ukb-b-3768","Inverse variance weighted","183",-0.234372700616238,0.0557543945490814,2.62629551979984e-05
"finn-b-G6_SLEEPAPNO","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Sleep apnoea || id:finn-b-G6_SLEEPAPNO","Inverse variance weighted","5",0.227414588200421,0.0619734761649628,0.000242980591588798
"ukb-b-3855","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Attendance/disability/mobility allowance: None of the above || id:ukb-b-3855","Inverse variance weighted","8",-3.64489878576554,1.85930311598623,0.0499540210673109
"finn-b-G6_SLEEPAPNO_INCLAVO","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Sleep apnoea, including avohilmo || id:finn-b-G6_SLEEPAPNO_INCLAVO","Inverse variance weighted","5",0.228672038377845,0.0622446745250879,0.000239006593188333
"ukb-b-3975","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Drinking water intake || id:ukb-b-3975","Inverse variance weighted","2",-0.272495823120764,0.102386348293902,0.00778056259382851
"ukb-b-4063","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Number of self-reported non-cancer illnesses || id:ukb-b-4063","Inverse variance weighted","34",1.15647320560509,0.303810792705293,0.000140914628216553
"ukb-b-4077","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Leisure/social activities: Other group activity || id:ukb-b-4077","Inverse variance weighted","3",-2.97281438877574,1.25595126379398,0.0179337913294504
"ukb-b-4226","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Diagnoses - secondary ICD10: E03.9 Hypothyroidism, unspecified || id:ukb-b-4226","Inverse variance weighted","34",2.55343614735053,1.22899672514291,0.0377407748225279
