id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd
bbj-a-1,Body mass index,,public,2019,Ishigaki K,NA,Males and Females,28892062,East Asian,NA,158284,HG19/GRCh37,,Continuous,NA,NA,NA,1,5961600,,,,0,
bbj-a-10,Blood sugar,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,93146,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-101,Chronic hepatitis C,5794,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,206659,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-102,Breast cancer,,public,2020,NA,NA,Females,32514122,East Asian,NA,,HG19/GRCh37,,Disease,Cancer,MONDO:0007254,NA,1,,,,,0,
bbj-a-103,Chronic obstructive pulmonary disease,3315,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,204907,HG19/GRCh37,201592,Binary,NA,NA,NA,1,8885538,,,,0,
bbj-a-105,Cirrhosis,2184,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,210269,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-107,Colorectal cancer,7062,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,202807,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885369,,,,0,
bbj-a-109,Congestive heart failure,9413,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,203040,Binary,NA,NA,NA,1,8885805,,,,0,
bbj-a-11,Blood urea nitrogen,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,139818,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,
bbj-a-111,Drug eruption,430,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,210081,HG19/GRCh37,209651,Binary,NA,NA,NA,1,8885738,,,,0,
