exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10076701,0.446756489469182,0.122174764652676,0.000255482864941468,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10096381,0.454693204421941,0.122144806702034,0.000197201300569996,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs1030688,0.447540469567061,0.1221410584608,0.000248182677414734,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10500326,0.446488267110307,0.121974718667295,0.000251725089035317,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10502087,0.454408353477129,0.12231520922434,0.000203155402807678,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10750766,0.434562070411877,0.121485178102995,0.000347455288280165,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs10931284,0.450232806007038,0.122247050023722,0.000230527945748366,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11048966,0.452048793451158,0.122314927337898,0.000219214632852567,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11079852,0.451123330178994,0.12226654494585,0.000224544218144663,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11100769,0.453725885556045,0.12226061453588,0.000206330422542078,DD
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication || id:ukb-b-18009",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-18009,finn-b-F5_DEPRESSIO,,rs11122147,0.450030973792562,0.122301768869982,0.000233529795567877,DD
