exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10050620,-1.30046979471334,1.42551496728193,0.36162097055701
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10070916,-1.13619763346264,1.64811085293482,0.490575396308303
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10079475,0.732407067270445,1.6021404596541,0.647568367631056
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10085776,-0.370033353460905,1.83334706941994,0.840045826140374
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10100245,-0.2752369331266,1.00002752369331,0.783140033354128
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10101487,-0.817978878298128,1.7846811890141,0.6467129796159
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10119967,1.64355725555821,1.42441628815045,0.248563248217182
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1013293,-2.60135466771375,1.11907332875233,0.0200954246353724
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10145749,2.7690756246952,1.49819390142091,0.0645624457701607
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10172070,3.94419023967069,1.88172957526068,0.0360781817100648
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10187101,-1.86873099150195,1.28475255665759,0.145795140951976
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10209821,-0.365103252980934,1.04188001460413,0.726018003397438
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10210468,-0.620231050833842,1.60964725097354,0.699999529956414
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs1022185,4.49842040199625,1.53381255437022,0.0033588145633495
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10245306,0.0522848478510928,1.62083028338388,0.974266251454283
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10404726,1.54692621580039,0.911432202822931,0.0896498392318494
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10423928,0.324364172502764,0.614326084285539,0.59749933594523
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10493979,0.72274507080776,1.57303338940512,0.645904258226149
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10498240,-2.1733028589759,0.954328561690525,0.022767665041899
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10499014,0.366233290606116,1.1950770535568,0.759260815924473
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10510025,-0.523087566546019,1.05461202932665,0.619894410945339
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10514963,-1.68975834432014,1.12313279173374,0.132451514391136
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10756793,-1.14763634076939,1.02972849753966,0.265063107953121
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10761737,0.371728274891683,1.54198395510624,0.809499756514064
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10777256,-2.67209533595401,1.7217109123415,0.120662223608153
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10791256,2.97819928193969,1.69113828572455,0.0782279187800716
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10795776,-2.89489022731688,1.61258985816981,0.0726249107795155
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10823242,-1.47536644836499,1.23885732305457,0.233689275300012
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10854853,4.32402361776643,1.39076783027575,0.00187663966378493
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10883026,-3.32377995382533,1.10460950561261,0.00262101343724625
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10885421,-1.88708273836139,1.32215988038059,0.153501298546933
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10894416,2.05779600694038,1.28612250433774,0.109598583399116
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10896012,2.59273198678543,1.53054823736043,0.0902673598203726
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10938397,-0.162231263911331,0.707328310653403,0.818590834079056
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10951992,-2.18606997133684,1.3433949544528,0.103679187530274
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10973850,-1.66923665260586,1.49136717322982,0.26302665269098
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10975277,-0.906305501274393,1.78081080952161,0.610802292224443
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10982884,0.984719864176571,2.1528013582343,0.64737404301346
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10989067,-2.15607636516158,1.31956586283113,0.102273849647735
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10992854,-0.509419454056132,1.0957324106113,0.641994275650089
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10997982,-1.56888089618223,1.27617923644674,0.218937685698941
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs10999460,0.699422976044763,1.01582860806501,0.491122490572394
Leg fat percentage (right) || id:ukb-b-20531,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-20531,finn-b-F5_DEPRESSIO,,rs11012732,0.175834877524245,0.791256948859102,0.824140895741885
