exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10050620,0.253321146397504,0.0484084888632331,1.66789612109024e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1005551,0.248693573625608,0.0483759964504901,2.73503385915216e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10070916,0.253740636203772,0.0483627481664968,1.54920618454752e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10100245,0.251742596493717,0.0484841424394009,2.07749155995338e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10132514,0.251530487173622,0.0484248946443254,2.05558682434224e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1013402,0.253185797475459,0.048570897549755,1.8610596089571e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10141106,0.251930735450793,0.0484304342068746,1.97251286673052e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10160769,0.249395447830505,0.0483294706883056,2.46530444567197e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10172070,0.251561345377364,0.0484216376687441,2.04471414825258e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10184537,0.253397005187261,0.0484372310313227,1.68184535085704e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10209821,0.247849979507328,0.048341339612379,2.94268427729089e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10213345,0.254623959681723,0.0482871511968117,1.34123544462345e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1023229,0.253649694735492,0.0483255708521338,1.53120022504958e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10236214,0.255567400005096,0.0482430987112673,1.17404439994534e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10248136,0.249103899149866,0.048292191802524,2.49249335384963e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10248298,0.252393210224145,0.0484500013806247,1.89499218368956e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1025065,0.253646460320386,0.0483787573574911,1.58046121087941e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1031881,0.252070666908081,0.0484209732999362,1.93146186972456e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10404726,0.252493439129832,0.048481537515561,1.90853160814776e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10405382,0.252770982185992,0.0484225771322794,1.78820816283194e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10423928,0.245967009128842,0.0484993615977052,3.9458548878269e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10457469,0.254533318087675,0.048360388408959,1.41522893781999e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10499014,0.250355213014051,0.0484246595490614,2.34101156587567e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs10505836,0.253459838372856,0.0484182351584233,1.65162480564848e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1056441,0.251441565940491,0.0484394026210702,2.0933870906541e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1057042,0.2531784247778,0.0484226877919232,1.7088316868599e-07,IHD
Leg fat mass (left) || id:ukb-b-7212,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-7212,finn-b-I9_IHD,,rs1062557,0.250321443484142,0.0484121467812015,2.33302363950551e-07,IHD
