exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10038382,-0.31166518254675,1.15761353517364,0.787752103714477
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10044730,0.44711014176663,1.25408942202835,0.721449874774551
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10073890,-0.237717908082409,1.05388272583201,0.821540613256279
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1008078,-1.21403912543153,0.638665132336018,0.0573149940819872
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs1018542,-0.727699530516432,1.31455399061033,0.57987218409371
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10189857,-1.26376811594203,0.63768115942029,0.0474995937643863
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10190064,-0.886392009987516,1.39825218476904,0.526127438458496
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10205801,-0.104463437796771,1.04463437796771,0.920344325445942
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10215082,-1.31235610130468,0.844205679201842,0.120054363079221
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10240905,-1.16538131962296,1.03684661525278,0.26102705034022
Years of schooling || id:ieu-a-1239,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ieu-a-1239,finn-b-I9_IHD,,rs10456918,-0.686868686868687,1.08417508417508,0.52638082506816
