id,trait,ncase,group_name,year,author,consortium,sex,pmid,population,unit,sample_size,build,ncontrol,category,subcategory,ontology,note,mr,nsnp,doi,coverage,study_design,priority,sd,catalog_row_original,technical_scope_status,technical_scope_reason,eqtl_pattern_outside_scope,ihd_candidate_index,ihd_saved_estimate,ihd_output_status,ihd_outcome_id,ihd_method,ihd_nsnp_or_snp_raw,ihd_instrument_count,ihd_single_instrument_snp,ihd_beta,ihd_se,ihd_p_value,ihd_p_for_bh,ihd_q_bh_m11988,ihd_output_index,ihd_output_file,dd_candidate_index,dd_saved_estimate,dd_output_status,dd_outcome_id,dd_method,dd_nsnp_or_snp_raw,dd_instrument_count,dd_single_instrument_snp,dd_beta,dd_se,dd_p_value,dd_p_for_bh,dd_q_bh_m11988,dd_output_index,dd_output_file,ihd_candidate,dd_candidate,ihd_scheduling_status,dd_scheduling_status,ihd_availability_note,dd_availability_note
bbj-a-1,Body mass index,,public,2019,Ishigaki K,NA,Males and Females,28892062,East Asian,NA,158284,HG19/GRCh37,,Continuous,NA,NA,NA,1,5961600,,,,0,,1,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-10,Blood sugar,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,93146,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,2,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-101,Chronic hepatitis C,5794,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,206659,Binary,NA,NA,NA,1,8885805,,,,0,,3,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-102,Breast cancer,,public,2020,NA,NA,Females,32514122,East Asian,NA,,HG19/GRCh37,,Disease,Cancer,MONDO:0007254,NA,1,,,,,0,,4,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-103,Chronic obstructive pulmonary disease,3315,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,204907,HG19/GRCh37,201592,Binary,NA,NA,NA,1,8885538,,,,0,,5,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-105,Cirrhosis,2184,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,210269,Binary,NA,NA,NA,1,8885805,,,,0,,6,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-107,Colorectal cancer,7062,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,202807,HG19/GRCh37,195745,Binary,NA,NA,NA,1,8885369,,,,0,,7,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-109,Congestive heart failure,9413,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,212453,HG19/GRCh37,203040,Binary,NA,NA,NA,1,8885805,,,,0,,8,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-11,Blood urea nitrogen,,public,2019,Ishigaki K,NA,Males and Females,29403010,East Asian,NA,139818,HG19/GRCh37,,Continuous,NA,NA,NA,1,6108953,,,,0,,9,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
bbj-a-111,Drug eruption,430,public,2019,Ishigaki K,NA,Males and Females,,East Asian,NA,210081,HG19/GRCh37,209651,Binary,NA,NA,NA,1,8885738,,,,0,,10,outside European-ancestry technical scope,catalogue population metadata != European,FALSE,,,not queried as IHD candidate,,,,,,,,,,,,,,,not queried as DD candidate,,,,,,,,,,,,,FALSE,FALSE,not scheduled: outside European-ancestry technical scope,not scheduled: outside European-ancestry technical scope,,
