exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10002845,1.93628762595179,1.24475633096901,0.119813814205544
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10035289,3.05827933558881,1.40171136214487,0.029122954152385
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1005680,1.03241792277514,1.41957464381582,0.467058901715174
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10069494,0.132447699714575,1.24721583897892,0.915427883680393
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10160461,-1.80832222767763,1.28226485235323,0.158463984539009
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10749903,-0.257720787641585,1.3120331007208,0.844274735076052
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10815364,-1.65963052475443,1.39455064927282,0.234013910916409
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs10863259,-3.00466138178795,1.35387904159615,0.0264664408947879
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1109435,0.692128610079909,1.36328362591497,0.611669143863938
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs1109751,-2.15284082569057,1.25038734825462,0.0851167854663606
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs11129446,1.35420157967614,1.30906152702027,0.300910532935171
Number of treatments/medications taken || id:ukb-b-3656,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-3656,finn-b-F5_DEPRESSIO,,rs111833299,-0.951106101169508,1.25405100746794,0.448195419499065
