exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10119918,0.944992737640632,0.102303446001195,2.53139377186648e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10438710,0.946017722387851,0.102884672371364,3.75226557764525e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10732635,0.962189630186215,0.102407197603215,5.68263563125971e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10745658,0.950332475842475,0.102623745625995,2.03750659814831e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10761238,0.938809395101578,0.10184783722619,3.03358080123386e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10846874,0.957313478689695,0.102517311903702,9.81092696185117e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10872271,0.937226189972724,0.10113051419256,1.90574914431526e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10961568,0.94844597547155,0.102085904088151,1.53326770279573e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10985019,0.955690408649282,0.102530772668753,1.15237487052379e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs10995676,0.947614863889882,0.102453887938319,2.2621293405543e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11150494,0.956566370541249,0.102600084348485,1.12828714736349e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs111632111,0.950010913293159,0.102622904126162,2.09668734698077e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs111657181,0.959020435305164,0.10238944084228,7.50488164887694e-21,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs112065817,0.953050056346193,0.103208163717881,2.60100099543334e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11208950,0.948219238752953,0.102457640671017,2.14744315970425e-20,DD
Frequency of tiredness / lethargy in last 2 weeks || id:ukb-b-929,Depression || id:finn-b-F5_DEPRESSIO,ukb-b-929,finn-b-F5_DEPRESSIO,,rs11251507,0.970621956363642,0.100336692594988,3.90210824114616e-22,DD
