exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10040425,0.902183416542064,2.16258671906406,0.676548278494921
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10059884,0.471300867657171,0.849886810529325,0.579205606726782
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10059921,-0.210402289176906,2.3396734556472,0.928344384774628
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10061288,-0.571764856821713,1.52005779008699,0.706807771547955
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10140862,0.714176887331454,2.64245448312638,0.786952335429884
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10217559,3.92578836135967,2.40022293596083,0.101924750224255
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10282122,-4.35625648297785,1.90395825304976,0.0221375211190143
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10283206,2.60047793632375,2.52167557461697,0.302423598900007
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10457174,1.79097075206995,2.47980565671224,0.47015786285767
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs1048070,-0.0388277136689083,2.13552425178996,0.985493807229077
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10500326,2.15795166188277,1.79395981530014,0.229015581254345
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10514139,1.33314602392782,3.01032973144992,0.657869068133222
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10738596,-2.12440041593524,2.48219417019802,0.392077515043545
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10766064,4.35135090418756,2.05158749855231,0.0339245171487671
"Non-cancer illness code, self-reported: hypertension || id:ukb-b-14057",Depression || id:finn-b-F5_DEPRESSIO,ukb-b-14057,finn-b-F5_DEPRESSIO,,rs10832586,-1.50025662284338,1.51012673220419,0.320483860449627
