exposure,outcome,id.exposure,id.outcome,samplesize,SNP,b,se,p,outcome_code
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1002655,0.0711842202894733,0.0181548756858264,8.82033774834888e-05,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10032297,0.068057533647733,0.0182611039085379,0.0001938398309342,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10045508,0.0673990509634886,0.0182309608539374,0.000218200574468918,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10111679,0.0692863504465897,0.0182292774115149,0.000144213305639638,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10119773,0.0667615655820945,0.0182192222086025,0.000247969706837197,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10172342,0.0693439176372779,0.0182462764517948,0.000144438150991035,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10174311,0.0657999724406262,0.0180337953236968,0.000263567062491222,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs1019706,0.0675769001858353,0.0182636868122154,0.000215540911204571,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10456089,0.0677233936232231,0.0182650905553403,0.000209063562783829,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10476484,0.0679048412211124,0.0182615261064738,0.000200437250237544,IHD
Neuroticism score || id:ukb-b-4630,"Ischaemic heart disease, wide definition || id:finn-b-I9_IHD",ukb-b-4630,finn-b-I9_IHD,,rs10515707,0.0671655328721709,0.0181559593818952,0.000216139000204279,IHD
