"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"1","bbj-a-73","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Rheumatoid Arthritis || id:bbj-a-73","Inverse variance weighted","85",0.00530019259488986,0.00791716332022738,0.503204630752768
"2","finn-b-AB1_CANDIDIASIS","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Candidiasis || id:finn-b-AB1_CANDIDIASIS","Inverse variance weighted","7",0.0283429010651394,0.0318282895549955,0.373200685575673
"3","finn-b-AD_U","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Alzheimer<c3><95>s disease (undefined) || id:finn-b-AD_U","Inverse variance weighted","6",0.00225638966341567,0.00580236325011663,0.697369170595255
"4","finn-b-G6_MUSCOTHUNS","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Other and unspecified primary disorders of muscles || id:finn-b-G6_MUSCOTHUNS","Inverse variance weighted","16",0.00404742500534651,0.00364386333082671,0.266675523499954
"5","ukb-b-20100","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Sources of admission to hospital (recoded): Transfer within NHS provider: Medical specialty || id:ukb-b-20100","Inverse variance weighted","15",-6.82675276003295,4.65950207266887,0.142886829579545
"6","ukb-b-20118","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operative procedures - main OPCS: M65.1 Endoscopic resection of prostate using electrotome || id:ukb-b-20118","Inverse variance weighted","4",2.55480665982287,20.7262681365214,0.901897896536432
"7","ukb-b-20122","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Goat's cheese intake || id:ukb-b-20122","Inverse variance weighted","33",0.0228331207587033,0.323559750263793,0.943741194721476
"8","ukb-b-20124","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Heel bone mineral density (BMD) T-score, automated || id:ukb-b-20124","Inverse variance weighted","516",0.0244106201426766,0.0224016512359935,0.275854348981188
"9","ukb-b-20137","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operative procedures - secondary OPCS: X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance || id:ukb-b-20137","Inverse variance weighted","2",-14.0474312128443,24.512061377001,0.566588896441466
"10","ukb-b-20140","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Duration to complete alphanumeric path (trail #2) || id:ukb-b-20140","Inverse variance weighted","50",0.136799638771578,0.0839051500236649,0.103015267469748
"11","ukb-b-20141","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Non-cancer illness code, self-reported: eczema/dermatitis || id:ukb-b-20141","Inverse variance weighted","38",1.31589674881297,0.914478757483051,0.150162353181666
"12","ukb-b-20142","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Diagnoses - secondary ICD10: Z85.3 Personal history of malignant neoplasm of breast || id:ukb-b-20142","Inverse variance weighted","29",1.11325921502212,1.80975267393565,0.538459365177508
"13","ukb-b-20145","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Cancer code, self-reported: colon cancer/sigmoid cancer || id:ukb-b-20145","Inverse variance weighted","3",20.5428757342758,21.8549528519437,0.347235866574143
"14","ukb-b-20155","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operative procedures - secondary OPCS: Z89.5 Thumb NEC || id:ukb-b-20155","Wald ratio","rs12449163",-7.14304267643315,23.5936864160974,0.762078642279575
"15","finn-b-G6_MUSDYST","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Muscular dystrophy || id:finn-b-G6_MUSDYST","Inverse variance weighted","28",-0.0043247693159726,0.00203536393869277,0.0336021556951031
"16","ukb-b-20159","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","PCT where patients GP was registered: LIVERPOOL PCT || id:ukb-b-20159","Inverse variance weighted","23",2.87253013041279,2.84788643593593,0.313140922496124
"17","ukb-b-20162","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Diagnoses - main ICD10: R33 Retention of urine || id:ukb-b-20162","Inverse variance weighted","6",18.9776884569379,10.1367663954788,0.0611839270040668
"18","ukb-b-20168","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","PCT where patients GP was registered: SUNDERLAND TEACHING PCT || id:ukb-b-20168","Inverse variance weighted","49",2.54052059992227,1.6476362674793,0.123093435467513
"19","ukb-b-20172","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Sources of admission to hospital (recoded): Usual Place of residence || id:ukb-b-20172","Inverse variance weighted","92",0.629828537001509,0.261814988333712,0.0161448520120438
"20","ukb-b-20175","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Systolic blood pressure, automated reading || id:ukb-b-20175","Inverse variance weighted","411",0.0543470549660974,0.0445826562975455,0.222837407914978
"21","ukb-b-20176","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Illnesses of mother: Lung cancer || id:ukb-b-20176","Inverse variance weighted","17",-1.74659959209034,1.31757518458221,0.184966710888911
"22","ukb-b-20178","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","PCT where patients GP was registered: SOUTH LEEDS PCT || id:ukb-b-20178","Inverse variance weighted","7",-1.12811942311527,6.88956592221658,0.869933324680311
"23","ukb-b-20185","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operative procedures - secondary OPCS: R27.1 Episiotomy to facilitate delivery || id:ukb-b-20185","Inverse variance weighted","5",7.17304740529056,6.55535400047953,0.273855294528639
"24","ukb-b-20187","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Operative procedures - secondary OPCS: Y53.2 Approach to organ under ultrasonic control || id:ukb-b-20187","Inverse variance weighted","6",-2.39325533883937,3.13739602353573,0.445573241484262
"25","ukb-b-20188","finn-b-F5_DEPRESSIO","Depression || id:finn-b-F5_DEPRESSIO","Arm fat percentage (left) || id:ukb-b-20188","Inverse variance weighted","590",0.130647171083812,0.0484659889585965,0.00702521881602941
