"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"1","bbj-a-73","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Rheumatoid Arthritis || id:bbj-a-73","Inverse variance weighted","42",0.0123073118545718,0.0131788267178741,0.350370918454301
"2","finn-b-AD_U","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Alzheimer<c3><95>s disease (undefined) || id:finn-b-AD_U","Wald ratio","rs429358",0.040317367029092,0.00852189244784014,2.23378569079525e-06
"3","finn-b-G6_MS","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","MS-disease / Multiple Sclerosis || id:finn-b-G6_MS","Inverse variance weighted","4",-0.035450014443474,0.0225528683083275,0.115982376335602
"4","ukb-b-20118","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operative procedures - main OPCS: M65.1 Endoscopic resection of prostate using electrotome || id:ukb-b-20118","Wald ratio","rs11199637",7.7729470351389,20.7278587603704,0.707660466654553
"5","ukb-b-20124","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Heel bone mineral density (BMD) T-score, automated || id:ukb-b-20124","Inverse variance weighted","338",-0.00433819360480578,0.028815781862827,0.880331317922437
"6","ukb-b-20140","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Duration to complete alphanumeric path (trail #2) || id:ukb-b-20140","Inverse variance weighted","7",0.140568201852927,0.15826065311174,0.374429475492538
"7","ukb-b-20141","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Non-cancer illness code, self-reported: eczema/dermatitis || id:ukb-b-20141","Inverse variance weighted","10",-1.00590549052538,1.48742709231725,0.498867883055532
"8","ukb-b-20142","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Diagnoses - secondary ICD10: Z85.3 Personal history of malignant neoplasm of breast || id:ukb-b-20142","Inverse variance weighted","9",1.76486195153379,2.29530044445762,0.441951270400262
"9","finn-b-G6_MUSCOTHUNS","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Other and unspecified primary disorders of muscles || id:finn-b-G6_MUSCOTHUNS","Wald ratio","rs141963493",0.00686573670444638,0.00697471665213601,0.324931165476837
"10","ukb-b-20159","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","PCT where patients GP was registered: LIVERPOOL PCT || id:ukb-b-20159","Wald ratio","rs6490640",-14.9304534835146,9.59262296350162,0.119600740203489
"11","ukb-b-20168","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","PCT where patients GP was registered: SUNDERLAND TEACHING PCT || id:ukb-b-20168","Inverse variance weighted","3",9.75880666235915,5.80702772575982,0.0928568415186238
"12","ukb-b-20172","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Sources of admission to hospital (recoded): Usual Place of residence || id:ukb-b-20172","Inverse variance weighted","8",0.578395440842294,0.788342084068927,0.463140217623378
"13","ukb-b-20175","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Systolic blood pressure, automated reading || id:ukb-b-20175","Inverse variance weighted","228",0.646389376342198,0.0771754232794465,5.49498704753913e-17
"14","ukb-b-20176","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Illnesses of mother: Lung cancer || id:ukb-b-20176","Wald ratio","rs9788721",-5.91477123010422,3.22369048086249,0.0665379064669851
"15","ukb-b-20178","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","PCT where patients GP was registered: SOUTH LEEDS PCT || id:ukb-b-20178","Wald ratio","rs34994526",8.75221388465798,14.2223475625692,0.538300749018723
"16","ukb-b-20187","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Operative procedures - secondary OPCS: Y53.2 Approach to organ under ultrasonic control || id:ukb-b-20187","Wald ratio","rs62113212",0.438476577612934,5.72598824882772,0.938960393409925
"17","ukb-b-20188","finn-b-I9_IHD","Ischaemic heart disease, wide definition || id:finn-b-I9_IHD","Arm fat percentage (left) || id:ukb-b-20188","Inverse variance weighted","359",0.286468168885743,0.0676152532022006,2.2678966981768e-05
